,1e-05,5e-05,0.0001,0.0005,0.001,0.005,0.01,0.05,0.1,0.5,1,5
-20,-120111.36424358143,-120095.13124560524,-119020.9144004075,-163023.8166233423,-165085.87925397317,-326266.76358826616,-314603.0328218781,-183985.9813242609,-56537.737647531845,100000.0,100000.0,100000.0
-15,-120119.48973898558,-119697.43773293545,-129845.09685518505,-163500.07490344782,-167159.5534327044,-389791.37601860566,-415503.4073540451,100000.0,-37402.899532841206,100000.0,100000.0,100000.0
-10,-120131.98224715483,-162303.15918673988,-162451.12717624067,-164829.97360065335,-392802.51947602513,-395717.8519992862,-595245.3603837824,100000.0,-222776.53661124248,100000.0,100000.0,100000.0
-5,-162233.04652821246,-162424.16819377735,-162731.8246095225,-373238.70520608395,-395339.4336392946,-2551121.990333415,-2523959.309197188,100000.0,-239732.23437097526,100000.0,100000.0,100000.0
-1,-162283.11378602544,-320789.811744723,-587093.7456169818,-712398.3142007699,-3189120737.121186,-89953922338.2313,-293167143.13339233,100000.0,-239700.58873696465,100000.0,100000.0,100000.0
0,-162178.4059577639,-384561.3421392406,-770618.3453731822,-758245.1909403167,-78880943061.10263,-61638421183.16204,-2540600.125962524,100000.0,-239701.38179732944,100000.0,100000.0,100000.0
1,-162097.93884607079,-324594.4905571757,-722568.1219245269,-711049.8406685359,-1351185.2680358074,-673929827.3959715,-1294379.1813832747,100000.0,100000.0,100000.0,100000.0,100000.0
5,-162149.68627261918,-162039.4958651224,-161882.33480142098,-419339.0026853542,-678667.1272958628,-430361.25142438523,-813898.5079505962,100000.0,-166762.8051631341,100000.0,100000.0,100000.0
10,-120134.38944927258,-162133.5977667601,-162043.62597990772,-161422.66183890216,-426739.3705565912,-446906.33277972427,-338904.881448391,-167079.41795339726,-167079.39558209255,100000.0,100000.0,100000.0
15,-120126.09283333438,-119779.01389633659,-118516.53068793305,-161602.67158526406,-161642.75200790688,-238151.31970151208,-353456.033801472,100000.0,100000.0,100000.0,100000.0,100000.0
20,-120125.83716230007,-121353.51715592261,-122414.31914774422,-129440.87844884016,-129097.91239779477,-262982.25924079167,-232722.7552629181,100000.0,100000.0,100000.0,100000.0,100000.0
