t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
0.0,0.0,-32.00334187424684,1.4782593110116453,-35.67860179116101,-6.535213544833367,-1.2190685141672764,-6.66513853521673,36.23353304186234,-3.319799043659976,-16.379629588301754,-16.34518180821837,13.05549497965697,28.154479642632563,-23.796290328860703,-12.34079580169856,13.560493820860948,-5.107183379418673,-14.028686171836004,4.128603513202001,20.917628096505634,-33.06477588734702,31.547850586434855,-27.474039183290206,13.544341013975638,0.1597278983397447,28.280217521861626,16.960495904818835,-2.707603972055743,-35.88635123074911,-8.880176018356527,-20.036991909392654,-27.2822619177113,36.99607352713993,15.037527763272525,-9.539784482255904,-3.2491103268269654,-19.77861717811788,32.985885267515314,5.6042935781572485,1.1568705586231605,19.309698439688283,22.813161837486778,-23.056183861072764,34.115079684825815,-30.247712398844318,1.2038825357007186,30.75101803718491,-25.77972343824228,36.01683299859575
0.05,0.001001001001001001,-32.00655649857513,1.47840284293446,-35.6821788643516,-6.53587593434496,-1.219200218098312,-6.665819641370476,36.23715562313109,-3.3201425171596353,-16.38127449627312,-16.34682067709201,13.056797379897676,28.157287051451053,-23.798672288150794,-12.342033675380339,13.561846519328904,-5.1077034899045355,-14.030100640952488,4.129011453156984,20.919716423114632,-33.06809196598102,31.550994832736826,-27.47679033178916,13.545689915081034,0.15973144115365853,28.28304320219002,16.962187191872115,-2.7078868068518887,-35.88994301504565,-8.881071643006251,-20.039002680031114,-27.28499036632783,36.9997694880078,15.039017923067336,-9.540752444839137,-3.2494441193063732,-19.78059765367012,32.989177171639675,5.604847864539312,1.156971688166125,19.31162510228306,22.815428968143344,-23.058495891379,34.118482835504444,-30.250748350817872,1.2039914974424821,30.75407794359327,-25.78230214005344,36.020429365788246
0.1,0.002002002002002002,-32.00966284668245,1.4784971310838015,-35.68570572897151,-6.5365586774785704,-1.2194376161128782,-6.666444074113928,36.24060381764997,-3.3203830681458557,-16.382993549919355,-16.34847131789582,13.058132569649505,28.160119471189937,-23.801039691786684,-12.343191155140294,13.563351423478338,-5.1083415836778725,-14.031395782196206,4.129576343047822,20.921520166063416,-33.07140078353029,31.554035720953618,-27.479599275240243,13.547013438064587,0.15975183085105923,28.285725494183403,16.964036377326305,-2.7081552757811918,-35.89341142642515,-8.881903764923742,-20.041070755877634,-27.287957118522975,37.003159082398476,15.040433682918056,-9.541743000484146,-3.2497255139181003,-19.78261584589378,32.99242259859592,5.605430945818613,1.157090927390558,19.31367792164047,22.817868554187946,-23.060865902471733,34.12188569540977,-30.253626600498716,1.2041890205715644,30.757141339824148,-25.78481514775586,36.024039324619
0.15000000000000002,0.003003003003003003,-32.01266047220268,1.4785423527013233,-35.6891805267357,-6.53726175334864,-1.2197802690121555,-6.667011919638325,36.24387857937635,-3.3205210889238894,-16.384787276918857,-16.350133300613617,13.059499987889511,28.162977542296066,-23.803392646520276,-12.344268070018959,13.565008107574775,-5.109097464966191,-14.032571503049544,4.130297665103503,20.923039738517883,-33.07470178226228,31.55697213118212,-27.48246587195238,13.548312464219672,0.15978875748128613,28.288263441445377,16.96604329724057,-2.708409782977058,-35.896755808088784,-8.882671980681804,-20.043195274198066,-27.291161586767796,37.00624141505758,15.041775145803337,-9.542756609234956,-3.2499547025752458,-19.78467179160547,32.99562145746022,5.606043070178038,1.1572283911838588,19.315856539972987,22.82048082404921,-23.063294788014343,34.12528785119517,-30.256348543082325,1.2044746346891204,30.760209245661056,-25.78726344178528,36.027662988366885
0.2,0.004004004004004004,-32.01554894726552,1.4785386991685354,-35.69260143650439,-6.537985100934369,-1.2202277990277997,-6.667523204515227,36.246980853494804,-3.320556912621269,-16.386656213184576,-16.351806227611153,13.060899049053713,28.165861903444704,-23.805731242725894,-12.345264234652172,13.566816029514767,-5.109970972347462,-14.033627765128848,4.131174770518178,20.92427550949049,-33.07799440639128,31.559803015053664,-27.48538999038029,13.54958789021067,0.15984193816980732,28.29065617517425,16.968207771743526,-2.708650769619839,-35.899975514247366,-8.88337591152515,-20.045375391314565,-27.29460304060527,37.009015668093376,15.043042415915531,-9.54379376553119,-3.2501318272890156,-19.78676552741752,32.998773707751894,5.606684423886736,1.1573841877772075,19.318160575891028,22.82326593317302,-23.065783402082275,34.128688872746984,-30.258915504215583,1.2048478338902682,30.76328269543603,-25.789647935852646,36.03130049686276
0.25,0.005005005005005005,-32.0183278613894,1.4784863757777615,-35.69596667509625,-6.53872861876266,-1.220779888874622,-6.6679778958837534,36.249911575468836,-3.320490812619578,-16.388600903037588,-16.353489734338805,13.062329142953626,28.16877319050143,-23.808055554531695,-12.34617944897867,13.568774530897878,-5.110961978781725,-14.034564582200684,4.132206879633515,20.925227802657936,-33.08127810139587,31.562527395243183,-27.488371508249116,13.550840627601493,0.15991111750763928,28.29290291245934,16.97052960524594,-2.7088787132288825,-35.90306990851032,-8.884015201775647,-20.047610282118153,-27.298280604463244,37.011481097573245,15.044235598017243,-9.544854998311582,-3.2502569804741674,-19.788897089015485,33.00187935943318,5.6073551313305545,1.157558417713162,19.320589623378222,22.826223964325994,-23.06833255894854,34.13208831259411,-30.26132874074925,1.205308077078874,30.766362738433894,-25.79196947682941,36.03495201620931
0.30000000000000004,0.006006006006006006,-32.02099682040796,1.4783856014947419,-35.6992744981249,-6.539492164643178,-1.2214362808144197,-6.6683759016141275,36.252671670183446,-3.3203230020827568,-16.39062189939341,-16.35518349004074,13.063789634638217,28.171712035443484,-23.81036563998775,-12.34701349802553,13.57088283700885,-5.112070391599911,-14.035382018218604,4.13339308215562,20.925896895565163,-33.08455231336618,31.56514436496087,-27.491410311732512,13.552071602407787,0.15999606789801274,28.29500295459907,16.973008586391234,-2.709094126978437,-35.906038362365585,-8.884589517380087,-20.049899139513958,-27.302193255451257,37.01363703067079,15.045354796877385,-9.545940871129153,-3.2503302053082286,-19.79106651038645,33.0049384728426,5.608055255094332,1.157751172890923,19.32314325077337,22.82935492774973,-23.07094303289779,34.135485705269375,-30.263589441410534,1.2058547882924449,30.769450439269985,-25.794228844632386,36.038617738499696
0.35000000000000003,0.007007007007007007,-32.02355544543333,1.4782366087115182,-35.70252320086331,-6.540275555454133,-1.2221967757338827,-6.668717070447397,36.25526205117657,-3.3200536335796094,-16.392719763959438,-16.35688719847041,13.065279864201859,28.174679065241403,-23.812661541271762,-12.347766151771404,13.573140056713328,-5.113296152450333,-14.036080185385472,4.134732337415208,20.926283019211297,-33.087816488381044,31.56765308743247,-27.49450629468499,13.553281754670216,0.16009658986217298,28.2969556854486,16.975644487743523,-2.709297559036523,-35.90888025375712,-8.885098544601828,-20.05224117380396,-27.30633982115693,37.01548286337564,15.046400116783866,-9.547051982277196,-3.2503514961422275,-19.79327382300137,33.00795115856032,5.608784796094669,1.1579625356903442,19.32582099976024,22.832658761170787,-23.073615558068056,34.13888056662559,-30.265698727394998,1.2064873570370673,30.77254687824004,-25.79642675210401,36.04229788153531
0.4,0.008008008008008008,-32.02600337185948,1.4780396429882177,-35.70571111914021,-6.54107856697769,-1.2230612322393608,-6.669001192111214,36.25768361995743,-3.319682798798718,-16.394895067441677,-16.35860059861197,13.066799146538855,28.177674900702044,-23.8149432849333,-12.348437165087711,13.57554518227141,-5.114639237203128,-14.036659242245742,4.1362234746802224,20.926386358013556,-33.09107007191538,31.570052795374192,-27.497659357929077,13.554472038046097,0.16021251230601738,28.29876056980421,16.978437065213452,-2.709489591925885,-35.91159496576572,-8.8855419888575,-20.054635612011865,-27.310718977459146,37.01701805877625,15.047371661129999,-9.548188964925222,-3.2503207989609613,-19.79551905495479,33.0109175772039,5.60954369376228,1.1581925781754874,19.328622384366632,22.836135329672096,-23.076350828319075,34.142272393109025,-30.26765765287683,1.2072051386322824,30.77565315164101,-25.79856384488458,36.04599268854288
0.45,0.009009009009009009,-32.02834024840852,1.4777949627823423,-35.70883663027239,-6.541900933784257,-1.2240295657711375,-6.669227997411533,36.259937265409775,-3.319210528354533,-16.39714838975865,-16.36032346540725,13.068346771045107,28.180700155274188,-23.8172108821776,-12.34902627775825,13.578097089074275,-5.116099655812764,-14.037119391811387,4.13786519353051,20.926207050145415,-33.09431250827831,31.572342790467744,-27.500869408597726,13.555643419416558,0.16034369274907997,28.300417151830842,16.981386057222526,-2.7096708419061217,-35.91418188539872,-8.885919573699862,-20.057081697154644,-27.315329246376876,37.01824214592484,15.048269532071709,-9.54935248726396,-3.25023801189111,-19.797802230065347,33.013837939152936,5.610331826273474,1.158441361378265,19.331546889974188,22.839784425432274,-23.07914949712589,34.1456606609938,-30.26946720543647,1.2080074545657387,30.778770372061455,-25.800640701273426,36.049702427891006
