t,p,x0,x1,x2,x3
0.0,0.0,-18.089556343144377,17.573020350361475,23.20018636541863,-22.335374122408346
0.05,0.001001001001001001,-18.09137476696366,17.574769093391488,23.202499729301145,-22.33761780550159
0.1,0.002002002002002002,-18.0932379898962,17.576532129040437,23.20479355384146,-22.339811442758315
0.15000000000000002,0.003003003003003003,-18.095146173206718,17.578309660703162,23.207067792088697,-22.341955029357756
0.2,0.004004004004004004,-18.097099480311837,17.580101889891925,23.209322404192154,-22.34404856354486
0.25,0.005005005005005005,-18.099098076689366,17.58190901610116,23.2115573572612,-22.346092046445612
0.30000000000000004,0.006006006006006006,-18.101142129783494,17.583731236670346,23.213772625226284,-22.348085481885757
0.35000000000000003,0.007007007007007007,-18.1032318089057,17.585568746644906,23.215968188701147,-22.35002887621297
0.4,0.008008008008008008,-18.105367285131344,17.58742173863505,23.218144034846254,-22.351922238122576
0.45,0.009009009009009009,-18.10754873119175,17.58929040267246,23.22030015723354,-22.35376557848687
0.5,0.01001001001001001,-18.109776321361725,17.591174926064706,23.222436555712516,-22.35555891018811
0.55,0.011011011011011011,-18.112050231342387,17.593075493247312,23.224553236277742,-22.35730224795528
0.6000000000000001,0.012012012012012012,-18.11437063813916,17.594992285633374,23.22665021093776,-22.358995608204587
0.65,0.013013013013013013,-18.11673771993486,17.596925481460634,23.22872749758545,-22.36063900888384
0.7000000000000001,0.014014014014014014,-18.119151655957754,17.598875255635914,23.230785119869882,-22.36223246932066
0.75,0.015015015015015015,-18.12161262634448,17.600841779576832,23.23282310706965,-22.36377601007462
0.8,0.016016016016016016,-18.124120811997706,17.602825221050697,23.234841493967703,-22.365269652793312
0.8500000000000001,0.017017017017017015,-18.126676394438462,17.60482574401051,23.236840320727694,-22.366713420072358
0.9,0.018018018018018018,-18.129279555653003,17.606843508427982,23.238819632771804,-22.3681073353194
0.9500000000000001,0.01901901901901902,-18.131930477934134,17.608878670123502,23.24077948066009,-22.369451422622074
1.0,0.02002002002002002,-18.134629343716878,17.610931380592945,23.242719919971304,-22.37074570661998
1.05,0.02102102102102102,-18.137376335408412,17.613001786831298,23.24464101118516,-22.371990212380656
1.1,0.022022022022022022,-18.140171635212177,17.615090031153,23.246542819566084,-22.37318496527952
1.1500000000000001,0.023023023023023025,-18.143015424946064,17.61719625100894,23.248425415048363,-22.37432999088385
1.2000000000000002,0.024024024024024024,-18.14590788585464,17.61932057880007,23.250288872122674,-22.37542531484072
1.25,0.025025025025025023,-18.148849198415267,17.621463141687567,23.252133269724002,-22.376470962768916
1.3,0.026026026026026026,-18.151839542138127,17.623624061399497,23.253958691120857,-22.37746696015484
1.35,0.02702702702702703,-18.154879095360034,17.625803454033964,23.255765223805792,-22.37841333225234
1.4000000000000001,0.028028028028028028,-18.15796803503199,17.628001429858678,23.257552959387155,-22.379310103986466
1.4500000000000002,0.029029029029029027,-18.16110653650045,17.630218093106954,23.25932199348204,-22.380157299861164
1.5,0.03003003003003003,-18.164294773282275,17.632453541770087,23.261072425610394,-22.380954943870826
1.55,0.031031031031031032,-18.167532916833252,17.63470786738613,23.262804359090218,-22.381703059415717
1.6,0.03203203203203203,-18.170821136310284,17.636981154825065,23.26451790093383,-22.38240166922123
1.6500000000000001,0.03303303303303303,-18.174159598327137,17.639273482070358,23.26621316174511,-22.383050795260953
1.7000000000000002,0.03403403403403403,-18.17754846670379,17.64158491999695,23.26789025561771,-22.383650458683494
1.75,0.035035035035035036,-18.180987902209385,17.64391553214571,23.269549300034125,-22.38420067974307
1.8,0.036036036036036036,-18.18447806229879,17.64626537449436,23.27119041576561,-22.384701477733795
1.85,0.037037037037037035,-18.188019100842823,17.648634495224982,23.27281372677287,-22.385152870927644
1.9000000000000001,0.03803803803803804,-18.19161116785215,17.651022934488136,23.27441936010746,-22.385554876516057
1.9500000000000002,0.03903903903903904,-18.19525440919497,17.653430724163673,23.276007445813832,-22.385907510555153
