t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.0,0.0,-30.3115717510642,-10.942031611588924,25.092438008850447,-19.114513134918298,-32.58700376317943,36.04073361092216,-17.973818138116563,-21.57551155228154,-2.0487546135018544,-12.269909191295392,-10.505886084102004,17.683538834208726,-11.981092959274577,7.1519447885497005,24.95725499296531,27.85992579257549,6.756642755191534,25.45138647768531
0.05,0.001001001001001001,-30.314615687931088,-10.943135103732644,25.09494550928222,-19.116437444955448,-32.590277019227194,36.044337292321934,-17.975628436558676,-21.57768041199378,-2.048962820761266,-12.271149886304194,-10.506937183149013,17.685299302423974,-11.98229972181683,7.152644519405633,24.959744083567344,27.862698691874773,6.7573073309543465,25.453919448225804
0.1,0.002002002002002002,-30.31775448906634,-10.944217449907544,25.097531311991684,-19.11833508000931,-32.59342239929567,36.047990015583636,-17.97750977329621,-21.5797997459963,-2.0491477258218045,-12.27241135772411,-10.508028950289221,17.687104452735557,-11.9834896854771,7.153273999548104,24.962228062870327,27.865346731527094,6.757997434475421,25.45641710977768
0.15000000000000002,0.003003003003003003,-30.32098779014403,-10.945278650968364,25.100195264417554,-19.120205986208667,-32.596440125816656,36.051691972165564,-17.979462074119045,-21.58187036298856,-2.0493090412660293,-12.273692789570763,-10.509160970817694,17.688954450798924,-11.984663184483004,7.153832648936947,24.964706980369634,27.867869845231727,6.758713233706523,25.458879042381835
0.2,0.004004004004004004,-30.32431522937552,-10.946318716125809,25.10293719742928,-19.122050115641816,-32.599330367241784,36.055443364913,-17.981485269895632,-21.58389307208277,-2.049446476004294,-12.274993366072232,-10.51033286487209,17.690849468163655,-11.985820556171356,7.154319893088533,24.96718087759559,27.870267929729312,6.759454903375274,25.461304860814554
0.25,0.005005005005005005,-30.327736446982847,-10.947337662877056,25.105756924696617,-19.123867426217835,-32.60209323763648,36.05924440807291,-17.983579296085388,-21.58586868298362,-2.0495597353460724,-12.276312272394252,-10.511544287298598,17.692789682040797,-11.986962140742513,7.154735163310769,24.969649788293967,27.872540844584545,6.76022262487998,25.463694214310987
0.30000000000000004,0.006006006006006006,-30.331251084642645,-10.948335516943397,25.108654242042704,-19.12565788152791,-32.604728796307505,36.06309532729793,-17.985744092217985,-21.587798006167876,-2.04964852106043,-12.277648695357222,-10.512794927537001,17.694775275060845,-11.988088281022527,7.155077896943524,24.972113738612524,27.87468841197756,6.761016586176849,25.46604678629847
0.35000000000000003,0.007007007007007007,-30.33485878490172,-10.949312312215014,25.111628926782128,-19.12742145070683,-32.60723704746354,36.066996359639184,-17.987979601340207,-21.589681853063563,-2.049712531425397,-12.279001824144332,-10.514084509525281,17.696806435022065,-11.989199322232517,7.155347537604879,24.974572747293386,27.876710416503936,6.761836981659265,25.46836229413946
0.4,0.008008008008008008,-30.338559190565284,-10.950268090702826,25.1146807370453,-19.129158108294856,-32.60961793990857,36.07094775352707,-17.99028576943098,-21.591521036228418,-2.0497514612659886,-12.280370851000162,-10.515412791624122,17.698883354628876,-11.990295611764674,7.15554353544363,24.97702682587083,27.878606604983375,6.7626840120288145,25.470640488883877
0.45,0.009009009009009009,-30.3423519440589,-10.951202902497387,25.11780941109068,-19.1308678341001,-32.6118713667679,36.07494976873953,-17.992662544785123,-21.59331636952733,-2.0497650019805906,-12.281754971919062,-10.516779566561631,17.701006231220017,-11.991377498964376,7.155665347398479,24.97947597887423,27.88037668627711,6.7635578841577075,25.47288115503055
0.5,0.01001001001001001,-30.34623668676506,-10.952116805734818,25.121014666606342,-19.132550613061596,-32.613997165247056,36.079002676357035,-17.995109877366378,-21.59506866830848,-2.049752841555418,-12.283153387322702,-10.518184661398568,17.70317526648618,-11.992445334917846,7.155712437464368,24.981920204035834,27.88202033111435,6.764458810942231,25.475084110297484
0.55,0.011011011011011011,-30.350213058335317,-10.953009866569746,25.124296200002494,-19.134206435113178,-32.61599511642372,36.083106758703714,-17.997627718130154,-21.596778749577833,-2.049714664566734,-12.284565302726143,-10.519627937514336,17.705390666176843,-11.993499472244872,7.15568427696642,24.98435949250305,27.883537171928012,6.765387011146868,25.47724920540054
0.6000000000000001,0.012012012012012012,-30.354280695978876,-10.953882159155253,25.127653685696576,-19.135835295048366,-32.61786494507335,36.087262309273775,-18.00021601831648,-21.59844743217178,-2.0496501521704933,-12.2859899293918,-10.521109290613962,17.707652639795974,-11.99454026489605,7.155580344841994,24.98679382905496,27.884926802700186,6.766342709238682,25.479376323840174
0.65,0.013013013013013013,-30.35843923372846,-10.954733765629834,25.13108677539266,-19.13743719238637,-32.61960631952918,36.091469632642635,-18.00287472871354,-21.600075536927545,-2.0495589820790685,-12.287426484970698,-10.52262865075624,17.709961400286335,-11.995568067954114,7.155400127931337,24.989223192322783,27.886188778817882,6.767326135211559,25.481465381695774
0.7000000000000001,0.014014014014014014,-30.3626883016843,-10.955564776111368,25.134595097356904,-19.13901213123935,-32.62121885157752,36.09572904436198,-18.005603798892217,-21.601663886851114,-2.0494408285246846,-12.288874194130424,-10.524185982403202,17.712317163702078,-11.99658323743885,7.155143121277381,24.991647555013934,27.887322616939645,6.768337524399889,25.48351632742713
0.75,0.015015015015015015,-30.367027525236963,-10.956375288698105,25.138178255690917,-19.140560120181142,-32.622702096389446,36.100040870838,-18.008403176411964,-21.603213307282413,-2.0492953622091865,-12.290332289169188,-10.525781284491057,17.714720148869336,-11.997586130115174,7.154808828435199,24.994066884139485,27.88832779487378,6.769377117281252,25.485529141682576
0.8,0.016016016016016016,-30.37145652426984,-10.95716540947671,25.141835829604886,-19.142081172117464,-32.624055552490354,36.104405449192065,-18.01127280599833,-21.604724626057404,-2.0491222502397326,-12.291800010615423,-10.527414590522664,17.717170577034533,-11.99857710330393,7.15439676179169,24.996481141244676,27.889203751469,6.7704451592676635,25.487503837113245
0.8500000000000001,0.017017017017017015,-30.375974912341952,-10.957935252537386,25.14556737269247,-19.14357530415786,-32.625278661768746,36.108823127103044,-18.014212628692487,-21.606198673666853,-2.048921156050003,-12.293276607812375,-10.529085968681619,17.719668671500138,-11.999556514695016,7.1539064428960515,24.998890282642236,27.889949886518455,6.771541900484925,25.48944045819289
0.9,0.018018018018018018,-30.380582295851827,-10.958684939996088,25.149372412209413,-19.145042537489427,-32.62637080952612,36.113294262630475,-18.017222580972994,-21.607636283411455,-2.048691739306483,-12.294761339487126,-10.530795521967985,17.722214657247584,-12.000524722162433,7.153337402801622,25.00129425964825,27.890565560678127,6.772667595539611,25.491339081042767
