t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
0.0,0.0,20.396571589678462,9.871606064286166,-25.557449247918335,36.055191627275455,-8.44086509293751,22.519705610626037,33.84003637063645,-13.20197421306826,31.811894738009062,6.142396205214021,-14.028106644866687,-38.40939627597197,-32.031792756526315,-25.21316586176363,-12.99369903261127,-22.0556151139311,30.90913911209215,3.970041656935424,14.000968083355097,10.900202303560937,-5.166275060897181,-27.873795260528546,-35.4345106538642,13.666643424715339,11.265789139288344,9.471153217129986,14.867503133501248,11.859301974603392,-18.475158275442695,-39.353641060180436,25.785300837979154,13.865890911405264
0.05,0.001001001001001001,20.398607188472216,9.872583539998075,-25.560008607011117,36.05879233390519,-8.441721530357729,22.52194745487521,33.843413175005004,-13.203304605818541,31.81506735734022,6.143003237871437,-14.029513353982912,-38.41324757871129,-32.0350014337486,-25.215695366655076,-12.99500812849962,-22.057834457314154,30.91221868315247,3.970425764188092,14.002354026719809,10.901276646832967,-5.166804512273581,-27.876586969639455,-35.438064167142066,13.667995676349067,11.266904852016044,9.472090409142217,14.868988556527725,11.860483181029311,-18.477016558082806,-39.357581875464156,25.787863954505404,13.86726455655448
0.1,0.002002002002002002,20.400574026966343,9.873699978172356,-25.5626396722521,36.06236701282223,-8.442498852449859,22.524285291695904,33.84668204881108,-13.204684070855473,31.818233427354745,6.143684522034551,-14.030914983737553,-38.416943688358884,-32.03815156944838,-25.21820896499211,-12.996491335394822,-22.06002874177784,30.915394215136146,3.9709140527124878,14.003624655433965,10.902227523859148,-5.167358300075379,-27.8793289523305,-35.441629835548206,13.669258614525573,11.268141172377735,9.47313189282079,14.870491738637375,11.861678086989134,-18.47884052962328,-39.36160401653549,25.790297369754494,13.868529333059655
0.15000000000000002,0.003003003003003003,20.402472867615778,9.874956022298841,-25.56534288766197,36.06591433652466,-8.443197570172345,22.526717905960915,33.849843565956775,-13.206112562874223,31.821392537996886,6.144439823732305,-14.032311192565073,-38.42048469895181,-32.04124311634944,-25.220705531518597,-12.998148759972386,-22.0621986240452,30.918665556099988,3.971506899485523,14.004780343545278,10.903054820308075,-5.167936134891531,-27.882020438676857,-35.44520819474542,13.67043271150883,11.269497315407092,9.47427779738757,14.872012725998966,11.862885933291766,-18.480629308018262,-39.36570753834272,25.792600884713206,13.869685960737227
0.2,0.004004004004004004,20.404304438971028,9.87635237138858,-25.56811873494356,36.069433008797326,-8.443818095937912,22.529244052852,33.852898260900524,-13.207590043070368,31.824544275893423,6.145268905765369,-14.033701622690216,-38.42387073953668,-32.0442759959149,-25.223183965300812,-12.999980390300122,-22.064344758227243,30.922032545900517,3.97220466275028,14.005821404361662,10.903758499249632,-5.168537777224455,-27.884660667052678,-35.44879979485344,13.671518381392469,11.270972551206215,9.475528276442397,14.873551530864143,11.864105990750142,-18.48238202632199,-39.36989246655737,25.794774287909746,13.870735082320147
0.25,0.005005005005005005,20.406069435892444,9.877889779443118,-25.57096773304337,36.07292176467464,-8.444360744154055,22.53186245804658,33.855846628598385,-13.209116478808216,31.82768822442335,6.1461715279469304,-14.03508590040482,-38.42710197205141,-32.047250097865174,-25.22564318995285,-13.001986094696067,-22.066467796432153,30.9254950159098,3.9730076813906146,14.006748090305232,10.904338600922706,-5.16916303762245,-27.887248884554467,-35.45240520105976,13.672515979682979,11.272566204288651,9.47688350779967,14.875108132097084,11.865337560307307,-18.484097832682654,-39.374158797304894,25.79681735581036,13.871677262876334
0.30000000000000004,0.006006006006006006,20.40776851974661,9.879569054854404,-25.573890437684366,36.076379370393944,-8.444825731653225,22.534571817898925,33.85868912443059,-13.210691843237262,31.83082396377857,6.147147447327064,-14.036463636310296,-38.4301785893225,-32.05016527972408,-25.228082153809037,-13.004165620561517,-22.06856838935228,30.929052788690342,3.9739162743380803,14.007560592727033,10.904795242543456,-5.169811776850564,-27.889784347412252,-35.456024994233914,13.673425802875416,11.274277652880977,9.478343693296583,14.876682475673041,11.866579973198629,-18.485775890355118,-39.3785064968877,25.7987298532605,13.872512989263793
0.35000000000000003,0.007007007007007007,20.409402318583638,9.88139105973103,-25.576887440867125,36.079804623342376,-8.445213178011748,22.53737079961799,33.86142616411404,-13.212316114856565,31.833951071016788,6.148196418401116,-14.037834425525046,-38.43310081317596,-32.053021366390425,-25.230499830042845,-13.006518593191277,-22.070647186830822,30.932705677628967,3.974930740011036,14.008259041681738,10.905128618154318,-5.170483906100355,-27.892266321389922,-35.459659771545496,13.674248088019684,11.276106328186245,9.479909058572122,14.878274475145579,11.867832591150066,-18.48741537773299,-39.38293550150263,25.800511533969694,13.873242669620623
0.4,0.008008008008008008,20.41097142729417,9.883356709146469,-25.579959370336343,36.083196352000314,-8.445523105756552,22.540258041444215,33.8640581236012,-13.213989277026752,31.83706912010775,6.149318193302476,-14.039197847855958,-38.435868892659556,-32.055818149732474,-25.232895216731844,-13.009044514563843,-22.07270483841023,30.936453486529665,3.976051355785908,14.008843505661725,10.905338998513598,-5.1711793872390155,-27.894694082175963,-35.463310147086084,13.67498301227563,11.278051713612266,9.481579852815937,14.87988401208239,11.869094806612253,-18.489015488400412,-39.387445716954986,25.802162141039457,13.87386663288842
0.45,0.009009009009009009,20.41247640774499,9.885466970304817,-25.583106889009276,36.08655341588453,-8.445755440458738,22.54323215282784,33.86658533896604,-13.215711317429323,31.840177681973774,6.1505125219800965,-14.04055346793315,-38.438483102374,-32.05855538820298,-25.235267336868233,-13.011742762114915,-22.074741993864194,30.940296009165365,3.9772783775007006,14.009313991290151,10.905426731025004,-5.171898233098338,-27.897066915765844,-35.46697675249537,13.675630692455305,11.280113343967484,9.48335634848624,14.881510936469546,11.870366043030167,-18.490575431204004,-39.39203701837147,25.803681407533702,13.874385128367921
