t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
0.0,0.0,-18.888572056630284,-12.797431205996887,-3.2975931799069613,-26.764633616590448,-20.21654332559465,38.502938264707595,23.490670825316137,-15.510548407758082,33.535547294535846,-6.42185681563256,-5.18553085675331,-33.68342206571118,-30.286138229271884,28.20913771163558,16.12197033299638,-22.966794394490364,25.27849230966592,-23.787079127009665,36.34896424625897,-13.042274660724285,14.073822583329687,28.525426480417156,-32.36507897646047,-21.448221249696452,4.712633960691014,-0.15462597300275988,-2.2347162525464097,30.09004252483842,-25.88878348389324,14.468632457648397,-9.0104107321569,23.615993683605158,-34.516188242679306,-25.741692139466057,43.014728024780105,11.212495596857899,-5.180189524807577,-12.759537931486182,34.0358317225936
0.05,0.001001001001001001,-18.89046767561509,-12.79871743246838,-3.2979341752784577,-26.767314130685,-20.21857559274039,38.506787926862344,23.493018046154294,-15.512099590591431,33.53888544769259,-6.422508477050368,-5.186062746132518,-33.6867989534633,-30.28916765635464,28.21194736354526,16.123578394203154,-22.969100458746276,25.281006538260417,-23.789465211722874,36.35259629140691,-13.04358710514811,14.075219871098668,28.528270236589762,-32.36832508337322,-21.450377126727457,4.713102971642692,-0.15465674361513254,-2.234944947153152,30.093037222977863,-25.89138196139403,14.47006708386062,-9.011324469450777,23.61834389430133,-34.51964116498916,-25.744280344062506,43.01902356867227,11.213611727888122,-5.180712928106712,-12.760819136632543,34.03923209795719
0.1,0.002002002002002002,-18.89237469812885,-12.800107044706392,-3.298184856035216,-26.770097828799255,-20.22070989686131,38.51050767974871,23.495351762430413,-15.513416929874605,33.542096548229324,-6.423212256909966,-5.186707467351256,-33.69017189882107,-30.292183637954157,28.214940828309985,16.125299288892617,-22.971407334541553,25.283514308619797,-23.791864704592847,36.356149028523575,-13.045012146020538,14.076553601223464,28.53115828677005,-32.37162709269697,-21.452509408143477,4.713804047017182,-0.15476791908884271,-2.2350526635214982,30.09594585566121,-25.89411563688247,14.471478500024764,-9.01198735729776,23.620651982012372,-34.52295410332391,-25.746929550607735,43.023229274828836,11.214730729317942,-5.1812529376298855,-12.762062174601466,34.04276339439276
0.15000000000000002,0.003003003003003003,-18.894293578751416,-12.801599574522626,-3.298345178038106,-26.772984413636795,-20.222946057842908,38.51409770048553,23.497671158792464,-15.514500761512867,33.54518012019843,-6.423968454671902,-5.187464761305028,-33.693539958040425,-30.29518616409396,28.21811872260333,16.12713245343905,-22.973715503743517,25.28601542366092,-23.79427762377395,36.35962173010391,-13.04655006983083,14.077823317424171,28.534091414853673,-32.37498364394405,-21.454618160217503,4.714738189384122,-0.15495919020355248,-2.235039504171012,30.09876915577708,-25.896984621963586,14.472867194506929,-9.012399949986706,23.622918309780093,-34.526127319702745,-25.749640873192384,43.027344082775556,11.215852337918719,-5.181809727860664,-12.76326680154733,34.04642615246186
0.2,0.004004004004004004,-18.896224803597168,-12.803194680873698,-3.2984149839878056,-26.775973515982525,-20.22528388072465,38.51755804529841,23.499975391962348,-15.515351251402347,33.54813570289301,-6.42477744156408,-5.188334450706568,-33.69690213832527,-30.298175295598803,28.22148175436048,16.1290773287304,-22.976025423465806,25.288509580521485,-23.796704035905496,36.36301370362573,-13.048201213105793,14.079028504901007,28.537070444551276,-32.37839341675419,-21.456703400841675,4.715906505440596,-0.15523022050422175,-2.2349056241873533,30.101507848285156,-25.899989044509656,14.474233661561286,-9.012562728125234,23.62514322476795,-34.529161058762966,-25.752415493416958,43.03136695650667,11.216976289007217,-5.182383470381751,-12.76443280879321,34.050221010716186
0.25,0.005005005005005005,-18.89816889031567,-12.80489214984038,-3.2983940034018073,-26.779064693062292,-20.227723154547462,38.520888649579824,23.502263590754843,-15.515968394712944,33.5509628510116,-6.425639660234536,-5.1893164400158645,-33.70025739831371,-30.301151164436053,28.225030722094544,16.13113335950107,-22.978337526212005,25.290996370125967,-23.79914405606008,36.36632428994583,-13.049965962165412,14.080168589953555,28.54009623916208,-32.38185513142364,-21.458765099964936,4.717310206761988,-0.15558064653623302,-2.234651232159426,30.104162648401786,-25.903129047146383,14.475578402178874,-9.012476098660828,23.62732705779488,-34.5320555463028,-25.755254659559494,43.035296883226444,11.218102316383089,-5.182974333762535,-12.765560022827776,34.054148706397896
0.30000000000000004,0.006006006006006006,-18.900126388109786,-12.806691894635241,-3.298281852452903,-26.782257426776923,-20.230263651069436,38.52408932776366,23.50453485617171,-15.516352015338297,33.55366113478785,-6.426555624473417,-5.190410715437982,-33.70360464853407,-30.30411397413987,28.22876651416585,16.13329999365492,-22.980652219999346,25.293475276654405,-23.8015978477009,36.369552861914705,-13.051844752865035,14.081242939486769,28.543169701391168,-32.385367549352566,-21.46080317994416,4.718950610400934,-0.15601007810059084,-2.2342765911749107,30.10673425994077,-25.906404785568782,14.476901924951907,-9.012140395213464,23.629470122933775,-34.53481098791788,-25.758159685725225,43.03913287225345,11.219230152278458,-5.183582483454668,-12.766648305319976,34.0582100761671
0.35000000000000003,0.007007007007007007,-18.90209787776987,-12.808593955636251,-3.2980780336709206,-26.785551121814198,-20.2329051233504,38.527159773010155,23.50678826157197,-15.516501765509133,33.556230140087045,-6.427525919002213,-5.191617344986325,-33.70694275183134,-30.307064000319993,28.23269010799836,16.135576681578595,-22.98296988846183,25.295945676913735,-23.804065622647204,36.3726988232134,-13.05383807032269,14.082250860403446,28.546291773208075,-32.388929473410954,-21.462817515808588,4.720829139324944,-0.1565180985271746,-2.233782019871977,30.10922337380429,-25.909816426686408,14.478204746956012,-9.011555878718394,23.63157271717316,-34.537427567729395,-25.761131950973212,43.04287395408827,11.220359527319928,-5.184208081696271,-12.767697553150866,34.06240605685622
0.4,0.008008008008008008,-18.904083971722528,-12.810598500442874,-3.2977819355094335,-26.788945103642828,-20.235647304205845,38.5300995566978,23.509022852920022,-15.516417125568482,33.558669468470654,-6.428551199328132,-5.192936478608837,-33.71027052376495,-30.31000159125688,28.2368025692369,16.13796287544527,-22.985290890932184,25.298406839611797,-23.806547641046826,36.37576160741546,-13.055946448630031,14.083191598882625,28.549463435744176,-32.392539748222624,-21.464807935437353,4.722947322681823,-0.15710426496397153,-2.2331678935445427,30.111630666619646,-25.913364146596944,14.479487394652791,-9.010722738378766,23.633635120141072,-34.539905447201825,-25.764172898414373,43.04651917964555,11.221490170503305,-5.184851287425349,-12.768707698461968,34.06673768625065
0.45,0.009009009009009009,-18.906085314092362,-12.812705823949948,-3.2973928317791437,-26.79243861639304,-20.238489904530525,38.53290812771921,23.51123764911369,-15.516097403909361,33.56097873723069,-6.429632191661383,-5.194368348374414,-33.71358673297858,-30.312927168585052,28.241105050838474,16.140458028508686,-22.987615562502086,25.300857924534498,-23.80904421135451,36.37874067727727,-13.058170470545265,14.084064339543211,28.552685709226473,-32.39619726036671,-21.46677421964997,4.725306795880457,-0.15776810868016758,-2.2324346452980195,30.11395679951789,-25.917048128386494,14.48075040481507,-9.00964109292878,23.635657593890457,-34.54224476404844,-25.767284034274763,43.050067619651514,11.222621809181422,-5.185512256203095,-12.769678708719525,34.07120610389461
