t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
0.0,0.0,-6.080400689589212,32.08451140478649,21.421723713253385,17.01395698675028,-30.08299889042937,31.985211688756227,-9.473606034619362,-16.762427937822665,8.441063097600985,-3.2466136357200757,-19.936078574937028,25.87182778874361,-25.864099940791668,-22.06528643050324,11.868927634354465,-2.3666444899401036,-34.137546186794744,-29.025744934809026,-31.163587651060457,-2.4407933705370413,2.4714875013666235,35.34688918160528,5.895086891287609,1.4234781060832675,32.39694587458424,32.204046181746904,-20.244015597412556,13.596482041022957,35.83390939813202,-22.072735940115738,16.30242358897022,22.725417525779587,33.59919323146592,27.15189578308112,-6.873634520553935,-39.51104108755459,-37.20520003532846,-38.85942641904899,6.2421505450479735,-9.858213246075682,-30.88982111966174,27.973602047011322
0.05,0.001001001001001001,-6.081012312379198,32.08771584295196,21.423859660089047,17.01565245559726,-30.086022844469813,31.988403797978474,-9.474565520105342,-16.764116127098806,8.441902334295284,-3.2469437405401598,-19.938077708303354,25.874412686534445,-25.866701629366887,-22.067507240487796,11.870105731332284,-2.3668860802610245,-34.140973893226985,-29.028658105471447,-31.166710153012826,-2.4410454167036835,2.471726417518192,35.35040929351895,5.895667424869557,1.4236099556718949,32.4001847482941,32.207261448960956,-20.246040884927172,13.597838864500247,35.837478244547576,-22.074957948018415,16.3040426143871,22.727678558502117,33.60254589767353,27.154596343373502,-6.874328268040244,-39.515002923434494,-37.208930764186576,-38.86332176707232,6.2427712723158635,-9.859209785841637,-30.892923894249854,27.976386892410517
0.1,0.002002002002002002,-6.08157998362519,32.09084183664326,21.426134958071536,17.01715230272814,-30.089145726951607,31.991549814980026,-9.475570435247398,-16.765880958110856,8.44285738378294,-3.247307797697302,-19.940134042320583,25.877051052302015,-25.869232765955143,-22.069793360262395,11.871311604510291,-2.3670907558382845,-34.14428963314678,-29.031671152680886,-31.16976922560572,-2.4414286775304985,2.471992414128529,35.35387923556206,5.896340163961563,1.4235729898071205,32.40347072808075,32.21053049139249,-20.24820127045549,13.599160766904127,35.84111950249295,-22.07709363170035,16.30561675499961,22.729942016456253,33.606016179230046,27.157320645995636,-6.87491544805992,-39.51889446664079,-37.21253792742029,-38.867340799597095,6.243555478494495,-9.860221152499571,-30.896038806707754,27.979035175654875
0.15000000000000002,0.003003003003003003,-6.082103626322375,32.093888584278474,21.428550284543498,17.018456017953774,-30.09236679344781,31.99464944861122,-9.476620292009462,-16.767722536581466,8.443927966136561,-3.2477051860852137,-19.94224828766809,25.879743273723136,-25.87169370774642,-22.07214492513776,11.87254505955923,-2.3672591135694385,-34.14749228549776,-29.03478427815371,-31.17276563966745,-2.4419440895206392,2.4722859833505266,35.35729776621871,5.897105624364605,1.423367347692238,32.4068035586488,32.21385197468871,-20.250497811590357,13.60044821679769,35.84483318503536,-22.07914275018514,16.307145586789883,22.732206760737704,33.609604053733776,27.1600691460327,-6.8753964524497615,-39.52271482759131,-37.216019044530626,-38.87148336608261,6.244503100628445,-9.861246958048666,-30.899164900573552,27.9815474110594
0.2,0.004004004004004004,-6.082583167317502,32.09685531007979,21.431106301480888,17.01956314037838,-30.09568526895897,31.997702414481644,-9.47771461140943,-16.769640994408586,8.445113802394323,-3.2481352542465616,-19.9444211547195,25.88248977253543,-25.874084771940574,-22.07456207137551,11.873805879792094,-2.367391798067372,-34.150580804342816,-29.03799768679837,-31.175700146062674,-2.442592603444801,2.472607596289596,35.36066367501135,5.897964422514344,1.4229931347953664,32.41018302000293,32.21722454644358,-20.252931602533717,13.601701694397057,35.84861936657134,-22.08110508623841,16.30862868974781,22.734471613901857,33.613309501301295,27.162842279796305,-6.875771664549373,-39.526463203774796,-37.21937169312328,-38.87574931710925,6.245614151558836,-9.862286806082848,-30.90230119848425,27.983924069639183
0.25,0.005005005005005005,-6.083018537325053,32.09974126383194,21.43380365393837,17.020473257484852,-30.099100346811785,32.00070843571405,-9.478852923649518,-16.771636490135347,8.44641461410978,-3.248597320251392,-19.946653353939194,25.88529100402913,-25.87640623581255,-22.077044935381625,11.875093825926053,-2.3674895022219227,-34.153554218971074,-29.041311585641616,-31.178573475963013,-2.443375183071689,2.472957703492286,35.36397578355018,5.89891727529354,1.4224504229596604,32.41360892757032,32.22064683663818,-20.25550377420655,13.602921691531039,35.85247818367957,-22.082980445568257,16.310065647628925,22.736735360406776,33.617132504068955,27.16564046448003,-6.87604145982406,-39.53013888148019,-37.22259350993843,-38.880138503285316,6.2468887199114205,-9.863340291264198,-30.905446702589966,27.986165579212486
0.30000000000000004,0.006006006006006006,-6.083409670929984,32.10254572068609,21.436642968283255,17.021186004365525,-30.102611187526087,32.00366724368356,-9.480034768204654,-16.7737092094154,8.447830122774052,-3.249090671608164,-19.948945596288162,25.888147456541283,-25.878658336811565,-22.079593652887684,11.87640863586627,-2.3675529678262763,-34.15641163407682,-29.044726182759067,-31.18138634109237,-2.4442928038812113,2.473336735410959,35.36723294653887,5.899964999917852,1.4217392507326112,32.41708113229992,32.224117458056355,-20.258215494304796,13.604108711637712,35.856409836029925,-22.084768656111486,16.311456047705295,22.738996747024704,33.621073045571244,27.16846409779168,-6.87620620652694,-39.53374123743774,-37.22568219181659,-38.88465077408221,6.248326970031858,-9.864406998818579,-30.908600394930737,27.988272324512316
0.35000000000000003,0.007007007007007007,-6.083756506576874,32.10526798101,21.439624850213207,17.021701063104235,-30.106216917651633,32.00657857874245,-9.481259693868742,-16.77585936547129,8.449360049110819,-3.2496145652099186,-19.951298593638995,25.89105965095202,-25.880841272693818,-22.082208358121175,11.877750024511357,-2.3675829862688205,-34.15915223001566,-29.04824168620905,-31.184139433945774,-2.445346451757013,2.4737451028428996,35.37043405273673,5.901108513894266,1.4208596239167615,32.42059952073879,32.22763500667776,-20.261067967297734,13.605263269796854,35.86041458734927,-22.0864695674073,16.31279948050969,22.741254483223756,33.625131109995515,27.171313557560506,-6.876266266398064,-39.53726974037302,-37.22863549660292,-38.889285976597534,6.249929141868656,-9.865486504053363,-30.911761237776407,27.990244647304376
0.4,0.008008008008008008,-6.0840589865453385,32.10790737028504,21.442749882552935,17.022018162315117,-30.10991662857596,32.00944219093097,-9.482527258758774,-16.77808719954343,8.451004112244663,-3.250168227318268,-19.95371305919976,25.894028140182616,-25.88295520168847,-22.084889182966364,11.879117683580231,-2.3675803992912106,-34.161775263143056,-29.05185830296861,-31.18683342798042,-2.446537121655077,2.474183197342167,35.373578025877066,5.902348835051156,1.419811516344714,32.42416401508553,32.231198062050375,-20.264062434364988,13.606385892797153,35.864492766444705,-22.088083050060206,16.31409553957334,22.74350724152159,33.62930668131257,27.17418920131787,-6.8762219953982155,-39.54072395247499,-37.231451243992396,-38.89404395424529,6.251695550803712,-9.866578371897194,-30.914928173930186,27.992082846509494
0.45,0.009009009009009009,-6.08431705691151,32.110463239050745,21.446018622825186,17.022137076843194,-30.11370937530453,32.012257840674586,-9.483837030276922,-16.78039298132725,8.452762028743157,-3.2507508535880674,-19.95618970794656,25.89705350869491,-25.885000242696876,-22.087636256117335,11.880511281460246,-2.367546099813519,-34.164280066239776,-29.055576237870472,-31.189468977777604,-2.4478658162452565,2.474651391602443,35.37666382554178,5.903687081638809,1.4185948708818688,32.427774573220766,32.23480518764485,-20.26720017326836,13.607477119237275,35.86864476828465,-22.089608995293663,16.31534382115759,22.74575365781308,33.633599742282385,27.177091365849854,-6.8760737444749935,-39.54410353077942,-37.234127316318435,-38.898924545372736,6.253626587429895,-9.867682156461834,-30.918100126996322,27.993787178328965
