x,a,b,rrate,t,Time
-2.8030876217741865,0.4,8.0,-15.571900646030997,0.0,0
-2.8030876217741865,0.4026026026026026,7.994994994994995,-15.576905651036002,0.01,1
-2.8029213010723963,0.40520520520520525,7.98998998998999,-15.579113470026137,0.02,2
-2.802614573285798,0.40780780780780784,7.984984984984985,-15.578960354196822,0.03,3
-2.802189326032589,0.41041041041041043,7.97997997997998,-15.576815076812949,0.04,4
-2.801664036934747,0.413013013013013,7.974974974974975,-15.572989152585537,0.05,5
-2.8010542985023172,0.41561561561561566,7.96996996996997,-15.567745579504955,0.06,6
-2.800373264390077,0.41821821821821825,7.964964964964965,-15.561306294767244,0.07,7
-2.7996320281163345,0.42082082082082084,7.95995995995996,-15.553858518604383,0.08,8
-2.79883994398606,0.42342342342342343,7.954954954954955,-15.545560141200719,0.09,9
-2.798004898705977,0.4260260260260261,7.94994994994995,-15.53654428959798,0.1,10
-2.7971335410377067,0.42862862862862866,7.944944944944945,-15.526923194249475,0.11,11
-2.796231475813605,0.43123123123123125,7.93993993993994,-15.516791459052257,0.12,12
-2.795303427737365,0.43383383383383384,7.934934934934935,-15.506228824425856,0.13,13
-2.794353379601679,0.4364364364364365,7.92992992992993,-15.49530250034405,0.14,14
-2.793384688869387,0.43903903903903907,7.924924924924925,-15.484069135104837,0.15,15
-2.7924001859725047,0.44164164164164166,7.91991991991992,-15.472576475937917,0.16,16
-2.791402257174957,0.44424424424424425,7.914914914914915,-15.46086476916942,0.17,17
-2.7903929144096686,0.4468468468468469,7.90990990990991,-15.448967940453144,0.18,18
-2.789373854129468,0.4494494494494495,7.904904904904905,-15.43691458939834,0.19,19
-2.7883465068954587,0.45205205205205207,7.8998998998999,-15.42472882764842,0.2,20
-2.7873120791583923,0.45465465465465466,7.894894894894895,-15.412430984971943,0.21,21
-2.786271588461331,0.4572572572572573,7.88988988988989,-15.400038204110597,0.22,22
-2.7852258930995735,0.4598598598598599,7.884884884884885,-15.387564941892064,0.23,23
-2.784175717111217,0.4624624624624625,7.87987987987988,-15.375023391375397,0.24,24
-2.78312167133441,0.46506506506506506,7.874874874874875,-15.362423837478842,0.25,25
-2.782064271151461,0.4676676676676677,7.86986986986987,-15.34977495658266,0.26,26
-2.781003951442213,0.4702702702702703,7.864864864864865,-15.337084068946746,0.27,27
-2.779941079186691,0.4728728728728729,7.85985985985986,-15.324357351389132,0.28,28
-2.7788759640875846,0.47547547547547553,7.854854854854855,-15.311600016496255,0.29,29
-2.7778088675246337,0.4780780780780781,7.84984984984985,-15.298816463645615,0.3,30
-2.7767400101036963,0.4806806806806807,7.844844844844845,-15.28601040628718,0.31,31
-2.775669578021802,0.4832832832832833,7.83983983983984,-15.273184979227349,0.32,32
-2.7745977284345447,0.4858858858858859,7.834834834834835,-15.26034282906757,0.33,33
-2.7735245939827586,0.4884884884884885,7.82982982982983,-15.247486190451848,0.34,34
-2.7724502866106575,0.4910910910910911,7.824824824824825,-15.234616950357728,0.35000000000000003,35
-2.7713749007867623,0.4936936936936937,7.81981981981982,-15.22173670231269,0.36,36
-2.770298516221402,0.49629629629629635,7.814814814814815,-15.20884679212069,0.37,37
-2.7692212001597807,0.49889889889889893,7.80980980980981,-15.19594835643332,0.38,38
-2.7681430093171717,0.5015015015015015,7.804804804804805,-15.183042355289777,0.39,39
-2.76706399151232,0.5041041041041041,7.7997997997998,-15.17012959957248,0.4,40
-2.7659841870463118,0.5067067067067067,7.794794794794795,-15.157210774175946,0.41000000000000003,41
-2.7649036298667378,0.5093093093093093,7.78978978978979,-15.144286457560998,0.42,42
-2.7638223485507285,0.511911911911912,7.784784784784785,-15.13135713826061,0.43,43
-2.7627403671351574,0.5145145145145146,7.77977977977978,-15.118423228814532,0.44,44
-2.761657705817876,0.5171171171171172,7.774774774774775,-15.105485077534992,0.45,45
-2.7605743815501014,0.5197197197197198,7.76976976976977,-15.092542978442403,0.46,46
-2.7594904085369234,0.5223223223223223,7.764764764764765,-15.079597179657062,0.47000000000000003,47
-2.7584057986602453,0.5249249249249249,7.75975975975976,-15.066647890487637,0.48,48
-2.75732056183623,0.5275275275275275,7.754754754754755,-15.053695287419833,0.49,49
