Beat number,IBI (s)
0,1.222000002861023
1,1.190000057220459
2,1.207800030708313
3,1.2036999464035034
4,1.2003999948501587
5,1.1979000568389893
6,1.1883000135421753
7,1.1859999895095823
8,1.1996999979019165
9,1.1792999505996704
10,1.2020000219345093
11,1.1859999895095823
12,1.187600016593933
13,1.184399962425232
14,1.210800051689148
15,1.2065999507904053
16,1.2089999914169312
17,1.210199952125549
18,1.2109999656677246
19,1.2003999948501587
20,1.2063000202178955
21,1.1996999979019165
22,1.197700023651123
23,1.1991000175476074
24,1.212399959564209
25,1.1822999715805054
26,1.216599941253662
27,1.204699993133545
28,1.2069000005722046
29,1.2031999826431274
30,1.198799967765808
31,1.2098000049591064
32,1.1995999813079834
33,1.1928000450134275
34,1.201300024986267
35,1.211899995803833
36,1.216599941253662
37,1.192399978637695
38,1.1956000328063965
39,1.1973999738693235
40,1.184499979019165
41,1.2075999975204468
42,1.1937999725341797
43,1.205600023269653
44,1.204200029373169
45,1.190500020980835
46,1.1943000555038452
47,1.2094000577926636
48,1.2137000560760498
49,1.1958999633789062
50,1.1787999868392944
51,1.1926000118255615
52,1.2059999704360962
53,1.2039999961853027
54,1.1999000310897827
55,1.1901999711990356
56,1.1953999996185305
57,1.1973999738693235
58,1.1852999925613403
59,1.2101000547409058
60,1.1985000371932983
61,1.1721999645233154
62,1.1677000522613523
63,1.181399941444397
64,1.1799999475479126
65,1.1764999628067017
66,1.1799999475479126
67,1.1855000257492063
68,1.1800999641418457
69,1.1864999532699585
70,1.187800049781799
71,1.1765999794006348
72,1.1755000352859497
73,1.1928000450134275
74,1.1972999572753906
75,1.1969000101089478
76,1.17330002784729
77,1.1894999742507937
78,1.194599986076355
79,1.1851999759674072
80,1.1872999668121338
81,1.176200032234192
82,1.180400013923645
83,1.1806000471115112
84,1.186900019645691
85,1.1690000295639038
86,1.1901999711990356
87,1.1742000579833984
88,1.173799991607666
89,1.1704000234603882
90,1.1548000574111938
91,1.1615999937057495
92,1.1369999647140503
93,1.087000012397766
94,1.0247000455856323
95,1.067199945449829
96,1.055400013923645
97,1.0707999467849731
98,1.0570000410079956
99,1.152400016784668
100,1.1263999938964844
101,1.1627999544143677
102,1.142899990081787
103,1.1523000001907349
104,1.1617000102996826
105,1.145400047302246
106,1.1335999965667725
107,1.1610000133514404
108,1.1288000345230105
109,1.1644999980926514
110,1.1490999460220337
111,1.1345000267028809
112,1.156599998474121
113,1.1368000507354736
114,1.1497000455856323
115,1.149899959564209
116,1.146399974822998
117,1.1405999660491943
118,1.169100046157837
119,1.160099983215332
120,1.159500002861023
121,1.1644999980926514
122,1.1649999618530271
123,1.169100046157837
124,1.1540000438690186
125,1.1442999839782717
126,1.122099995613098
127,1.1618000268936155
128,1.121500015258789
129,1.1571999788284302
130,1.0219999551773071
131,1.1414999961853027
132,1.0509999990463257
133,1.1168999671936035
134,1.1483999490737915
135,1.1238000392913818
136,1.1318999528884888
137,1.1031999588012695
138,1.1152000427246094
139,1.1205999851226809
140,1.1332000494003296
141,1.1332999467849731
142,1.1145000457763672
143,1.1426000595092771
144,1.0942000150680542
145,1.14110004901886
146,1.1117000579833984
147,1.1067999601364136
148,1.1002999544143677
149,1.123900055885315
150,1.1335999965667725
151,1.120100021362305
152,1.1497000455856323
153,1.1263999938964844
154,1.042099952697754
155,1.1217999458312988
156,1.073099970817566
157,1.0976999998092651
158,1.0908000469207764
159,1.0644999742507937
160,1.0846999883651731
161,1.0894999504089355
162,1.0378999710083008
163,1.136299967765808
164,1.0571999549865725
165,1.1031999588012695
166,1.1079000234603882
167,1.0907000303268433
168,1.0712000131607056
169,1.0743999481201172
170,1.0815999507904053
171,1.0923000574111938
172,1.095900058746338
173,1.079300045967102
174,1.0647000074386597
175,1.0807000398635864
176,1.1145000457763672
177,1.0276999473571775
178,1.0764000415802002
179,0.9999600052833556
180,1.1139999628067017
181,0.9747899770736694
182,1.1478999853134155
183,1.1232999563217163
184,1.1136000156402588
185,1.1035000085830688
186,1.0678999423980713
187,1.0851000547409058
188,1.0663000345230105
189,1.096400022506714
190,1.045799970626831
191,1.0577000379562378
192,0.9859700202941896
193,1.079200029373169
194,0.9573299884796144
195,1.104599952697754
196,0.916320025920868
197,1.0994999408721924
198,0.9951900243759156
199,1.0736000537872314
200,1.0360000133514404
201,1.0298000574111938
202,1.107100009918213
203,0.952239990234375
204,1.129899978637695
205,0.9049500226974488
206,1.1302000284194946
207,0.966480016708374
208,1.1122000217437744
209,0.9611799716949464
210,1.1039999723434448
211,0.8303800225257874
212,1.1711000204086304
213,0.8479899764060974
214,1.1862000226974487
215,0.8887199759483337
216,1.170199990272522
217,0.8863400220870972
218,1.1603000164031982
219,0.8130999803543091
220,1.1949000358581543
221,0.8182700276374817
222,1.187800049781799
223,0.8636000156402588
224,1.1971999406814575
225,0.7340599894523621
226,1.2174999713897705
227,0.8392199873924255
228,1.180899977684021
229,0.8034600019454956
