Beat number,IBI (s)
0,0.7190899848937988
1,0.6956599950790405
2,0.706570029258728
3,0.7119399905204773
4,0.7039700150489807
5,0.7103000283241272
6,0.6655700206756592
7,0.7257999777793884
8,0.7181500196456909
9,0.7458400130271912
10,0.7385799884796143
11,0.7014899849891663
12,0.8083099722862244
13,0.7325699925422668
14,0.735539972782135
15,0.7542700171470642
16,0.7291600108146667
17,0.7541400194168091
18,0.7462800145149231
19,0.7373999953269958
20,0.7595300078392029
21,0.7308899760246277
22,0.7390099763870239
23,0.7306699752807617
24,0.7399200201034546
25,0.7449600100517273
26,0.7352399826049805
27,0.7468400001525879
28,0.7387499809265137
29,0.727180004119873
30,0.7381500005722046
31,0.7002800107002258
32,0.7264500260353088
33,0.7465900182723999
34,0.7376300096511841
35,0.7601500153541565
36,0.7230899930000305
37,0.7412199974060059
38,0.7104799747467041
39,0.7320399880409241
40,0.7070299983024597
41,0.7389500141143799
42,0.677299976348877
43,0.7160400152206421
44,0.7121599912643433
45,0.7630500197410583
46,0.7090200185775757
47,0.7099300026893616
48,0.7208600044250488
49,0.7324699759483337
50,0.6959999799728394
51,0.7232800126075745
52,0.7153900265693665
53,0.7317900061607361
54,0.7076600193977356
55,0.7528300285339355
56,0.7396100163459778
57,0.7219200134277344
58,0.710919976234436
59,0.7215099930763245
60,0.7215399742126465
61,0.7603499889373779
62,0.7030500173568726
63,0.7582100033760071
64,0.7167999744415283
65,0.7057300209999084
66,0.7400199770927429
67,0.7341499924659729
68,0.7398099899291992
69,0.7372000217437744
70,0.7432199716567993
71,0.7071200013160706
72,0.7870299816131592
73,0.6969799995422363
74,0.7380399703979492
75,0.7424100041389465
76,0.7424899935722351
77,0.7198200225830078
78,0.7420700192451477
79,0.7311400175094604
80,0.7089099884033203
81,0.7070000171661377
82,0.722100019454956
83,0.7180500030517578
84,0.7506800293922424
85,0.7086700201034546
86,0.7390699982643127
87,0.7710199952125549
88,0.7299799919128418
89,0.7105100154876709
90,0.7287700176239014
91,0.7343400120735168
92,0.7198299765586853
93,0.7758399844169617
94,0.732479989528656
95,0.7266700267791748
96,0.7638099789619446
97,0.732420027256012
98,0.7684000134468079
99,0.7184200286865234
100,0.7300500273704529
