,Time,accx,accy
0,2.352,0.2022694752341159,0.9793299032443129
1,2.39,0.06286838033561339,0.9980218267923686
2,2.429,-0.04045970179815175,0.999181171024757
3,2.466,-0.10335636635836028,0.994644389484602
4,2.504,-0.15296086365452918,0.9882322470907638
5,2.543,-0.17156357153859567,0.9851730512559309
6,2.581,-0.1853607704226873,0.9826705372546324
7,2.619,-0.19250035758386383,0.9812969032510419
8,2.657,-0.19603748393522383,0.9805964026511348
9,2.695,-0.19772529429766678,0.9802574702571264
10,2.733,-0.1983543500664356,0.9801303749041358
11,2.771,-0.1980588388780862,0.980190132750919
12,2.809,-0.19660185130129718,0.9804834073378818
13,2.847,-0.19362391708912866,0.9810758272075926
14,2.885,-0.18883672459752357,0.9820084986614316
15,2.923,-0.18215578586974102,0.9832696830850514
16,2.961,-0.17375613730685538,0.9847887107132175
17,2.998,-0.16403663029440835,0.9864542482658055
18,3.036,-0.15800530270046945,0.9874382635479206
19,3.074,-0.14718761186719212,0.9891085920731014
20,3.112,-0.13676228898907217,0.9906038947583791
21,3.149,-0.1311489987164994,0.991362668318542
22,3.187,-0.12252149841125892,0.9924658595775776
23,3.225,-0.11512153216912026,0.9933514145714165
24,3.263,-0.10889331417247118,0.9940534422899683
25,3.301,-0.1036705169125523,0.9946116950464057
26,3.339,-0.09922285046780692,0.9950652370297354
27,3.377,-0.0953019474603324,0.9954484109235738
28,3.415,-0.09166977782241703,0.9957894616001862
29,3.453,-0.08813409171676775,0.9961086195176008
30,3.491,-0.08457831266304193,0.996416834977748
31,3.528,-0.08096808348503594,0.9967166946814727
32,3.567,-0.07734541711761546,0.9970043562848169
33,3.605,-0.0738161104335236,0.9972718695724179
34,3.643,-0.07052681164868212,0.9975098840806897
35,3.681,-0.06763212003472127,0.9977103268682794
36,3.719,-0.0652652830908382,0.9978679485899288
37,3.757,-0.06351946754439491,0.9979805996325162
38,3.795,-0.06244256418319965,0.9980485590281801
39,3.834,-0.06030760498385116,0.9981798398991596
40,3.872,-0.06072570133327448,0.9981544916482528
41,3.91,-0.06183970691583925,0.9980860938058215
42,3.948,-0.06366147632076015,0.9979715509134823
43,3.986,-0.06621164314259706,0.9978056014637106
44,4.024,-0.06951622970203647,0.9975808206897392
45,4.062,-0.07359763550896133,0.9972880165967554
46,4.1,-0.07845961950340634,0.996917292510959
47,4.138,-0.08406884888489312,0.9964599483407093
48,4.176,-0.09032980207158166,0.9959119071773913
49,4.214,-0.09706111531706826,0.9952784233034527
50,4.251,-0.10361386074477953,0.994617598809493
51,4.289,-0.11008576750154801,0.9939220914103857
52,4.327,-0.1159856340392535,0.9932508911128711
53,4.364,-0.12091358843489884,0.9926630365495615
54,4.402,-0.12284772576259982,0.9924255318536283
55,4.44,-0.12449079495905167,0.9922207627188939
56,4.478,-0.12436444517477759,0.9922366072547262
57,4.515,-0.11973666148718404,0.992805686877298
58,4.553,-0.11586085955106616,0.9932654535541283
59,4.591,-0.11067198785678335,0.993856987249085
60,4.629,-0.10460456952443449,0.9945138933341292
61,4.667,-0.09837261454363269,0.9951496514132183
62,4.704,-0.09329820350538662,0.995638210005355
63,4.742,-0.08675742199089169,0.9962294664029439
64,4.78,-0.09134251315914901,0.9958195344989828
65,4.817,-0.1010657072797936,0.9948797529410452
66,4.855,-0.1319846445099677,0.9912517609636704
