,Time,traj_x,traj_y,gen_x,gen_y
0,2.39,-0.21699093,0.237720474,-0.21638846235870934,0.23839512731707063
1,2.429,-0.202733667,0.239201949,-0.20175473058799134,0.24034746697126616
2,2.466,-0.186000757,0.240986422,-0.18532879135045982,0.24232837528506326
3,2.504,-0.168354846,0.24290858,-0.16735749121574867,0.24440981131207493
4,2.543,-0.148148773,0.245144392,-0.14792560819116762,0.24657188458440643
5,2.581,-0.127143732,0.247490451,-0.1271232487306503,0.2487851619521924
6,2.619,-0.105082437,0.249959506,-0.10511016208063105,0.2510980951725931
7,2.657,-0.082156088,0.252511198,-0.08198810775536061,0.253524532082724
8,2.695,-0.058492663,0.255110742,-0.05784844533551135,0.2560795260953576
9,2.733,-0.034156277,0.257733195,-0.03277283904502625,0.25877934946605896
10,2.771,-0.009156089,0.260367455,-0.006833923466335299,0.2616415565253539
11,2.809,0.016537241,0.263017304,0.019904083144787237,0.2646850988608769
12,2.847,0.042970591,0.26569972,0.04738482997509626,0.2679304941223248
13,2.885,0.070186999,0.268440853,0.07555936015225707,0.2714000505819094
14,2.923,0.098206436,0.271270592,0.10438572319632905,0.2751181506940643
15,2.961,0.127013184,0.27421685,0.13382868452726376,0.2791115986079163
16,2.998,0.156554698,0.277301389,0.16385954478432663,0.2834100389126143
17,3.036,0.185945485,0.280450142,0.1944492601766111,0.2881133171114263
18,3.074,0.216671286,0.283837297,0.22560219393887532,0.2932013681820651
19,3.112,0.247830986,0.287377265,0.2573106013702558,0.2987177934312385
20,3.149,0.278482508,0.290965921,0.2895744260946491,0.3047120564558061
21,3.187,0.310190624,0.294793577,0.3224028874798003,0.31131435962233556
22,3.225,0.342059512,0.298766775,0.35582718699591187,0.31852669938373285
23,3.263,0.374040536,0.302894241,0.38987840682925334,0.32642617197028656
24,3.301,0.406102524,0.30719186,0.42460179034761764,0.3351024262402294
25,3.339,0.438225539,0.311681264,0.4600599717870935,0.3446604228266129
26,3.377,0.470393296,0.316387222,0.49633735912283583,0.35522397063033906
27,3.415,0.502587333,0.321335566,0.5335460908492426,0.3669403200075363
28,3.453,0.534783746,0.326547176,0.5718341666926187,0.3799862109430205
29,3.491,0.56695554,0.332029942,0.6113966177835466,0.39457595154610337
30,3.528,0.59907858,0.337774401,0.6524909803019938,0.4109723696491756
31,3.567,0.631135481,0.343753649,0.6954889649437512,0.42960162471014884
32,3.605,0.66311625,0.349926162,0.7408069423416269,0.45069011529945624
33,3.643,0.695017653,0.356240912,0.7890745970450488,0.474852686188373
34,3.681,0.726842783,0.36264417,0.8411311262381178,0.502774637370645
35,3.719,0.75859965,0.369085879,0.8981326126451443,0.5353642045281003
36,3.757,0.790298123,0.37552438,0.9616924696911937,0.5738494530550263
37,3.795,0.821946245,0.381928381,1.0340939747017446,0.6199270691837373
