,Time,traj_x,traj_y,gen_x,gen_y
0,2.39,-0.21699093,0.237720474,-0.2158567931871584,0.2388748419616535
1,2.429,-0.202733667,0.239201949,-0.20090836294195866,0.24104258495237346
2,2.466,-0.186000757,0.240986422,-0.1843990880970805,0.24306221773057518
3,2.504,-0.168354846,0.24290858,-0.16645220349357573,0.24498890205465035
4,2.543,-0.148148773,0.245144392,-0.1471795375739055,0.2468712570193329
5,2.581,-0.127143732,0.247490451,-0.12668254447323737,0.2487518117527371
6,2.619,-0.105082437,0.249959506,-0.10505342774480454,0.2506674986094074
7,2.657,-0.082156088,0.252511198,-0.08237626657434116,0.2526501539537932
8,2.695,-0.058492663,0.255110742,-0.0587280869634452,0.2547270045011566
9,2.733,-0.034156277,0.257733195,-0.03417984391254425,0.2569211253291266
10,2.771,-0.009156089,0.260367455,-0.00879729748683935,0.259251861573113
11,2.809,0.016537241,0.263017304,0.01735822278886643,0.2617352099584423
12,2.847,0.042970591,0.26569972,0.0442291632143473,0.26438415913521673
13,2.885,0.070186999,0.268440853,0.07176119428399566,0.2672089896274652
14,2.923,0.098206436,0.271270592,0.099902753036338,0.27021753536820936
15,2.961,0.127013184,0.27421685,0.12860466919014188,0.27341540947945403
16,2.998,0.156554698,0.277301389,0.1578198647207933,0.2768061973264279
17,3.036,0.185945485,0.280450142,0.18750311695160107,0.2803916200391048
18,3.074,0.216671286,0.283837297,0.217610875977484,0.28417167172757035
19,3.112,0.247830986,0.287377265,0.24810112813125376,0.288144733572757
20,3.149,0.278482508,0.290965921,0.2789332981335003,0.2923076678842372
21,3.187,0.310190624,0.294793577,0.31006818346839365,0.29665589510377993
22,3.225,0.342059512,0.298766775,0.3414679153630001,0.3011834566104685
23,3.263,0.374040536,0.302894241,0.37309594150276915,0.3058830660582282
24,3.301,0.406102524,0.30719186,0.4049170262909981,0.31074615185393406
25,3.339,0.438225539,0.311681264,0.43689726506488014,0.31576289326604884
26,3.377,0.470393296,0.316387222,0.4690041092299721,0.3209222525408989
27,3.415,0.502587333,0.321335566,0.5012063997853712,0.32621200529644695
28,3.453,0.534783746,0.326547176,0.533474407199965,0.33161877136150913
29,3.491,0.56695554,0.332029942,0.5657798760800685,0.33712804813149577
30,3.528,0.59907858,0.337774401,0.5980960735514138,0.3427242484192377
31,3.567,0.631135481,0.343753649,0.6303978407702352,0.3483907446908341
32,3.605,0.66311625,0.349926162,0.6626616474800968,0.35410992149066317
33,3.643,0.695017653,0.356240912,0.6948656500393675,0.3598632377758334
34,3.681,0.726842783,0.36264417,0.726989753848845,0.3656313007967899
35,3.719,0.75859965,0.369085879,0.759015681595419,0.3713939530757969
36,3.757,0.790298123,0.37552438,0.7909270491758447,0.3771303739459474
37,3.795,0.821946245,0.381928381,0.8227094515510367,0.38281919701712896
38,3.834,0.854378506,0.38844069,0.854350561078377,0.3884386448280304
39,3.872,0.885930723,0.394706719,0.8858402410479892,0.3939666818198984
40,3.91,0.91743012,0.400873183,0.9171706771777338,0.39938118662267624
41,3.948,0.948868694,0.406914988,0.9483365296699289,0.4046601444704986
42,3.986,0.980237182,0.412801226,0.9793351080705837,0.4097818603536483
43,4.024,1.011525935,0.418494308,1.010166570571523,0.4147251932593368
44,4.062,1.042726097,0.423950235,1.0408341485329897,0.41946981154469637
45,4.1,1.0738319,0.42912036,1.0713443958602005,0.4239964691122628
46,4.138,1.104841301,0.433954751,1.1017074614287194,0.42828730161105233
47,4.176,1.13575598,0.438408175,1.1319373810161097,0.4323261413553326
48,4.214,1.166579542,0.442447222,1.1620523831665086,0.43609884902981555
49,4.251,1.19650787,0.445965346,1.1920752011089655,0.4395936595275913
50,4.289,1.22716109,0.449152245,1.2220333803035186,0.44280153844201725
51,4.327,1.257729888,0.451920651,1.2519595684545086,0.4457165448067055
52,4.364,1.288214976,0.454292992,1.2818917719850005,0.4483361946554357
53,4.402,1.31781666,0.456246602,1.3118735601138567,0.450661818870529
54,4.44,1.348132387,0.457909484,1.3419541949539782,0.4526989076279368
55,4.478,1.378358695,0.459239895,1.3721886636289673,0.4544574325651481
56,4.515,1.407703891,0.460223353,1.402637586495925,0.4559521366423645
57,4.553,1.437755765,0.460918251,1.4333669744132786,0.4572027806005318
58,4.591,1.467719547,0.461302566,1.4644478078880179,0.4582343340188405
59,4.629,1.497585975,0.461386009,1.4959554121866703,0.45907709833015486
60,4.667,1.527371907,0.461183928,1.5279686054208022,0.4597667488683115
61,4.704,1.557179087,0.460732367,1.5605686015321418,0.46034428320739845
62,4.742,1.58643445,0.460116951,1.5938376572747621,0.4608558638234773
63,4.78,1.617066134,0.459404881,1.6278574619121604,0.4613525445720277
64,4.817,1.647901315,0.458759597,1.662707280478673,0.4618898727232897
65,4.855,1.681137871,0.458298232,1.6984618759831611,0.46252736140035383
66,4.893,1.716488127,0.458200465,1.7351892525132024,0.4633278312497927
67,4.931,1.75433851,0.458611373,1.7729482792086984,0.4643566250184103
68,4.969,1.794845159,0.459645861,1.8117862735813033,0.46568070432147074
69,5.007,1.837920639,0.461384578,1.851736640405194,0.4673676440968804
70,5.045,1.883269877,0.463877413,1.8928166778392126,0.4694845467828895
71,5.083,1.930432807,0.467148422,1.9350256737727054,0.4720969047710269
72,5.121,1.978842493,0.471199875,1.9783434207192587,0.4752674457085388
73,5.159,2.027912848,0.476016201,2.022729275088637,0.47905500020583835
74,5.197,2.077125637,0.48156977,2.0681218748343304,0.48351343483774406
75,5.234,2.126092111,0.487827604,2.1144396073782517,0.48869069440145124
