,Time,traj_x,traj_y,gen_x,gen_y
0,2.39,-0.21699093,0.237720474,-0.2158746350264818,0.23878489322941565
1,2.429,-0.202733667,0.239201949,-0.20090253766033447,0.24092184801603178
2,2.466,-0.186000757,0.240986422,-0.18433534256573592,0.2429570595315648
3,2.504,-0.168354846,0.24290858,-0.16630391324833438,0.2449348528808223
4,2.543,-0.148148773,0.245144392,-0.14692751662805612,0.2468948075825126
5,2.581,-0.127143732,0.247490451,-0.1263144087709674,0.24887205724478234
6,2.619,-0.105082437,0.249959506,-0.10456263174667166,0.2508976400380352
7,2.657,-0.082156088,0.252511198,-0.08176092348634627,0.25299886868365223
8,2.695,-0.058492663,0.255110742,-0.057989668192161406,0.25519969838156903
9,2.733,-0.034156277,0.257733195,-0.03332183628472654,0.25752107855505957
10,2.771,-0.009156089,0.260367455,-0.007823879937906408,0.2599812798150796
11,2.809,0.016537241,0.263017304,0.018443436702926093,0.26259619150228103
12,2.847,0.042970591,0.26569972,0.04542428390805167,0.2653795878996565
13,2.885,0.070186999,0.268440853,0.0730670938155934,0.26834336302503725
14,2.923,0.098206436,0.271270592,0.1013239687513342,0.2714977350579879
15,2.961,0.127013184,0.27421685,0.13015016719784742,0.2748514221242934
16,2.998,0.156554698,0.277301389,0.15950366236654342,0.2784117915005301
17,3.036,0.185945485,0.280450142,0.18934476733906305,0.28218498441979345
18,3.074,0.216671286,0.283837297,0.21963582032780013,0.286176018635693
19,3.112,0.247830986,0.287377265,0.2503409235573707,0.29038887079021064
20,3.149,0.278482508,0.290965921,0.28142572944315747,0.294826540469836
21,3.187,0.310190624,0.294793577,0.31285726803673564,0.2994910976491159
22,3.225,0.342059512,0.298766775,0.3446038100515639,0.30438371502836403
23,3.263,0.374040536,0.302894241,0.37663476013156183,0.30950468658392094
24,3.301,0.406102524,0.30719186,0.40892057535464266,0.3148534334723819
25,3.339,0.438225539,0.311681264,0.44143270426127007,0.3204284982696279
26,3.377,0.470393296,0.316387222,0.4741435419629581,0.32622752838495717
27,3.415,0.502587333,0.321335566,0.507026397122775,0.3322472493731412
28,3.453,0.534783746,0.326547176,0.5400554668196799,0.3384834287756019
29,3.491,0.56695554,0.332029942,0.5732058155246097,0.3449308310589833
30,3.528,0.59907858,0.337774401,0.6064533546444012,0.35158316418821856
31,3.567,0.631135481,0.343753649,0.6397748193468624,0.3584330183750844
32,3.605,0.66311625,0.349926162,0.6731477396840699,0.3654717975857941
33,3.643,0.695017653,0.356240912,0.7065504033987892,0.3726896444762536
34,3.681,0.726842783,0.36264417,0.7399618082479464,0.3800753595553219
35,3.719,0.75859965,0.369085879,0.7733616022238418,0.3876163155590713
36,3.757,0.790298123,0.37552438,0.8067300107139312,0.39529836825716347
37,3.795,0.821946245,0.381928381,0.8400477504279857,0.4031057652106922
38,3.834,0.854378506,0.38844069,0.8732959308502222,0.41102105436394365
39,3.872,0.885930723,0.394706719,0.9064559450545168,0.4190249947851958
40,3.91,0.91743012,0.400873183,0.9395093529611676,0.42709647237838017
41,3.948,0.948868694,0.406914988,0.9724377615180222,0.4352124239719477
42,3.986,0.980237182,0.412801226,1.005222707855701,0.4433477738561725
43,4.024,1.011525935,0.418494308,1.037845553186864,0.4514753875857151
44,4.062,1.042726097,0.423950235,1.070287397072932,0.4595660486873646
45,4.1,1.0738319,0.42912036,1.102529023633589,0.4675884648049069
46,4.138,1.104841301,0.433954751,1.1345508932706088,0.47550931075770203
47,4.176,1.13575598,0.438408175,1.166333195438581,0.48329331695969496
48,4.214,1.166579542,0.442447222,1.1978559798097135,0.4909034125997796
49,4.251,1.19650787,0.445965346,1.2290993846978355,0.49830093386281643
50,4.289,1.22716109,0.449152245,1.2600439826314926,0.5054459081905559
51,4.327,1.257729888,0.451920651,1.2906712632486923,0.5122974260337521
52,4.364,1.288214976,0.454292992,1.3209642729208646,0.518814111591148
53,4.402,1.31781666,0.456246602,1.3509084283391013,0.5249547034962009
54,4.44,1.348132387,0.457909484,1.3804925173007276,0.5306787550962518
55,4.478,1.378358695,0.459239895,1.4097098936760037,0.5359474616443662
56,4.515,1.407703891,0.460223353,1.4385598645704678,0.5407246181514676
57,4.553,1.437755765,0.460918251,1.467049255635296,0.544977706593074
58,4.591,1.467719547,0.461302566,1.495194125045459,0.5486791044355772
59,4.629,1.497585975,0.461386009,1.5230215778115108,0.5518073979245345
60,4.667,1.527371907,0.461183928,1.5505716101023574,0.5543487732751311
61,4.704,1.557179087,0.460732367,1.5778988888959964,0.5562984470273595
62,4.742,1.58643445,0.460116951,1.605074346921644,0.5576620838358782
63,4.78,1.617066134,0.459404881,1.632186448623231,0.5584571366320208
