library,mean_smape,lower_smape,upper_smape,mean_smape_p,lower_smape_p,upper_smape_p,mean_smape_t,lower_smape_t,upper_smape_t
2,0.014720695109116624,0.012809636208813603,0.016631754009419644,0.5296437878366639,0.5189181833598193,0.5403693923135084,0.500255805641727,0.5002473740009106,0.5002642372825434
3,0.021610820210305307,0.010656308032892373,0.03256533238771824,0.63084850774709,0.6189771388723897,0.6427198766217903,0.500255805641727,0.5002473740009106,0.5002642372825434
4,0.023165076957801126,0.00901838417138359,0.03731176974421866,0.6860786679119271,0.67721029666766,0.6949470391561942,0.5052526368181482,0.4970325619023737,0.5134727117339228
5,0.29587139204854845,0.2339376395967481,0.35780514450034884,0.6851060392566606,0.6529015272910974,0.7173105512222238,0.5353820449665146,0.5076685800850637,0.5630955098479656
