library,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t
3,1.5493009744413951e-09,1.2938622245029867e-09,1.8047397243798036e-09,0.39988562200575223,0.3889356214663529,0.41083562254515155,0.14072792106747298,0.09992154624434076,0.1815342958906052
4,0.1962045957272981,0.13851497965284312,0.2538942118017531,0.9045943104943265,0.8859759862821058,0.9232126347065471,0.47275073373445253,0.40710066627029934,0.5384008011986058
5,0.6943817424092158,0.6454961914772653,0.7432672933411663,1.0,1.0,1.0,0.9569708499987619,0.9402693106510301,0.9736723893464937
6,0.8444249118484155,0.8097582795586068,0.8790915441382242,1.0,1.0,1.0,0.9488142436035281,0.9373876139793211,0.960240873227735
