library,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t
3,0.009350001631706404,-0.0015063080236327707,0.02020631128704558,0.42416009326027243,0.41378057655641765,0.4345396099641272,0.15162615370263682,0.10946410808288703,0.1937881993223866
4,0.34067575406265704,0.2722132820008819,0.4091382261244322,0.957264321528608,0.9450652978287362,0.9694633452284798,0.4354396685541227,0.36784187584290245,0.503037461265343
5,0.7444126703308402,0.6922041436945431,0.7966211969671374,1.0,1.0,1.0,0.93779060307994,0.9225368445784661,0.9530443615814139
6,0.903709039008732,0.8714755280074044,0.9359425500100597,1.0,1.0,1.0,0.9582869898203057,0.9494807441256092,0.9670932355150021
