Time,Relative fluorescence ratio
3.722222222,0.850885198
3.733333333,0.842079794
3.744444444,0.838999268
3.755555556,0.847318499
3.766666667,0.84671512
3.777777778,0.840942605
3.788888889,0.841783459
3.8,0.844315763
3.811111111,0.840699496
3.822222222,0.837981782
3.833333333,0.843316044
3.844444444,0.83140435
3.855555556,0.837703495
3.866666667,0.832322089
3.877777778,0.842108865
3.888888889,0.839752203
3.9,0.840164702
3.911111111,0.838765902
3.922222222,0.844042513
3.933333333,0.838221582
3.944444444,0.83967153
3.955555556,0.841084613
3.966666667,0.8381853
3.977777778,0.838355774
3.988888889,0.842553065
4,0.838060083
4.011111111,0.84191302
4.022222222,0.833291416
4.033333333,0.833326763
4.044444444,0.838505396
4.055555556,0.843926558
4.066666667,0.841570711
4.077777778,0.836421485
4.088888889,0.831207603
4.1,0.836396163
4.111111111,0.830666401
4.122222222,0.835687866
4.133333333,0.829507801
4.144444444,0.835492936
4.155555556,0.830985046
4.166666667,0.831923937
4.177777778,0.836528022
4.188888889,0.839647143
4.2,0.836987954
4.211111111,0.833815131
4.222222222,0.831664546
4.233333333,0.834173682
4.244444444,0.826057429
4.255555556,0.824549246
4.266666667,0.826461137
4.277777778,0.827436402
4.288888889,0.824602102
4.3,0.828723345
4.311111111,0.831434346
4.322222222,0.826742025
4.333333333,0.830167985
4.344444444,0.826562872
4.355555556,0.826506822
4.366666667,0.825461237
4.377777778,0.829103482
4.388888889,0.825512921
4.4,0.824885089
4.411111111,0.822814056
4.422222222,0.831150672
4.433333333,0.827046818
4.444444444,0.822587046
4.455555556,0.814225613
4.466666667,0.825031625
4.477777778,0.822736497
4.488888889,0.832597677
4.5,0.818219917
4.511111111,0.823927634
4.522222222,0.813347851
4.533333333,0.82394768
4.544444444,0.821166751
4.555555556,0.821044914
4.566666667,0.824942692
4.577777778,0.819773433
4.588888889,0.81694804
4.6,0.818585949
4.611111111,0.81369337
4.622222222,0.822356885
4.633333333,0.81191865
4.644444444,0.813622268
4.655555556,0.815462487
4.666666667,0.813807259
4.677777778,0.816550196
4.688888889,0.803283561
4.7,0.815082276
4.711111111,0.80942433
4.722222222,0.805849378
4.733333333,0.814489821
4.744444444,0.799761131
4.755555556,0.803627066
4.766666667,0.791536408
4.777777778,0.79496034
4.788888889,0.782831677
4.8,0.75131675
4.811111111,0.751832478
4.822222222,0.76285813
4.833333333,0.759375998
4.844444444,0.754251898
4.855555556,0.757009834
4.866666667,0.756532404
4.877777778,0.752070601
4.888888889,0.749064004
4.9,0.747072738
4.911111111,0.744208404
4.922222222,0.737204247
4.933333333,0.738244796
4.944444444,0.734438572
4.955555556,0.732510683
4.966666667,0.724192343
4.977777778,0.719428316
4.988888889,0.715209343
5,0.715403352
