t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.23,0.023023023023023025,5.1826794990784535,9.174365744678537,-14.223947208457899,-18.64435726102456,28.600804483821037,-22.499071450239693,-24.4127373655809,31.441313842021206,-5.129807779528937,7.064540086288251,24.213885384420685,-18.230204175979036,4.979683210602562,-6.645095434755668
0.24,0.024024024024024024,5.183143659733921,9.174144912230979,-14.223394889858511,-18.644828245335603,28.601063696967525,-22.49983916306192,-24.413579469142302,31.441505323790977,-5.129744653879277,7.064737173212161,24.21427451904866,-18.230400926159078,4.980124334037556,-6.645154696241052
0.25,0.025025025025025023,5.183623473987096,9.17390654456621,-14.222805810849774,-18.64530366928909,28.601309379422002,-22.500620933185544,-24.41443701300149,31.44167784141009,-5.129674308515609,7.064936543374538,24.214659909878105,-18.23059037170751,4.980580596999384,-6.6452106077443736
0.26,0.026026026026026026,5.184118925663288,9.173650635413628,-14.222179926487563,-18.645783547407387,28.601541528875916,-22.50141679033303,-24.415310015378893,31.441831398652717,-5.129596740820784,7.065138165876713,24.21504158064826,-18.230772506165202,4.9810520258114,-6.645263159005025
0.27,0.02702702702702703,5.184629997855276,9.173377177904872,-14.221517190127656,-18.64626789402065,28.601760142335866,-22.502226765127123,-24.416198495360664,31.44196599958288,-5.1295119476436275,7.065342008596344,24.215419555414737,-18.230947322397093,4.981538647810461,-6.645312339479587
0.28,0.028028028028028028,5.185156672922144,9.173086164575055,-14.2208175534422,-18.646756723261053,28.601965216122842,-22.503050889090318,-24.41710247288954,31.442081648561082,-5.129419925299728,7.065548038184925,24.215793858552324,-18.231114812592743,4.982040491343549,-6.645358138342303
0.29,0.029029029029029027,5.185698932488009,9.172777587364116,-14.220080966437216,-18.647250049056733,28.60215674587141,-22.503889194644394,-24.41802196875538,31.442178350251535,-5.12932066957231,7.065756220065304,24.216164514757896,-18.231274968266952,4.982557585764329,-6.6454005444855815
0.3,0.03003003003003003,5.186256757440642,9.172451437618284,-14.219307377471184,-18.647747885125366,28.60233472652888,-22.504741715109933,-24.41895700458534,31.442256109630005,-5.1292141757132,7.065966518429215,24.216531549053354,-18.231427780260425,4.98308996142963,-6.645439546520527
0.31,0.031031031031031032,5.186830127929986,9.172107706091655,-14.21849673327471,-18.64825024496742,28.60249915235439,-22.50560848470585,-24.419907602833707,31.442314931992254,-5.129100438443873,7.066178896234821,24.216894986788652,-18.231573238740516,4.983637649695853,-6.6454751327775
0.32,0.03203203203203203,5.18741902336657,9.1717463829479,-14.217648978971292,-18.648757141859072,28.602650016917984,-22.506489538548937,-24.420873786771338,31.442354822963093,-5.128979451956605,7.066393315204287,24.217254853644878,-18.231711333202036,4.984200682915309,-6.645507291306707
