t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
0.0,0.0,16.084895470190357,-14.813671938214545,34.45291082378434,-29.175394396707286,-18.492227529379903,29.31774234593028,-25.98325681624338,0.8810018904649473,31.361859699160053,-11.850969920608742,-12.796056586998716,17.808405246796436,-19.10238349866258,-2.8348869641349297,2.98483096130588,-22.139964369972944,20.894675100287458,15.666144181619382,-10.849778772263846
0.01,0.001001001001001001,16.085217150297105,-14.813970756264599,34.45359872938311,-29.17598050788279,-18.492599268271224,29.31832741253251,-25.983777197440993,0.8810173367493972,31.362486159072425,-11.851209857618315,-12.796314171288758,17.808760682187174,-19.102767022217222,-2.834946774139287,2.984889603762139,-22.1404079472335,20.89509191113198,15.666456329606714,-10.849996886013606
0.02,0.002002002002002002,16.085520124639174,-14.814243065693846,34.454281717707424,-29.176574956416715,-18.492963514944808,29.31891581938929,-25.984312759989137,0.8810402512578707,31.36309654002985,-11.851451227416812,-12.796570772878876,17.80911477463951,-19.103167369921586,-2.8350052582663374,2.984961189508711,-22.140860176959617,20.895527296386174,15.666755802172547,-10.850189486890558
0.03,0.003003003003003003,16.085804387131038,-14.81448887249972,34.45495977735665,-29.177177754766358,-18.493320263887334,29.319507573731833,-25.984863511676338,0.8810706231016245,31.363690873730103,-11.851694050644237,-12.796826409709922,17.80946754077887,-19.10358456373284,-2.835062384397414,2.9850457426593513,-22.141321067757648,20.89598125305017,15.667042618205638,-10.850356584321208
0.04,0.004004004004004004,16.086069932734095,-14.81470818192705,34.455632897249835,-29.177788915746714,-18.493669509856097,29.320102682476946,-25.985429461030648,0.881108441604157,31.36426919065266,-11.851938346921134,-12.797081100135731,17.809818997657256,-19.104018625788882,-2.835118120433779,2.9851432874820243,-22.141790628118656,20.89645377756627,15.667316796657017,-10.85049818776931
0.05,0.005005005005005005,16.086316757457762,-14.814900998463033,34.45630106662412,-29.17840845252918,-18.494011247880955,29.320701152220522,-25.98601061731799,0.8811536963009367,31.36483152005807,-11.85218413484848,-12.797334862926327,17.81016916275305,-19.104469578409066,-2.835172434297903,2.985253848400605,-22.142268866417382,20.89694486581804,15.667578356542759,-10.850614306733284
0.06,0.006006006006006006,16.086544858360583,-14.815067325832523,34.45696427503326,-29.179036378640216,-18.49434547326626,29.321302989230983,-25.98660699054043,0.8812063769391554,31.365377889987435,-11.852431432007686,-12.797587717271078,17.810518053970902,-19.104937444094883,-2.8352252939346956,2.9853774499965047,-22.142755790910968,20.897454513129272,15.667827316946866,-10.850704950743959
0.07,0.007007007007007007,16.08675423355131,-14.815207166993703,34.45762251234624,-29.179672707959966,-18.49467218159276,29.32190819944262,-25.98721859143441,0.8812664734775041,31.365908327262076,-11.852680254960688,-12.797839682781808,17.810865689641837,-19.10542224553055,-2.835276667312684,2.9855141170102173,-22.143251409737402,20.897982714262795,15.668063697024282,-10.85077012936265
0.08,0.008008008008008008,16.08694488219003,-14.815320524134084,34.458275768746056,-29.180317454720836,-18.494991368719496,29.32251678844889,-25.98784543146892,0.8813339760859715,31.36642285748326,-11.852930619250145,-12.798090779495848,17.81121208852344,-19.105924005583557,-2.835326522425144,2.985663874342791,-22.14375573091373,20.898529463419127,15.668287516004018,-10.850809852179564
0.09,0.009009009009009009,16.087116804489238,-14.815407398666846,34.45892403472853,-29.18097063350602,-18.495303030785667,29.323128761495607,-25.988487522843624,0.8814088751456661,31.36692150503212,-11.853182539399718,-12.798341027879049,17.811557269800225,-19.10644274730511,-2.8353748272911825,2.9858267470572177,-22.144268762333997,20.89909475423501,15.668498793192413,-10.850824128812551
