t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.1,0.01001001001001001,3.3056347036491927,40.07102889932575,-35.82558240830871,4.132842530457645,37.39259082028874,-11.71243132887636,-19.608792584864705,-29.25797417049288,-22.23531707388904,38.30871541631281,-34.52076570250424,-35.47254890316976,24.88348828954837,16.789227331282532,-23.72210382993538,-14.92704342666965,24.866843543620025,-29.653331992229738,40.84794564744538,28.13476185383675
0.11,0.011011011011011011,3.3055026427877325,40.07191550767862,-35.826177519017826,4.132997301075696,37.39325315938549,-11.71290781053381,-19.609104393661582,-29.25841193314092,-22.235649136395068,38.30952944063072,-34.521474909501194,-35.47330703427943,24.88414808798187,16.789378098774293,-23.72286092735302,-14.92747171075881,24.867561454711154,-29.653749281127947,40.8486952845051,28.135321293065658
0.12,0.012012012012012012,3.305350691198146,40.07281049193033,-35.82676018506232,4.133159402460725,37.39390726374549,-11.713408066824748,-19.60940791112211,-29.258834789065318,-22.235969990940692,38.31034824431944,-34.52218582941338,-35.47406971674102,24.884824373874416,16.78951070983181,-23.723646274440494,-14.927912711845138,24.868301645978985,-29.654148746360743,40.84943839355858,28.135880619744746
0.13,0.013013013013013013,3.3051788340681028,40.073713817201714,-35.8273303961788,4.133328810084282,37.394553146818524,-11.713932049679526,-19.609703129319893,-29.259242761426034,-22.236279658718846,38.31117181972544,-34.522898455186706,-35.47483694241998,24.885517159701145,16.789625174447696,-23.72445988485927,-14.928366428866372,24.86906415585345,-29.654530380220283,40.85017495904574,28.136439824756327
0.14,0.014014014014014014,3.3049870564458352,40.074625448171645,-35.82788814224544,4.133505498626319,37.39519082289222,-11.714479709050947,-19.60999003966162,-29.259635874365195,-22.236578161420514,38.31200015951911,-34.52361277974875,-35.4756087034111,24.886226456661813,16.789721502984534,-23.725301772971612,-14.928832860111163,24.869849023053703,-29.654894174684824,40.85090496515712,28.136998898985574
0.15,0.015015015015015015,3.304775343238402,40.07554534907591,-35.82843341328092,4.133689441973635,37.39582030709245,-11.715050992900904,-19.610268632889394,-29.260014153005898,-22.236865521235867,38.312833256695605,-34.52432879600882,-35.47638499203859,24.886952274669728,16.789799706175838,-23.726171953820167,-14.929312003218236,24.870656286572228,-29.655240121417467,40.85162839583096,28.13755783331822
0.16,0.016016016016016016,3.3045436792100373,40.076473483705975,-35.828966199443485,4.133880613218346,37.39644161538364,-11.715645847186524,-19.6105388990833,-29.26037762345111,-22.23714176085542,38.3136711045756,-34.525046496857904,-35.4771658008561,24.887694622340383,16.789859795127054,-23.727070443106758,-14.9298038551755,24.871485985658325,-29.655568211765072,40.852345234750274,28.138116618638243
0.17,0.017017017017017015,3.304292048980595,40.07740981540778,-35.82948649103008,4.134078984656386,37.39705476456894,-11.716264215845792,-19.610800827664196,-29.26072631278271,-22.2374069034712,38.31451369680613,-34.52576587516873,-35.477951122646665,24.888453506979765,16.789901781316598,-23.7279972571703,-14.930308412319103,24.872338159800993,-29.65587843675733,40.85305546534002,28.138675245825606
0.18,0.018018018018018018,3.3040204370240764,40.07835430708047,-35.82999427847559,4.134284527786035,37.39765977229034,-11.716906040782689,-19.61105440739674,-29.261060249060666,-22.23766097277797,38.31536102736147,-34.5264869237957,-35.47874095042263,24.88922893457236,16.78992567659691,-23.728952412963842,-14.930825670332458,24.873212848711173,-29.65617078710602,40.85375907076423,28.139233705753966
0.19,0.01901901901901902,3.30372882766725,40.079306921175075,-35.83048955235212,4.1344972133064735,37.39825665702862,-11.717571261851852,-19.6112996263926,-29.26137946132228,-22.237903992974427,38.316213090544004,-34.52720963557487,-35.479535277425526,24.890020909768836,16.789931493195564,-23.729935928030756,-14.93135562424521,24.87411009230336,-29.656445253204442,40.8544560339232,28.139791989288423
0.2,0.02002002002002002,3.3034172050883552,40.080267619693245,-35.83097230336841,4.134717011116364,37.39884543810324,-11.718259816842746,-19.61153647211394,-29.261683979581633,-22.23813598876444,38.31706988098512,-34.52793400332388,-35.480334097125834,24.890829435873457,16.7899192437164,-23.73094782048005,-14.931898268432171,24.875029930676597,-29.656701825127016,40.85514633745078,28.14035008728326
0.21,0.02102102102102102,3.303085553315897,40.0812363641859,-35.831442522369315,4.134943890312463,37.3994261356721,-11.718971641463385,-19.61176493137709,-29.26197383482906,-22.2383569853583,38.3179313936462,-34.52866001984188,-35.48113740322276,24.891654514831167,16.78988894114069,-23.731988108960802,-14.93245359661221,24.87597240409483,-29.65694049262906,40.85582996371162,28.140907990579716
0.22,0.022022022022022022,3.3027338562275217,40.08221311575185,-35.831900200335376,4.135177819188257,37.399998770731216,-11.719706669323603,-19.61198499035647,-29.2622490590308,-22.238567008473996,38.31879762381953,-34.529387677909476,-35.48194518964393,24.89249614721441,16.789840598828302,-23.7330568126357,-14.933021601847107,24.87693755296664,-29.657161245146764,40.85650689479846,28.141465690003766
0.23,0.023023023023023025,3.3023620975489814,40.08319783503645,-35.83234532838247,4.135418765232633,37.40056336511424,-11.720464831917875,-19.61219663458874,-29.262509685128734,-22.238766084338472,38.31966856712935,-34.530116970288596,-35.482757450544995,24.893354332209636,16.789774230518965,-23.7341539511537,-14.933602276540379,24.87792541782432,-29.657364071797286,40.857177112529506,28.142023176363907
0.24,0.024024024024024024,3.301970260853181,40.08419048223019,-35.83277789776159,4.135666695128564,37.401119941491906,-11.72124605860772,-19.612399848977173,-29.262755747040227,-22.23895423968893,38.320544219532884,-34.53084788972238,-35.483574180309205,24.894229067603558,16.789689850333488,-23.735279544621815,-14.934195612436051,24.87893603930233,-29.65754896137909,40.85784059844584,28.14258044044897
0.25,0.025025025025025023,3.3015583295593096,40.08519101706728,-35.83319789985863,4.135921574751835,37.40166852337137,-11.722050276603696,-19.61259461779625,-29.262987279658095,-22.239131501774114,38.32142457732141,-34.53158042893508,-35.48439537354689,24.895120349769112,16.789587472775047,-23.736433613575937,-14.934801600617423,24.87996945811512,-29.657715902372413,40.85849733380883,28.143137473025956
0.26,0.026026026026026026,3.3011262869320515,40.08619939882422,-35.83360532619436,4.13618336916979,37.40220913509541,-11.722877410946971,-19.612780924696516,-29.263204318850654,-22.239297898355623,38.322309637121364,-34.53231458063188,-35.48522102509491,24.896028173651157,16.789467112730485,-23.737616178950834,-14.935420231505782,24.88102571503428,-29.657864882939943,40.8591472995976,28.14369426483785
0.27,0.02702702702702703,3.3006741160808812,40.08721558631835,-35.8340001684244,4.136452042640108,37.402741801841536,-11.72372738449054,-19.612958752709645,-29.26340690146188,-22.239453457709214,38.323199395895514,-34.533050337498786,-35.48605113001598,24.896952532751907,16.789328785471646,-23.738827262049174,-14.936051494859107,24.882104850865083,-29.65799589092764,40.85979047650657,28.144250806601516
0.28,0.028028028028028028,3.3002017999594377,40.088239537906404,-35.83438241833938,4.136727558609608,37.40326654962096,-11.724600117880035,-19.61312808425376,-29.263595065311677,-22.23959820862612,38.32409385094412,-34.53378769220242,-35.48688568359797,24.897893419116127,16.78917250665673,-23.740066884509666,-14.936695379770736,24.88320690642237,-29.658108913865767,40.86042684494297,28.14480708900554
0.29,0.029029029029029027,3.299709321364977,40.08927121148303,-35.83475206786507,4.137009879713081,37.40378340527748,-11.725495529534209,-19.613288901138976,-29.26376884919621,-22.239732180414354,38.32499299990615,-34.534526637389874,-35.48772468135309,24.898850823316053,16.788998292331655,-23.741335068274267,-14.937351874668009,24.884331922505787,-29.658203938970086,40.86105638502451,28.145363102708153
