t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.0,0.0,33.256322345926094,7.731208991056613,21.015826593379824,-38.914242945646784,-27.953092536304336,23.26905905850547,13.585366190909534,-1.2159666740505954,31.982121995622016,-36.19990723039255,12.705713700301986,-20.628555582908373,0.45203043756420735,-37.870367712855895,4.2330929374764406,-44.09523717472581,0.8252494692245482,24.973456432527144,-14.491911990647372,26.598261161638163,22.127734616516538
0.01,0.001001001001001001,33.25698715604561,7.73136137553963,21.01624637732134,-38.91502362858156,-27.953652219501866,23.269523520683844,13.58563672806213,-1.215991912642667,31.982758770413856,-36.20063284471514,12.705967651704265,-20.628968592001755,0.4520365266163096,-37.87112759605421,4.2331773465618525,-44.096120225738225,0.8252637495902502,24.973953793525784,-14.492202843215088,26.598792859507725,22.128176089994774
0.02,0.002002002002002002,33.257620103153,7.73149837716524,21.01666734595516,-38.915799938928615,-27.954211016290138,23.269994929650263,13.585895057657844,-1.2160005266328504,31.98338268016839,-36.20136733649773,12.706241959766308,-20.629376248497895,0.4520437622524288,-37.87186911056174,4.233262157742312,-44.097005863333045,0.8252644880903255,24.97447319533667,-14.492492250770772,26.59932290632283,22.12861741136888
0.03,0.003003003003003003,33.25822120798058,7.731620025305532,21.017089498265044,-38.91657192218243,-27.95476893550641,23.270473297999064,13.58614117071713,-1.215992532704473,31.983993709534058,-36.20211068350198,12.706536635895128,-20.629778569977777,0.45205215673669863,-37.87259224833428,4.233347371340813,-44.09789406378293,0.8252516618293052,24.975014632312373,-14.492780225014782,26.59985132266403,22.129058573542164
0.04,0.004004004004004004,33.2587904899829,7.73172634901196,21.01751283286632,-38.917339622334914,-27.955325985929488,23.270958639431772,13.586375058288645,-1.2159679468110833,31.984591843748362,-36.20286286460343,12.706851690283893,-20.630175573002184,0.4520617219131734,-37.8732970017794,4.233432987927842,-44.09878480359945,0.825225247623123,24.975578099468482,-14.493066776492553,26.60037812767856,22.129499569444338
0.05,0.005005005005005005,33.25932796733859,7.731817377016337,21.017937348006733,-38.91810308187797,-27.955882176280298,23.271450968758632,13.586596711448587,-1.2159267841745423,31.98517706863586,-36.20362385979161,12.707187131912303,-20.630567273115638,0.45207246920487854,-37.87398336375495,4.233519008321354,-44.099678059532174,0.8251852219988524,24.97616359248403,-14.493351914595815,26.600903339082034,22.129940392031678
0.06,0.006006006006006006,33.25983365695287,7.731893137731874,21.01836304156733,-38.9188623418059,-27.956437515222486,23.271950301900212,13.586806121300079,-1.2158690592832277,31.985749370606136,-36.20439365016996,12.707542968546424,-20.630953684850116,0.4520844096129097,-37.874651327567804,4.233605433586792,-44.100573808567724,0.8251315611946132,24.976771107701403,-14.4936356475638,26.60142697316004,22.130381034287197
0.07,0.007007007007007007,33.260307574460604,7.731953659254266,21.018789911063408,-38.91961744161774,-27.95699201136294,23.272456655889066,13.58700327897257,-1.2157947858903546,31.986308736651704,-36.20517221795578,12.707919206737964,-20.631334821728593,0.4520975537155801,-37.87530088697278,4.233692265037157,-44.10147202792874,0.8250642411596493,24.977400642125694,-14.493917982484422,26.601949044769693,22.130821489220853
0.08,0.008008008008008008,33.26074973423002,7.731998969362813,21.019217953645505,-38.920368419319495,-27.95754567325229,23.27297004887148,13.587188175621284,-1.2157039770124085,31.986855154345875,-36.20595954648007,12.708315851822999,-20.631710696268396,0.45211191166761594,-37.87593203617187,4.233779504233112,-44.10237269507285,0.8249832375545777,24.97805219342358,-14.494198925295448,26.602469567341082,22.131261749869754
0.09,0.009009009009009009,33.26116014936698,7.732029095521589,21.019647166100444,-38.92111531142623,-27.95809850938541,23.27349050010927,13.587360802426677,-1.2155966449276931,31.987388611840558,-36.2067556201874,12.708732907920151,-20.632081319984348,0.45212749319939993,-37.876544769813606,4.233867152983139,-44.10327578769152,0.8248885257518122,24.97872575992164,-14.494478480785633,26.60298855287866,22.1317018092984
