t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.0,0.0,-11.631679384738497,-38.565099954573974,33.09924154487751,-7.856885026050569,32.540150390176585,19.611600540588817,25.932234956470133,-28.477028532892,-36.13683238577111,5.067569475583267,-28.817642707880893,15.608310052869026,-10.040863787232288,-0.5900147958979455,31.492405713990394
0.01,0.001001001001001001,-11.631915074104231,-38.56587350223374,33.09990133772865,-7.857042842616262,32.54079812612773,19.611992753026705,25.93275280640173,-28.477599439400542,-36.13755757092248,5.067670205926801,-28.81822177190826,15.60861912962574,-10.041065119233615,-0.5900284727737934,31.493035533874014
0.02,0.002002002002002002,-11.63216133057405,-38.56665047992757,33.10055585058641,-7.857197000014024,32.54145392952638,19.612412075755916,25.933290300558756,-28.478172655604208,-36.13829272878721,5.0677584322859195,-28.818816509012724,15.608922501706669,-10.041277257721072,-0.5900436815333088,31.49368465227256
0.03,0.003003003003003003,-11.632418098140452,-38.56743087620025,33.10120505974614,-7.857347491491219,32.54211778017697,19.612858502414365,25.933847446331704,-28.478748153172454,-36.139037856956094,5.067834148225541,-28.81942690953781,15.609220128994382,-10.041500215715606,-0.5900604270104781,31.494353061853694
0.04,0.004004004004004004,-11.632685318421117,-38.56821467957315,33.10184894198037,-7.857494310587174,32.542789657223416,19.61333202578115,25.934424251432517,-28.479325903839904,-36.13979295288438,5.067897347678151,-28.820052963928198,15.609511969925734,-10.041734006961018,-0.5900787135918247,31.49504075528386
0.05,0.005005005005005005,-11.632962930666414,-38.56900187854539,33.10248747454243,-7.857637451133094,32.543469539149115,19.613832637776348,25.935020723887046,-28.479905879409696,-36.14055801388687,5.0679480249449025,-28.8206946627241,15.609797981494593,-10.04197864591797,-0.5900985452162234,31.495747725223765
0.06,0.006006006006006006,-11.633250871767231,-38.569792461595,33.103120635170235,-7.8577769072519095,32.544157403777135,19.61436032946055,25.935636872027167,-28.480488051756915,-36.141333037132895,5.067986174696747,-28.82135199655555,15.610078119254696,-10.042234147757656,-0.5901199253747302,31.4964739643238
0.07,0.007007007007007007,-11.633549076263161,-38.57058641718005,33.10374840209026,-7.857912673358046,32.54485322827041,19.614915091034117,25.93627270448261,-28.481072392832075,-36.14211801964118,5.068011791975588,-28.822024956136524,15.61035233732266,-10.042500528355122,-0.5901428571104284,31.49721946521939
0.08,0.008008008008008008,-11.633857476351038,-38.57138373373979,33.10437075402161,-7.858044744157126,32.5455569891321,19.615496911836164,25.93692823017245,-28.4816588746647,-36.14291295827454,5.0680248721954575,-28.82271353225896,15.610620588381117,-10.042777804282254,-0.5901673430182891,31.497984220526245
0.09,0.009009009009009009,-11.634176001893795,-38.572184399695715,33.10498767018024,-7.858173114645587,32.54626866220598,19.61610578034326,25.937603458296287,-28.48224746936694,-36.14371784973452,5.068025411143733,-28.82341771578663,15.610882823682017,-10.043065992800402,-0.5901933852450476,31.498768222835555
