t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
0.1,0.01001001001001001,15.644962324176944,-31.636352447205056,-8.177578270234958,-24.869184013835092,-34.592324552969366,-21.019223427233108,-7.317895561421047,33.134320496800285,12.197243675441873,-33.50580816490014,-7.20515096016395,-0.44723100947298833,-23.014490995999854,-34.74582231399916,8.639576465290824,43.178279080992816,42.384571405203104,-34.67923769960472,41.11455013022538,37.82054331460298,-8.163444249210057,20.512181422183133,-6.618284361008156,-9.353428664920768,34.29543646680155,4.68767661672463,-10.599486972743628,-11.056962209284515,-30.005594390598688,35.327809727810056,42.08370563836525,-24.89582776931371,-6.4793696683342725,13.355886989692507,6.992183475295556,-11.995795742615064,13.43082836140885,31.29287384396776,-17.00598081416275,-4.880772625363202,-18.124812354252683,-8.41555420814669,-8.011847072261208,-22.354137932885873,25.16780805558316,2.3178457854602112,3.996480791520553,-22.973546595155607,18.515065602982347
0.11,0.011011011011011011,15.645654146629433,-31.636939986278076,-8.17795004291352,-24.869433832616405,-34.59334041245274,-21.019513938416917,-7.317789701258566,33.13494086136601,12.19754420351458,-33.50636106545455,-7.205502910848779,-0.44748804115046653,-23.01514368589886,-34.746329659423424,8.639932829842483,43.17942691359856,42.38559314191747,-34.6798691143608,41.11520084724319,37.821290593381974,-8.16366485630881,20.51236233106308,-6.618980172322735,-9.353475720308966,34.29661985271097,4.687543352538057,-10.599881963925379,-11.05722159997704,-30.00597948679861,35.32833607824156,42.084681999377295,-24.896520893663496,-6.479426942543226,13.356448871363954,6.992273422553501,-11.99603190055164,13.430863174489847,31.293492287441513,-17.006200279868327,-4.880959341046411,-18.125232090605994,-8.41580258400612,-8.012179806917622,-22.354278593912237,25.16780599577589,2.317745021365694,3.9968935820545055,-22.97413644441543,18.51567018500904
0.12,0.012012012012012012,15.646384173406181,-31.63752299589546,-8.178342423575662,-24.86965887988438,-34.594388712458255,-21.019791317512297,-7.317658470730204,33.13555708175166,12.197850698393168,-33.50690203836885,-7.205875581190746,-0.4477698231363942,-23.015815621536955,-34.74681803802142,8.640307509019786,43.180603248100596,42.3866325820083,-34.68049428882794,41.11583439030194,37.82203703656751,-8.163890739050615,20.51252051786595,-6.619731789131068,-9.353508438483118,34.297853403956516,4.687387401303164,-10.600295391037688,-11.057484782750652,-30.006342997278487,35.328844550662176,42.08567227908636,-24.89723294924871,-6.4794765610320875,13.357040505174062,6.992358524149445,-11.99626737101576,13.430874574048746,31.294110366347727,-17.00640777735129,-4.88115470339067,-18.125657658920083,-8.416058630781286,-8.012529514232996,-22.354388426369823,25.167753501148958,2.3176297123687366,3.9973398287713846,-22.97473934177327,18.51629800178726
0.13,0.013013013013013013,15.647152428282052,-31.638101487827615,-8.178755398730237,-24.86985917178166,-34.59546947629342,-21.02005554612529,-7.317501875028365,33.13616914602832,12.19816316631624,-33.50743109331508,-7.206268988629141,-0.44807635646259125,-23.016506849120322,-34.74728744194303,8.640700472731119,43.18180802817743,42.38768973405189,-34.68111321669214,41.11645075109803,37.822782626869135,-8.164121826162237,20.512655958598415,-6.620539149605466,-9.353526803932953,34.29913714031018,4.687208757588383,-10.600727293991675,-11.057751784549856,-30.006684936856484,35.32933514210313,42.0866765459051,-24.897963852463484,-6.479518495010082,13.357661932139004,6.99243877551024,-11.996502115754382,13.430862500686112,31.294728105730357,-17.006603336195006,-4.881358696681479,-18.126089118373763,-8.416322331679485,-8.012896174137296,-22.354467440225857,25.16765057544366,2.3174998835500444,3.997819546950374,-22.975355301395197,18.516948964127824
0.14,0.014014014014014014,15.647958938213263,-31.638675475724078,-8.17918895376298,-24.87003472861702,-34.5965827267937,-21.020306603553074,-7.317319923025004,33.136777043620924,12.19848161095709,-33.50794823893233,-7.206683152668483,-0.448407641208108,-23.017217415713123,-34.74773786200042,8.641111689680306,43.18304119346765,42.38876460528376,-34.681725888911686,41.11704992561599,37.82352734797931,-8.16435804361368,20.512768628156074,-6.621402189284948,-9.353530799186995,34.30047108203662,4.687007416227528,-10.60117771345721,-11.05802263355156,-30.007005321725227,35.32980785031475,42.08769486993711,-24.898713518262635,-6.479552715320363,13.358313194285811,6.992514171388871,-11.99673609588005,13.43082689098296,31.295345531361118,-17.006786985018778,-4.881571305292005,-18.12652653115686,-8.41659367062692,-8.013279765394026,-22.354515646640955,25.16749722295152,2.317355559803134,3.9983327550176337,-22.97598433700564,18.517622978279896
0.15,0.015015015015015015,15.648803733329999,-31.639244975113154,-8.179643072913334,-24.870185574860315,-34.59772848631807,-21.020544466780038,-7.31711262727968,33.137380765308556,12.198806033420095,-33.50845348283294,-7.207118094864095,-0.448763676482851,-23.017947369227343,-34.748169287664346,8.641541127370855,43.18430267953329,42.38985720156757,-34.68233229372141,41.11763191413022,37.824271184574066,-8.164599314632756,20.512858500329454,-6.622320841021796,-9.353520404811496,34.30185524986014,4.686783372320925,-10.601646690852473,-11.058297359164113,-30.007304169461612,35.33026267377389,42.08872732297352,-24.899481860152797,-6.479579192439979,13.358994334627303,6.99258470586051,-11.996969271874466,13.430767677494064,31.29596266974339,-17.006958751491567,-4.881792513683236,-18.12696996247261,-8.416872632263543,-8.013680265602229,-22.354533057963746,25.167293448542534,2.3171967658355017,3.998879474541824,-22.976626461887626,18.518319945929377
0.16,0.016016016016016016,15.649686846928883,-31.639810003401564,-8.18011773925012,-24.870311739137698,-34.59890677674386,-21.02076911047376,-7.316880004049081,33.13798030322493,12.199136432236326,-33.508946831608725,-7.207573838806574,-0.4491444604104038,-23.018696758411867,-34.74858170706044,8.641988752110198,43.18559241782163,42.39096752736279,-34.68293241663708,41.11819672120695,37.82501412231349,-8.164845559719966,20.512925547810372,-6.623295034924958,-9.35349559940892,34.30328966493022,4.686536621236999,-10.602134268332845,-11.05857599202647,-30.0075814990368,35.33069961169235,42.08977397848917,-24.900268790184082,-6.479597896480035,13.359705397135508,6.992650372318046,-11.997201603592442,13.430684788740624,31.29657954811591,-17.007118662346226,-4.882022306404321,-18.12741948054038,-8.417159201937622,-8.014097651197728,-22.35451968772599,25.167039257695667,2.317023526169739,3.999459730229267,-22.977281688882876,18.519039764197228
0.17,0.017017017017017015,15.65060831546532,-31.640370579874105,-8.180612934646012,-24.87041325422717,-34.600117619460995,-21.020980506980973,-7.316622073298013,33.138575650858805,12.19947280335839,-33.50942829083724,-7.208050410105155,-0.44954999011004276,-23.019465632840777,-34.74897510696559,8.642454529013941,43.18691033562552,42.39209558569123,-34.68352624045984,41.11874435570638,37.82575614784193,-8.165096696663698,20.512969742198713,-6.624324698300342,-9.353456359615969,34.304774348785706,4.686267158614329,-10.602640488779155,-11.05885856400751,-30.007837330826465,35.33111866402625,42.09083491163837,-24.901074218942345,-6.479608797186039,13.360446426713583,6.992711163467093,-11.99743305026627,13.430578149202264,31.297196194456287,-17.007266743394222,-4.882260668093068,-18.12787515659865,-8.417453365700087,-8.01453189745362,-22.35447555063819,25.166734656531663,2.3168358651445975,4.000073549918736,-22.977950030391764,18.519782325637692
0.18,0.018018018018018018,15.65156817854564,-31.640926725693294,-8.181128639750863,-24.870490157054437,-34.60136103536554,-21.021178626323408,-7.316338858711798,33.13916680305453,12.199815140154497,-33.50989786508817,-7.208547836369928,-0.4499802616779467,-23.02025404290089,-34.749349472804354,8.642938422010136,43.188256356042196,42.39324137810243,-34.684113745280776,41.1192748307852,37.826497248787916,-8.165352640555742,20.512991054009568,-6.625409755588043,-9.353402660101155,34.30630932331753,4.685974980364166,-10.603165395785275,-11.059145108205504,-30.008071686621246,35.33151983148624,42.091910199250115,-24.90189805554203,-6.479611863938447,13.361217469166192,6.992767071320484,-11.997663570510472,13.430447679308374,31.297812637484263,-17.00740301954083,-4.882507583476621,-18.1283370649083,-8.417755110298602,-8.014982978480017,-22.3544006625857,25.16637965184814,2.3166338069159957,4.000720964575876,-22.978631498373108,18.5205475182365
0.19,0.01901901901901902,15.652566478919073,-31.64147846389899,-8.18166483396385,-24.870542488689065,-34.6026370448526,-21.02136343619362,-7.316030387710101,33.13975375601258,12.200163433401784,-33.51035555792969,-7.20906614719293,-0.45043527016760077,-23.021062039778503,-34.74970478864542,8.643440393843557,43.189630397930706,42.39440490463791,-34.68469490848556,41.119788163899244,37.8272374137639,-8.16561330380712,20.512989452680785,-6.626550128296532,-9.353334473561912,34.30789461073001,4.685660082673422,-10.603709033645064,-11.059435658947711,-30.008284589637434,35.33190311554876,42.09299991982293,-24.902740207619658,-6.479607065753404,13.362018571168349,6.99281808719224,-11.997893122326957,13.430293295428797,31.298428906664817,-17.007527514800824,-4.882763037372303,-18.128805282756183,-8.418064423171401,-8.015450867223018,-22.354295040625324,25.165974251156946,2.3164173754579758,4.001402008287256,-22.97932610434383,18.521335225409036
