t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0.0,0.0,13.91130843758183,-23.91948959307643,8.175969452351096,-6.6206601225432555,16.762829465750755,25.970356023350597,-17.952799274550618,-6.327104436026269,12.983550724102754,-36.463354930154324,-3.5699819844197505,22.33081031678296,-8.813371899747823,24.876357836355186,24.438291887286475,-44.329553375838444
0.01,0.001001001001001001,13.911583987875465,-23.919970840682943,8.176130384854815,-6.620793704617362,16.763161649046477,25.97087249887043,-17.95315957325462,-6.327231940975969,12.983809670648107,-36.46408619027003,-3.5700549988650936,22.33125567762858,-8.813549280685454,24.876852967698824,24.438780490969762,-44.330442271036254
0.02,0.002002002002002002,13.911846083191357,-23.920465212151274,8.176285196518815,-6.6209307787641825,16.76348386030922,25.971383564754507,-17.95353319222741,-6.327345399166913,12.984075629590716,-36.464856372614555,-3.570114837173721,22.33169705861703,-8.813717101606601,24.877350444832313,24.439291969524348,-44.33129238642891
0.03,0.003003003003003003,13.912094691571387,-23.92097270525299,8.176433872695354,-6.621071332813926,16.763796098874806,25.971889187134796,-17.953920121819127,-6.327444818876128,12.984348587738658,-36.46566541398214,-3.57016149047427,22.33213446633489,-8.81387537965467,24.877850274335795,24.43982632009927,-44.33210370870697
0.04,0.004004004004004004,13.912329780682795,-23.921493317746783,8.176576397975971,-6.621215353850409,16.764098364143436,25.972389331744395,-17.954320352052047,-6.327530208514632,12.984628531429529,-36.466513247988644,-3.5701949503587875,22.332567906910867,-8.81402413176938,24.878352462509596,24.44038353969214,-44.33287622560331
0.05,0.005005005005005005,13.912551317824533,-23.92202704738007,8.176712756196414,-6.621362828210919,16.764390655578705,25.97288396391355,-17.95473387261929,-6.32760157663252,12.984915446529433,-36.46739980506428,-3.5702152088805206,22.332997386016945,-8.814163374687023,24.878857015368148,24.440963625134643,-44.33360992588301
0.06,0.006006006006006006,13.912759269933902,-23.922573891890156,8.176842930441804,-6.621513741486096,16.764672972706727,25.973373048566025,-17.95516067288291,-6.327658931924363,12.985209318431929,-36.468325012444915,-3.570222258551824,22.33342290886948,-8.8142931249407,24.879363938633677,24.441566573077317,-44.33430479933516
0.07,0.007007007007007007,13.912953603593442,-23.923133849005012,8.176966903052056,-6.621668078519818,16.764945315115316,25.97385655021586,-17.955600741871386,-6.32770228323491,12.985510132056904,-36.46928879416204,-3.5702160923421964,22.333844480230322,-8.814413398860491,24.879873237729658,24.442192379973513,-44.334960836766484
0.08,0.008008008008008008,13.913134285038106,-23.923706916443603,8.177084655627553,-6.6218258234091065,16.765207682453273,25.974334432964522,-17.95605406827648,-6.327731639565097,12.985817871849408,-36.470291071031404,-3.570196703676431,22.33426210440794,-8.814524212573602,24.880384917774062,24.44284104206262,-44.33557802999702
0.09,0.009009009009009009,13.913301280162699,-23.924293091915803,8.177196169035064,-6.621986959504043,16.765460074429715,25.974806660498416,-17.956520640449522,-6.327747010078358,12.986132521778437,-36.47133176064031,-3.5701640864328947,22.334675785258533,-8.814625582004467,24.88089898357237,24.443512555352527,-44.33615637185762
0.1,0.01001001001001001,13.913454554529586,-23.924892373121907,8.17730142341391,-6.622151469407708,16.76570249081351,25.97527319608682,-17.95700044639705,-6.327748404107225,12.986454065335653,-36.472410777333614,-3.5701182349419223,22.33508552618716,-8.814717522874805,24.881415439610375,24.44420691560132,-44.336695856189365
0.11,0.011011011011011011,13.913594073376675,-23.925504757751693,8.177400398182378,-6.622319334976131,16.765934931432774,25.975734002580204,-17.95749347377586,-6.327735831160219,12.986782485534064,-36.47352803219843,-3.5700591439843365,22.335491330148862,-8.814800050703639,24.881934290046793,24.44492411829825,-44.337196477844955
0.12,0.012012012012012012,13.913719801625668,-23.926130243483083,8.177493072044381,-6.622490537318271,16.766157396174464,25.97618904240894,-17.957999709887435,-6.32770930092904,12.98711776490664,-36.474683433047566,-3.5699868087900857,22.335893199649785,-8.814873180807266,24.882455538705624,24.445664158643925,-44.33765823269194
0.13,0.013013013013013013,13.91383170389058,-23.92676882798038,8.177579422996363,-6.622665056796008,16.766369884984023,25.976638277582456,-17.958519141671786,-6.327668823296019,12.987459885504894,-36.475876884401735,-3.569901225037004,22.336291136748315,-8.814936928299193,24.882979189068354,24.446427031529794,-44.33808111761791
0.14,0.014014014014014014,13.913929744486538,-23.927420508892066,8.177659428334442,-6.622842873024174,16.76657239786513,25.977081669688772,-17.95905175570065,-6.32761440834186,12.987808828897398,-36.47710828747055,-3.569802388849691,22.33668514305622,-8.814991308090017,24.88350524426593,24.447212731516867,-44.338465130537536
0.15,0.015015015015015015,13.914013887438841,-23.92808528384821,8.177733064661805,-6.623023964870593,16.76676493487951,25.97751917989448,-17.959597538170108,-6.327546066353653,12.988164576168263,-36.4783775401323,-3.5696902967985107,22.337075219739777,-8.815036334887266,24.884033707070532,24.44802125281374,-44.33881027040156
0.16,0.016016016016016016,13.914084096492306,-23.92876315045741,8.17780030789634,-6.623208310456164,16.766947496146837,25.977950768945142,-17.96015647489259,-6.327463807833142,12.98852710791556,-36.47968453691258,-3.569564945898713,22.337461367520937,-8.815072023195203,24.88456457988719,24.448852589253853,-44.33911653720762
0.17,0.017017017017017015,13.914140335120871,-23.929454106303364,8.177861133278514,-6.623395887154967,16.7671200818447,25.978376397166123,-17.96072855128827,-6.327367643505267,12.988896404249704,-36.48102916896177,-3.5694263336096683,22.33784358667847,-8.815098387314565,24.885097864745173,24.44970673427208,-44.33938393201302
0.18,0.018018018018018018,13.914182566537484,-23.930158148940965,8.177915515379471,-6.623586671594405,16.76728269220866,25.978796024463854,-17.961313752375865,-6.327257584326944,12.989272444791776,-36.482411324031425,-3.569274457834228,22.338221877049122,-8.815115441342275,24.885633563289225,24.450583680880563,-44.33961245694931
0.19,0.01901901901901902,13.914210753704257,-23.93087527589202,8.177963428109404,-6.623780639655384,16.76743532753239,25.97920961032756,-17.961912062762828,-6.327133641496107,12.989655208671817,-36.483830886449546,-3.5691093169181967,22.338596238028796,-8.815123199171094,24.886171676770612,24.45148342164388,-44.3398021152388
0.2,0.02002002002002002,13.9142248593429,-23.93160548464052,8.178004844726125,-6.623977766472521,16.76757798816787,25.9796171138314,-17.96252346663494,-6.3269958264609825,12.990044674527065,-36.48528773709483,-3.568930909649927,22.33896666857372,-8.815121674489225,24.886712206037995,24.452405948653492,-44.339952911212876
0.21,0.02102102102102102,13.914224845945428,-23.93234877262749,8.178039737843902,-6.624178026434406,16.767710674525688,25.98001849363711,-17.96314794774533,-6.326844150929597,12.990440820500154,-36.48678175336989,-3.568739235260028,22.339333167201637,-8.815110880779883,24.887255151528144,24.45335125350153,-44.34006485033223
0.22,0.022022022022022022,13.914210675785146,-23.93310513724542,8.178068079442511,-6.624381393183897,16.767833387075406,25.980413707997066,-17.963785489402852,-6.326678626879516,12.990843624237268,-36.48831280917349,-3.568534293421191,22.339695731993018,-8.815090831320795,24.887800513256497,24.454319327253867,-44.34013793920888
0.23,0.023023023023023025,13.9141823109279,-23.93387457583229,8.178089840876535,-6.62458783961846,16.767946126346004,25.980802714757814,-17.964436074459925,-6.326499266567795,12.991253062886255,-36.48988077487184,-3.568316084248133,22.340054360592255,-8.815061539183665,24.888348290807546,24.455310160422542,-44.34017218563
0.24,0.024024024024024024,13.914139713243621,-23.93465708566515,8.178104992884883,-6.624797337890569,16.768048892926412,25.981185471364107,-17.96509968529976,-6.326306082541151,12.991669113094698,-36.49148551726895,-3.5680846082976534,22.34040905020889,-8.815023017233582,24.888898483325086,24.456323742937535,-44.34016759858368
0.25,0.025025025025025023,13.914082844418127,-23.93545266395328,8.17811350560055,-6.625009859408139,16.768141687466105,25.98156193486337,-17.965776303823002,-6.326099087646332,12.992091751007955,-36.49312689957611,-3.5678398665688045,22.340759797618848,-8.814975278128376,24.889451089502327,24.457360064117854,-44.340124188286346
0.26,0.026026026026026026,13.914011665965221,-23.93626130783096,8.178115348560594,-6.625225374835027,16.768224510675793,25.98193206191068,-17.96646591143381,-6.325878295040684,12.992520952267148,-36.4948047813806,-3.567581860503179,22.34110659916569,-8.814918334317928,24.890006107571864,24.458419112642016,-44.34004196621207
0.27,0.02702702702702703,13.913926139239052,-23.937083014349778,8.178110490716357,-6.625443854091586,16.76829736332818,25.982295808774204,-17.96716848902535,-6.3256437182029,12.992956692007132,-36.496519018613476,-3.567310591985308,22.34144945076188,-8.814852198043422,24.890563535295513,24.459500876517872,-44.33992094512363
0.28,0.028028028028028028,13.913826225446769,-23.93791778047055,8.178098900443892,-6.625665266355271,16.76836024625881,25.982653131341156,-17.967884016964724,-6.325395370943958,12.99339894485442,-36.4982694635167,-3.5670260633431714,22.34178834789005,-8.814776881336536,24.891123369954034,24.460605343051828,-44.33976113910531
0.29,0.029029029029029027,13.913711885661439,-23.938765603054808,8.178080545554632,-6.625889580061321,16.76841316036696,25.983003985124217,-17.96861247507733,-6.325133267418216,12.99384768492507,-36.50005596460951,-3.566728277348821,22.342123285604313,-8.814692396018597,24.891685608336743,24.461732498817444,-44.33956256359749
