t,p,x0,x1,x2,x3
0.0,0.0,-18.089556343139915,17.57302035035404,23.20018636543838,-22.335374122392004
0.01,0.001001001001001001,-18.089920027903773,17.57337009896004,23.200649038214884,-22.33582285901065
0.02,0.002002002002002002,-18.09029265971648,17.573722689732147,23.201107807246856,-22.336261587002024
0.03,0.003003003003003003,-18.090674245084298,17.574078130861288,23.201562670559053,-22.336690306075546
0.04,0.004004004004004004,-18.091064790657864,17.57443643052217,23.20201362636721,-22.337109015971016
0.05,0.005005005005005005,-18.09146430323152,17.57479759687222,23.202460673076953,-22.337517716457153
0.06,0.006006006006006006,-18.091872789742606,17.575161638050556,23.202903809282684,-22.337916407330134
0.07,0.007007007007007007,-18.09229025727076,17.57552856217692,23.20334303376652,-22.338305088412177
0.08,0.008008008008008008,-18.092716713037177,17.57589837735062,23.20377834549722,-22.33868375955016
0.09,0.009009009009009009,-18.09315216440385,17.576271091649456,23.204209743629153,-22.339052420614255
0.1,0.01001001001001001,-18.09359661887281,17.576646713128653,23.204637227501255,-22.339411071496595
0.11,0.011011011011011011,-18.09405008408532,17.577025249819766,23.20506079663603,-22.339759712109974
0.12,0.012012012012012012,-18.094512567821077,17.5774067097296,23.20548045073855,-22.340098342386568
0.13,0.013013013013013013,-18.094984077997367,17.577791100839104,23.20589618969547,-22.3404269622767
0.14,0.014014014014014014,-18.095464622668217,17.578178431102263,23.206308013574073,-22.340745571747615
0.15,0.015015015015015015,-18.095954210023518,17.57856870844499,23.206715922621324,-22.341054170782293
0.16,0.016016016016016016,-18.096452848388132,17.578961940763996,23.20711991726294,-22.341352759378296
0.17,0.017017017017017015,-18.09696054622098,17.579358135925656,23.20751999810247,-22.341641337546633
0.18,0.018018018018018018,-18.097477312114098,17.57975730176487,23.20791616592041,-22.34191990531067
0.19,0.01901901901901902,-18.098003154791673,17.580159446083925,23.208308421673316,-22.342188462705057
0.2,0.02002002002002002,-18.098538083109073,17.580564576651312,23.20869676649295,-22.342447009774673
0.21,0.02102102102102102,-18.09908210605184,17.580972701200572,23.209081201685414,-22.342695546573637
0.22,0.022022022022022022,-18.099635232734652,17.58138382742912,23.209461728730346,-22.342934073164304
0.23,0.023023023023023025,-18.1001974724003,17.58179796299705,23.209838349280087,-22.34316258961633
0.24,0.024024024024024024,-18.100768834418584,17.582215115525937,23.21021106515889,-22.343381096005736
0.25,0.025025025025025023,-18.10134932828525,17.582635292597626,23.210579878362147,-22.343589592414016
0.26,0.026026026026026026,-18.101938963620846,17.583058501753023,23.21094479105561,-22.34378807892728
0.27,0.02702702702702703,-18.102537750169596,17.58348475049085,23.21130580557466,-22.343976555635408
0.28,0.028028028028028028,-18.10314569779823,17.58391404626642,23.211662924423567,-22.34415502263125
0.29,0.029029029029029027,-18.10376281649479,17.584346396490364,23.21201615027477,-22.34432348000984
0.3,0.03003003003003003,-18.104389116367418,17.584781808527396,23.212365485968192,-22.344481927867665
0.31,0.031031031031031032,-18.10502460764312,17.585220289695012,23.212710934510547,-22.344630366301935
0.32,0.03203203203203203,-18.105669300666502,17.585661847262216,23.21305249907468,-22.34476879540989
0.33,0.03303303303303303,-18.10632320589847,17.586106488448213,23.213390182998918,-22.344897215288153
0.34,0.03403403403403403,-18.10698633391493,17.586554220421103,23.213723989786427,-22.34501562603209
0.35000000000000003,0.035035035035035036,-18.107658695405433,17.587005050296558,23.214053923104608,-22.34512402773522
0.36,0.036036036036036036,-18.108340301171825,17.587458985136482,23.214379986784483,-22.34522242048863
0.37,0.037037037037037035,-18.109031162126836,17.587916031947664,23.21470218482012,-22.345310804380436
0.38,0.03803803803803804,-18.10973128929267,17.58837619768041,23.215020521368054,-22.34538917949528
0.39,0.03903903903903904,-18.110440693799564,17.588839489227173,23.21533500074674,-22.34545754591384
0.4,0.04004004004004004,-18.111159386884292,17.589305913421157,23.21564562743601,-22.345515903712364
0.41000000000000003,0.04104104104104104,-18.11188737988869,17.58977547703492,23.215952406076557,-22.345564252962273
0.42,0.04204204204204204,-18.11262468425811,17.590248186778947,23.21625534146941,-22.345602593729733
0.43,0.043043043043043044,-18.113371311539872,17.590724049300228,23.216554438575468,-22.34563092607531
0.44,0.044044044044044044,-18.114127273381673,17.5912030711808,23.216849702515002,-22.345649250053615
0.45,0.04504504504504504,-18.114892581529972,17.591685258936295,23.217141138567207,-22.345657565713015
0.46,0.04604604604604605,-18.115667247828355,17.592170619014457,23.21742875216975,-22.345655873095335
0.47000000000000003,0.04704704704704705,-18.116451284215856,17.59265915779365,23.217712548918335,-22.345644172235616
0.48,0.04804804804804805,-18.117244702725255,17.59315088158136,23.2179925345663,-22.345622463161888
0.49,0.04904904904904905,-18.118047515481358,17.593645796612655,23.218268715024198,-22.34559074589498
0.5,0.050050050050050046,-18.118859734699218,17.594143909048665,23.218541096359427,-22.34554902044836
0.51,0.05105105105105105,-18.119681372682358,17.594645224975007,23.218809684795854,-22.345497286827985
0.52,0.05205205205205205,-18.120512441820946,17.59514975040023,23.219074486713446,-22.34543554503221
0.53,0.05305305305305305,-18.121352954589934,17.59565749125421,23.21933550864794,-22.3453637950517
0.54,0.05405405405405406,-18.12220292354719,17.59616845338657,23.219592757290513,-22.345282036869378
0.55,0.055055055055055056,-18.123062361331566,17.596682642565035,23.21984623948746,-22.345190270460414
0.56,0.056056056056056056,-18.123931280660965,17.597200064473796,23.220095962239903,-22.34508849579222
0.5700000000000001,0.057057057057057055,-18.12480969433035,17.59772072471186,23.220341932703494,-22.344976712824494
