t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.0,0.0,-14.400254661990763,17.036115294392722,-17.8211163822416,16.998768878003627,-2.285771350378839,-5.817191359133509,-9.925853515640759,4.13321193808448,41.401773581596764,5.5321025628501275,17.284169852943872,-5.549272689521944,-27.076716631315424,19.380858357223268,-3.743988112000468,-0.3903191025106109,-10.180983893342948,-28.869726015878886,-0.2604782316023236,27.089101257645474,-21.036712897491178
0.01,0.001001001001001001,-14.400545208845195,17.03645491634785,-17.821475284571562,16.999107089851368,-2.285817862479042,-5.817308032755927,-9.926052216370868,4.133292487112844,41.40259942477187,5.532210902795048,17.284513061161576,-5.549383914919021,-27.07725916367108,19.381243646397127,-3.744064023757765,-0.3903283858982627,-10.181188081918375,-28.870304426718256,-0.2604848702967933,27.08964137578729,-21.037134552331747
0.02,0.002002002002002002,-14.400842676842785,17.036781335099434,-17.82186401628608,16.999470716155404,-2.2858900611685375,-5.817425007751997,-9.926233169621643,4.133388068628954,41.40343081381673,5.532333751750817,17.28485586868761,-5.549482664100022,-27.077801451202777,19.38162547559921,-3.7441473367969214,-0.3903521854683629,-10.181363860387165,-28.87087353674215,-0.2605253590032549,27.090201005829957,-21.037568830505343
0.03,0.003003003003003003,-14.401147067224475,17.0370945609367,-17.822282586175103,16.999859750832304,-2.285987960724905,-5.8175422930553795,-9.92639638880823,4.133498687612467,41.40426776719073,5.532471108947821,17.285198288591825,-5.549568950228746,-27.078343493622462,19.38200385202934,-3.7442380414325713,-0.39039048908755525,-10.181511228754184,-28.871433365580735,-0.2605997052690506,27.090780162609782,-21.03801572909649
0.04,0.004004004004004004,-14.401458380377525,17.037394603111185,-17.822731003926638,17.00027418704388,-2.2861115766691285,-5.81765989786734,-9.926541887447934,4.133624349114931,41.40511030410164,5.53262297260093,17.28554033486543,-5.549642787914774,-27.07888529071686,19.38237878338344,-3.744336127288268,-0.3904432860204224,-10.181630186547808,-28.871983931481427,-0.26070791551773714,27.09137886193415,-21.03847524468864
0.05,0.005005005005005005,-14.40177661583409,17.03768146983538,-17.82320928012301,17.000714017192028,-2.2862609257643727,-5.817777831657105,-9.926669679160877,4.133765058259432,41.40595844450029,5.532789339905923,17.285882022419553,-5.5497041932155,-27.07942684234642,19.382750277855763,-3.7444415832950355,-0.39051056692843183,-10.181720732814949,-28.87252525130974,-0.2608499950421266,27.091997120573236,-21.038947373358862
0.06,0.006006006006006006,-14.402101772269763,17.03795516828175,-17.823717426236826,17.001179232912914,-2.2864360260141354,-5.817896104162216,-9.9267797776708,4.133920820239899,41.406812209075035,5.532970207035546,17.286223367083863,-5.549753183637934,-27.079968148444337,19.38311834414105,-3.7445543976897278,-0.3905923238687758,-10.181782866116782,-28.873057340550105,-0.26102594799655815,27.092634956251224,-21.03943211067223
0.07,0.007007007007007007,-14.402433847502095,17.038215704582083,-17.82425545462674,17.00166982507047,-2.2866368966597737,-5.818014725388896,-9.926872196805988,4.1340916403200625,41.40767161924603,5.533165569135211,17.286564385605274,-5.5497897781402825,-27.08050920901555,19.38348299143677,-3.744674558013195,-0.3906885502931052,-10.18181658452518,-28.873580213306646,-0.26123577738840265,27.093292387636993,-21.039929451675953
0.08,0.008008008008008008,-14.402772838489076,17.038463083827192,-17.82482337853297,17.002185783749226,-2.2868635581774006,-5.818133705612432,-9.926946950500312,4.134277523832074,41.4085366971594,5.533375420318341,17.286905095646702,-5.549813997133292,-27.08105002413584,19.38384422944535,-3.7448020511082603,-0.39079924104615826,-10.181821885619838,-28.87409388230387,-0.2614794850687977,27.093969434334262,-21.04043939089322
0.09,0.009009009009009009,-14.403118741327587,17.038697310067008,-17.825421212072555,17.002727098246503,-2.28711603227415,-5.81825305537755,-9.92700405279442,4.134478476174777,41.40940746568113,5.5335997536613455,17.287245515785884,-5.549825862481369,-27.081590593950946,19.38420206837641,-3.7449368631175073,-0.390924392364284,-10.181798766486107,-28.87459835888733,-0.26175707172261503,27.094666116871228,-21.040961922316786
