t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.1,0.01001001001001001,-23.422993273961595,-3.428624891243119,10.359334097823474,-24.44799313024913,35.732731294975224,-34.17430374475408,10.724431969721076,-20.396039227341443,-1.1244024481179005,-9.350610040563698,-10.49638183267122,35.384030527857135,-23.05376649033835,21.786679143312835,7.746180706623705,16.756640180745787,-36.62760559299402,-35.0944159083776,-26.430968436779576,23.1728123378492,34.10091553320022,6.5341491936019285,-32.75090448259786,-37.306963038092256,10.301559420500698,25.176075680000764,28.81015350886549,35.753705023488976,5.876036304747606,12.056767928777013
0.11,0.011011011011011011,-23.423116024654014,-3.4285516752773226,10.359628780718651,-24.4483594522979,35.73339322001765,-34.17495110158943,10.724491552611243,-20.396464335969323,-1.1247783499252195,-9.350795271744522,-10.496464593437592,35.385027342840765,-23.054079085503254,21.787304325957194,7.7465799200184255,16.757037064628914,-36.628285929045134,-35.094894292237385,-26.431921099078348,23.17314582689135,34.10146880797202,6.534460811640788,-32.751610933452994,-37.30790041728389,10.301964808404826,25.176548685536414,28.810688488573557,35.7542872204775,5.8757451931875835,12.056630826028734
0.12,0.012012012012012012,-23.42320412858159,-3.4284641933670876,10.359932273455422,-24.44871362673013,35.73405009969354,-34.175594648500834,10.724535995774223,-20.39689092316822,-1.1251892497869498,-9.350980029181402,-10.496534298350552,35.38605314841361,-23.054376791000315,21.78794853343645,7.74700362776522,16.757440280935132,-36.62896105964501,-35.095350031082624,-26.432915911503272,23.173466556807355,34.10200907636253,6.5347907943126415,-32.75232228439322,-37.30885662534339,10.302390326615061,25.17701867506374,28.81121929938308,35.754856239458796,5.875413170289042,12.056456016878037
0.13,0.013013013013013013,-23.423257567450722,-3.4283624271077673,10.360244545184328,-24.449055685332606,35.73470195172963,-34.176234369007545,10.72456531491123,-20.397318965321908,-1.125635136882479,-9.351164272788859,-10.496590914854773,35.38710790190115,-23.054659622303884,21.788611767762724,7.747451829404977,16.75784980152623,-36.62963100108191,-35.09578310098751,-26.4339528240957,23.17377454186641,34.10253632962867,6.535139141702581,-32.75303850252737,-37.30983161903325,10.302835950390508,25.177485607817776,28.811745911329684,35.75541205259641,5.875040209219791,12.05624346581346
0.14,0.014014014014014014,-23.42327631592158,-3.428246356990093,10.360565563773468,-24.449385660324396,35.73534879278702,-34.1768702484059,10.724579523534167,-20.397748440163223,-1.1261160003064232,-9.35134796311741,-10.496634408788246,35.38819155854944,-23.054927593388342,21.78929403078156,7.747924524149909,16.758265594862447,-36.63029576793398,-35.09619347866141,-26.43503178594168,23.17406979621366,34.10305056355343,6.535505853225465,-32.753759556411374,-37.31082535429821,10.303301652376858,25.177949443105973,28.812268295101095,35.75595463267491,5.874626283820375,12.055993136151784
0.15,0.015015015015015015,-23.423260341595117,-3.4281159623966833,10.360895295799509,-24.44970358435762,35.7359906384564,-34.17750227377068,10.724578632962793,-20.398179326773448,-1.1266318290491777,-9.35153106135928,-10.496664744380055,35.38930407150031,-23.05518071672316,21.789995324169276,7.7484217108779285,16.758687625995577,-36.630955373073164,-35.09658114144547,-26.436152745142266,23.174352333860877,34.10355177844281,6.535890927627104,-32.75448541605221,-37.3118377862735,10.303787402587764,25.17841014031258,28.81278642203487,35.75648395309567,5.874171368635169,12.055704990042484
0.16,0.016016016016016016,-23.423209604998586,-3.427971221598758,10.361233706537893,-24.450009490517978,35.73662750325291,-34.178130433956404,10.724562652321552,-20.398611605582545,-1.1271826119770527,-9.35171352935381,-10.496681884248076,35.39044539176547,-23.05541900326779,21.790715649430087,7.748943388126871,16.75911585656218,-36.631609827668754,-35.09694606730894,-26.43731564878294,23.17462216867714,34.1040399791229,6.53629436298578,-32.755216052912246,-37.31286886929313,10.304293168384982,25.178867658903126,28.81330026411569,35.75699998787221,5.873675438944872,12.05537898847265
0.17,0.017017017017017015,-23.42312405956955,-3.4278121117530698,10.361580759952272,-24.45030341232498,35.73725940061058,-34.17875471959856,10.724531588536149,-20.39904525837021,-1.1277683378120058,-9.35189532959261,-10.496685789396599,35.391615468199184,-23.055642462466405,21.791455007892882,7.749489554088573,16.7595502447769,-36.6322591411905,-35.09728823484526,-26.438520442902092,23.174879314379545,34.10451517493716,6.536716156714097,-32.75595143991412,-37.31391855689842,10.30481891445731,25.17932195842905,28.81380979397218,35.75750271162496,5.873138470800395,12.055015091272445
0.18,0.018018018018018018,-23.423003651638393,-3.42763860889905,10.361936418683152,-24.45058538373194,35.737886342876386,-34.179375123114724,10.724485446329789,-20.399480268267766,-1.1283889951109822,-9.352076425224405,-10.496676419213884,35.3928142474699,-23.055851102242517,21.792213400707716,7.750060206602804,16.75999074542594,-36.63290332141126,-35.09760762326777,-26.439767072458682,23.175123784523905,34.104977379743815,6.537156305561177,-32.756691551446046,-37.31498680184656,10.305364602798342,25.179772998532407,28.814314984873285,35.75799209957544,5.872560441058139,12.054613257121073
0.19,0.01901901901901902,-23.42284832040936,-3.4274506879561737,10.36230064403579,-24.450855439125668,35.738508341303856,-34.17999163870561,10.724424228219153,-20.39991661976087,-1.129044572244877,-9.352256780059626,-10.496653731469644,35.39404167403056,-23.0560449289934,21.792990828842008,7.750655343151055,16.760437309860656,-36.63354237440924,-35.0979042124052,-26.44105548129899,23.175355592495475,34.1054266119134,6.53761480561519,-32.75743636336764,-37.31607355611939,10.30593019268301,25.180220738950716,28.814815810724184,35.758468127539984,5.871941327416653,12.05417344355328
0.2,0.02002002002002002,-23.42265799794007,-3.4272483227215513,10.362673395967315,-24.451113613325905,35.73912540604629,-34.18060426235603,10.724347934510057,-20.400354298693106,-1.1297350573771312,-9.352436358574696,-10.496617682312484,35.39529769008774,-23.056223947584392,21.793787293076413,7.751274960850185,16.760889885991304,-36.63417630456981,-35.098177982696825,-26.442385612122568,23.175574751499674,34.10586289432652,6.538091652306231,-32.75818585301615,-37.31717877093227,10.306515640642981,25.180665139521906,28.815312246061747,35.75893077192286,5.871281108454666,12.053695606966388
0.21,0.02102102102102102,-23.422432609119546,-3.4270314858677486,10.363054633073135,-24.451359941584474,35.73973754614956,-34.181212991835764,10.724256563292832,-20.400793292270407,-1.130460438441978,-9.352615125916044,-10.496568226267273,35.39658223556962,-23.056388161343012,21.7946027940004,7.751919056445922,16.76134841828098,-36.634805114586925,-35.09842891518737,-26.443757406447382,23.175781274552836,34.106286254371675,6.538586840409535,-32.758939999213254,-37.318302396743086,10.30712090044089,25.18110616018939,28.815804266049547,35.75938000970887,5.870579763670482,12.053179702627874
