t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
0.24,0.024024024024024024,5.731023315540816,-0.6394144476693407,-32.999870616002326,-31.287655910542924,26.191792582507873,9.448443300846787,-35.40760872176585,22.649385840423978,11.81661969346869,5.193473599634974,26.584200134074113,13.386964855099615,-17.935747609235523,-14.079744681379168,-9.05757013827421,-9.92272213055613,-20.660020422648692,2.8497615040693725,8.952604490720118,14.56731112201909,-41.97664789568516,30.10143922654739,-17.770485560313112,28.714838774597755,22.954268987129286,11.486762059955845,-20.497926806889165,7.251777584080581,25.12389204253316,21.97336375469001,33.22231966979035,-26.530902922371812,-6.07957084229198,16.549647841612945,-26.031941194521547,16.253121521952362,32.763131782930586,11.034262592458527,29.17717927470925,-37.740016477147904,-21.499454746542874,-29.46255762180792,11.251510706641701,-9.07414983545337,-32.57192480846057
0.25,0.025025025025025023,5.72972856656907,-0.6400947846081014,-33.000693454147964,-31.288399027949527,26.19229765622912,9.44921147383374,-35.40890011299642,22.649521548590023,11.816412307276897,5.193756245789728,26.584368605555664,13.387339492121445,-17.935901621127776,-14.080234287924295,-9.057286737615804,-9.922274718654151,-20.659542301078133,2.8497373765285836,8.95281176376189,14.567454637338901,-41.97698575538333,30.102362892153238,-17.770777751095483,28.716050448967092,22.95511344582534,11.486911305741462,-20.498150556476165,7.251727994911387,25.12374894355462,21.974981156889044,33.222658269158785,-26.531489427049028,-6.079411762100399,16.550138717053432,-26.032844012484887,16.25311416445403,32.76373982591695,11.0335767215309,29.17787383934306,-37.74029672867314,-21.49946310234773,-29.46286585205602,11.251445503081843,-9.074278932949477,-32.57302910698281
0.26,0.026026026026026026,5.728374282648314,-0.6408024286877978,-33.00152203067511,-31.2891471659228,26.192802192364347,9.450004711401801,-35.41021574132136,22.649644334751407,11.816186527753521,5.194045862266066,26.584522428897465,13.387718601452884,-17.936046961133083,-14.080732715656623,-9.056983827664839,-9.921799724751647,-20.659027911205694,2.8497100257230303,8.953020598986113,14.567592794585135,-41.977302819276126,30.103299211619444,-17.771067522466286,28.717289941214304,22.95597372429732,11.487056597059164,-20.498366445549532,7.251670079788764,25.12357856531287,21.976647676198642,33.22298363629265,-26.532078386483935,-6.079241201230715,16.55063648053736,-26.033762925670096,16.253093510621543,32.76434618581989,11.032853792782834,29.178573170599464,-37.74055784970552,-21.49945348031006,-29.463162743621336,11.251368379972757,-9.07440539102682,-32.5741531721121
0.27,0.02702702702702703,5.726960358844347,-0.6415373268042813,-33.00235627714948,-31.289900354332666,26.193306198577133,9.450823113328275,-35.41155559408747,22.649754237612285,11.815942358529432,5.194342399954627,26.58466163940809,13.388102171480142,-17.93618362228001,-14.081239977281726,-9.056661416636768,-9.92129709159855,-20.658477377895174,2.8496794755460533,8.953231032029219,14.567725672233971,-41.97759909141597,30.104248080465485,-17.771354891245014,28.71855737525806,22.95684978269363,11.487197875360536,-20.498574480073955,7.251603810478968,25.12338085498212,21.978363284663892,33.22329578063225,-26.53266983925929,-6.079059188583252,16.551141163085934,-26.034697960917008,16.253059628329684,32.76495088095366,11.032093902964709,29.1792772802241,-37.7407999022374,-21.49942586476529,-29.46344833192699,11.251279358700296,-9.074529167566125,-32.57529709180487
0.28,0.028028028028028028,5.725486687074526,-0.6422994233206365,-33.00319612585164,-31.290658624261308,26.193809681939246,9.451666782556844,-35.41291965685744,22.649851298128247,11.815679803114557,5.1946458090335845,26.584786273114897,13.38849019024159,-17.936311597146712,-14.081756085285996,-9.056319514066525,-9.92076676071449,-20.657890832079726,2.849645751412991,8.95344309998278,14.56785335081948,-41.977874574741726,30.105209390261145,-17.771639873952275,28.71985287888768,22.957741578972723,11.487335081054772,-20.49877466663575,7.251529158009791,25.12315575757836,21.98012795144379,33.22359471036602,-26.53326382627179,-6.07886575401131,16.551652797844586,-26.035649146208,16.253012588509044,32.76555393007696,11.031297154454483,29.179986180339345,-37.74102294916122,-21.499380240878374,-29.463722652529878,11.251178461975941,-9.074650219307431,-32.57646095543555
0.29,0.029029029029029027,5.723953156217202,-0.6430886600553049,-33.00404150976929,-31.291422008004574,26.194312648935036,9.45253582518037,-35.41430791339676,22.649935559516287,11.815398864910671,5.194956038973626,26.5848963667604,13.388882645424816,-17.936430877867473,-14.08228105194336,-9.055958130819935,-9.920208672379626,-20.65726841078076,2.8496088802660546,8.953656841390673,14.56797591294467,-41.97812927106937,30.106183028615057,-17.77192248681024,28.72117658373432,22.958649068881172,11.4874681535117,-20.498967012446364,7.251446092660127,25.12290321595475,21.981941642740487,33.22388043243468,-26.533860390725696,-6.078660928337618,16.552171420069982,-26.036616510651097,16.252952465141373,32.766155352399664,11.030463655258703,29.180699883436766,-37.74122705426951,-21.49931659464582,-29.463985741116645,11.251065713828794,-9.074768501852922,-32.57764485376942
0.3,0.03003003003003003,5.722359652226062,-0.6439049762701691,-33.00489236258887,-31.292190539073406,26.19481510546572,9.453430350422725,-35.41572034566015,22.650007067264927,11.815099547224602,5.195273038543305,26.584991957798554,13.389279524363802,-17.936541456139434,-14.082814889322288,-9.055577279105753,-9.919622765625219,-20.656610257127042,2.8495688905792056,8.953872296246127,14.56809344329273,-41.978363181082415,30.10716887916324,-17.772202745743037,28.722528625240752,22.95957220593133,11.487597031064645,-20.499151525345997,7.251354583949141,25.122623170797016,21.983804321726616,33.2241529525355,-26.53445957812606,-6.078444743371433,16.552697067116135,-26.0376000844625,16.252879335254516,32.766755167589785,11.029593519013137,29.181418402369474,-37.74141228225503,-21.499234912897794,-29.464237633499483,11.250941139597137,-9.074883969669987,-32.57884887893453
0.31,0.031031031031031032,5.720706058249488,-0.6447483086586269,-33.0057486186865,-31.29296425219529,26.19531705685358,9.454350470619605,-35.41715693377749,22.6500658691445,11.814781853281847,5.195596755814764,26.585073084390952,13.389680814036232,-17.936643323229582,-14.083357609293069,-9.0551769724883,-9.919008978223909,-20.65591652037392,2.849525812363033,8.954089505988614,14.568206028638459,-41.97857630432203,30.108166821557667,-17.77248066637703,28.723909142629623,22.960510941378555,11.487721651013125,-20.49932821380733,7.251254600625019,25.122315560618855,21.98571594847074,33.22441227512673,-26.53506143627149,-6.07821723192628,16.55322977841965,-26.038599898948558,16.252793278916894,32.76735339578061,11.02868686498301,29.182141750344318,-37.74157869871113,-21.499135183300318,-29.4644783656117,11.250804765919534,-9.074996576094547,-32.5800731243927
0.32,0.03203203203203203,5.7189922547550065,-0.6456185913336885,-33.006610213118236,-31.29374318331572,26.19581850784603,9.455296301198297,-35.41861765603941,22.65011201521757,11.814445786240615,5.195927138169824,26.585139785402944,13.390086501060921,-17.93673646998193,-14.083909223535375,-9.054757225900726,-9.918367246679747,-20.655187355922628,2.8494796771696103,8.954308513500628,14.56831375785987,-41.978768639177005,30.109176731454887,-17.77275626404107,28.72531827887015,22.96146522419802,11.487841949625356,-20.499497086939357,7.2511461106533375,25.121980321757345,21.987676479860944,33.22465840343228,-26.53566601524647,-6.077978427838323,16.55376959548402,-26.039615986487153,16.252694379231546,32.76795005757805,11.027743818062817,29.18286994091395,-37.741726370132284,-21.49901739435753,-29.464707973503092,11.250656620725495,-9.075106273334642,-32.581317684909536
0.33,0.03303303303303303,5.717218119658941,-0.6465157558161305,-33.007477081609665,-31.294527369599667,26.196319462619652,9.456267960656321,-35.42010248888229,22.650145557849456,11.814091349206276,5.1962641323064505,26.58519210039964,13.390496571695378,-17.936820886824954,-14.084469743546125,-9.054318055658893,-9.917697506217962,-20.654422925339613,2.849430518097312,8.954529363104305,14.568416721949983,-41.97894018287331,30.11019848050475,-17.773029553766627,28.72675618064322,22.962435001061117,11.48795786214062,-20.499658154491332,7.251029081205006,25.121617388368428,21.989685869526614,33.22489133944646,-26.53627336741322,-6.07772836598537,16.55431656186305,-26.040648380508504,16.252582722329695,32.76854517406815,11.026764508775663,29.18360298796873,-37.74185536391472,-21.49888153541405,-29.46492649333508,11.250496733225672,-9.075213012474281,-32.5825826565235
