t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
0.1,0.01001001001001001,32.691976518514664,-32.7401197043478,-10.263117458124018,-1.9015173902799092,-24.382151616468054,-2.6992902314144342,1.6101409452271451,-20.740667831355264,-8.068493392056798,-17.403331488308503,39.9453572518612,-20.814442419896675,-11.29856664530703,39.01366851828376,32.04035497146247,36.600235276649656,19.978850974561595,20.272127389670995,17.23039727152177,17.01707186007433,4.361764997367919,-9.69874076901542,11.557065189988652,2.4452474379325597,-16.549069447452336,32.744839847013914,-15.574009885323543,-17.90815743145974,-37.31383191181407,-27.74089994362976,27.57805745457971,-8.288771072283799,38.815611076153374,-28.427756665590586,-27.83027235215687,-31.225251041558078
0.11,0.011011011011011011,32.69260912655871,-32.74124551812725,-10.263416041019225,-1.9017122583836799,-24.382437942533663,-2.69944164247896,1.6100083904753328,-20.741266127765478,-8.068692294121764,-17.40360695408956,39.94592907795847,-20.815031641316672,-11.298528817963552,39.01487401894959,32.04143733639476,36.601013090705145,19.979338586758526,20.272677081072324,17.230753669956588,17.01727003378658,4.361987471305982,-9.69905415886338,11.55730266577319,2.4453813177568215,-16.549390531517496,32.74546974614259,-15.574038681994066,-17.908549211481937,-37.31468025271793,-27.74146620291098,27.578555697367023,-8.288918577463853,38.816441905525735,-28.42858983705335,-27.830949207908546,-31.225725033754987
0.12,0.012012012012012012,32.69323992445684,-32.742418232533446,-10.263723785446397,-1.9019225539919509,-24.382703787254396,-2.699603025524624,1.6098596909418383,-20.741882598436685,-8.06889523478598,-17.403874738155196,39.94647854387545,-20.815638239753522,-11.298464186952634,39.0161218212323,32.04256394316898,36.60179583084077,19.979835302793358,20.273241834695533,17.23111122754598,17.01745373868901,4.362223537998585,-9.699379338241293,11.557540868673609,2.44552389440703,-16.549710197374065,32.746097182761034,-15.574039030889628,-17.908944200722466,-37.31553853448437,-27.74203346552843,27.579048810653127,-8.289064432576572,38.81727854823928,-28.429449211238577,-27.831637959963665,-31.226183664097817
0.13,0.013013013013013013,32.69386895214553,-32.743637797095104,-10.264040662952812,-1.9021482741949183,-24.382949108099147,-2.6997744262791223,1.6096948975095986,-20.742517247906353,-8.069102293613016,-17.404134809979855,39.94700567514725,-20.81626226714163,-11.298372703695147,39.0174118352409,32.04373477270318,36.60258351741107,19.980341146608612,20.273821722303285,17.231469885473057,17.017622912595094,4.362473142963543,-9.699716317436156,11.557779804930682,2.4456751791070155,-16.550028422365166,32.746722141805094,-15.574010955574952,-17.90934237690867,-37.31640674689125,-27.742601716705778,27.579536796697678,-8.289208685289523,38.81812102885218,-28.430334785536992,-27.83233860248977,-31.226626928317387
0.14,0.014014014014014014,32.69449625057893,-32.744904158568204,-10.264366643857455,-1.9023894160774912,-24.38317386237414,-2.699955890394382,1.6095140635908853,-20.743170079961633,-8.069313553697352,-17.40438713843489,39.94751050273708,-20.81690377726106,-11.298254318649805,39.01874396631809,32.04494980344969,36.60337617094952,19.980856144554483,20.274416817488962,17.231829583115374,17.01777749117228,4.3627362279091955,-9.700065107408141,11.558019480985447,2.4458351843702317,-16.55034518391379,32.74734461016466,-15.573954482294292,-17.909743716969444,-37.31728487945207,-27.743170942456977,27.58001965810856,-8.289351385454735,38.81896937368474,-28.431246556902178,-27.833051130309805,-31.227054821719253
0.15,0.015015015015015015,32.69512186174385,-32.74621726091799,-10.264701697228697,-1.902645976724902,-24.383378007227158,-2.700147463452541,1.6093172451367084,-20.74384109763973,-8.06952910168239,-17.40463169177294,39.94799306304582,-20.817562825747743,-11.298108981316458,39.02011811502538,32.04620901137211,36.60417381216167,19.981380325396938,20.27502719569071,17.232190258046042,17.017917407924774,4.363012730724519,-9.700425719790623,11.558259903468707,2.4460039239972917,-16.550660459523527,32.747964576697036,-15.57386963998818,-17.91014819703127,-37.31817292141076,-27.743741129591136,27.580497397843903,-8.289492585126096,38.81982361082113,-28.43218452182234,-27.833775538902348,-31.227467339178745
0.16,0.016016016016016016,32.69574582867564,-32.747577045300304,-10.265045790861274,-1.9029179532286884,-24.383561499651965,-2.7003491909724024,1.6091045006465805,-20.744530303228274,-8.06974902777899,-17.404868437611867,39.94845339792207,-20.81823947010411,-11.297936640239786,39.021534177127805,32.04751236992134,36.60497646191815,19.981913720326112,20.275652934206008,17.23255184603483,17.0180425941757,4.363302585469007,-9.70079816689005,11.558501079189934,2.44618141307313,-16.550974226779047,32.74858203224074,-15.573756460311124,-17.910555792413877,-37.31907086173637,-27.74431226571751,27.58097001921423,-8.289632338577645,38.8206837701113,-28.433148676290926,-27.834511824401627,-31.227864475135725
0.17,0.017017017017017015,32.69636819547496,-32.748983450042324,-10.265398891252582,-1.9032053426930517,-24.38372429649284,-2.700561118416346,1.608875891178626,-20.745237698265747,-8.069973425784573,-17.405097342918115,39.948891554672585,-20.81893376971014,-11.297737243013396,39.022992043578384,32.04885985001054,36.60578414124741,19.982456362964992,20.27629411220668,17.232914281049304,17.01815297904857,4.363605722362328,-9.701182461685663,11.558743015125572,2.4463676679637785,-16.551286463346365,32.7491969696297,-15.57361497765025,-17.910966477625617,-37.31997868911728,-27.744884339250593,27.581437525884816,-8.289770702322732,38.82154988317289,-28.434139015776093,-27.835259983597332,-31.228246223589082
0.18,0.018018018018018018,32.69698900732547,-32.750436410622676,-10.265760963578304,-1.9035081422415892,-24.38386635444929,-2.700783291197703,1.6086314803600172,-20.74596328354197,-8.070202393102758,-17.405318373989648,39.9493075860731,-20.81964578583481,-11.297510736284323,39.024491600502365,32.05025141998917,36.60659687132839,19.983008289378375,20.276950810754467,17.23327749525595,17.018248489448112,4.363922067773757,-9.701578617829053,11.55898571840674,2.446562706312749,-16.551597146972846,32.749809383707905,-15.573445229144882,-17.911380226358467,-37.32089639195525,-27.7454573394153,27.581899921878165,-8.289907735134067,38.82242198339334,-28.43515553518904,-27.836020013934174,-31.22861257809091
0.19,0.01901901901901902,32.69760831051243,-32.751935859650985,-10.266131971667368,-1.9038263490244045,-24.383987630080888,-2.7010157546885845,1.60837133439772,-20.74670705909861,-8.070436030763537,-17.405531496438343,39.94970155037955,-20.820375581647955,-11.297257065757947,39.026032729181274,32.05168704561611,36.607414673482936,19.983569538082136,20.27762311281703,17.23364141902137,17.018329050040467,4.364251544211369,-9.701986649643548,11.559229196306314,2.446766547037016,-16.551906255486955,32.750419271344434,-15.573247254707056,-17.911797011482694,-37.32182395835916,-27.746031256252262,27.58235721157666,-8.29004349806465,38.823300105932006,-28.436198228851197,-27.836791913511234,-31.22896353174043
