t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.23,0.023023023023023025,-21.056627596652866,-20.717573768256,-18.002989388234425,-17.16657154321996,24.80211786385657,27.752174211953044,19.43703973530874,12.803836419226746,-33.945461592182724,-11.250137795136542,24.546254092265176,-11.192234463661222,-25.362046247358215,-5.832877302699999,21.89656734967822,7.8024699571580145,2.6313779275624,-8.939967407347977,-30.582512288018087,15.523211271427725,11.028927131639975,12.418245596924633,25.37813647930475
0.24,0.024024024024024024,-21.056761099802838,-20.718219854474622,-18.003080035086224,-17.166884196082393,24.802868547140854,27.752273082917878,19.4374844077726,12.804480334505561,-33.945422861696734,-11.250318547291842,24.546597879403894,-11.192365735198472,-25.362616343344662,-5.833072895629102,21.89715591522101,7.802185197213976,2.630940106927833,-8.940313345051978,-30.58288834077146,15.523129458563712,11.028793605413231,12.418673678367355,25.3787196845204
0.25,0.025025025025025023,-21.05688204071788,-20.718875777903314,-18.00315892691379,-17.167195265682395,24.803630479497336,27.752351881111885,19.43793173273574,12.80514108181506,-33.94535340297686,-11.250497305308327,24.54693515043264,-11.192492941329252,-25.363188667214114,-5.83327144604107,21.897751120532934,7.8018813777635625,2.6304809313224697,-8.940666324279922,-30.58325412670346,15.523030561587591,11.028644794061444,12.419109538441077,25.37930621930662
0.26,0.026026026026026026,-21.056990422698412,-20.719541522394717,-18.003226071968975,-17.167504736579602,24.804403663637984,27.752410567911415,19.438381724016722,12.80581864482292,-33.94525325852612,-11.250674076386696,24.54726588554197,-11.192616094246777,-25.36376318051905,-5.833472914306404,21.898352972620454,7.8015585092456154,2.6300003864849146,-8.941026324966018,-30.5836096457583,15.52291456941366,11.028480712859336,12.419553171859045,25.379896083475003
0.27,0.02702702702702703,-21.057086249198203,-20.720217070996235,-18.003281479406105,-17.167812593097953,24.805188102221646,27.75244910278294,19.438834395690208,12.806513006785245,-33.945122471218234,-11.25084886834291,24.54759006467933,-11.192735206782894,-25.3643398446519,-5.833677260633374,21.89896147865367,7.80121660327883,2.6294984580031864,-8.941393326154158,-30.58395489730269,15.522781470531154,11.02830137819043,12.420004573920558,25.380489276585415
0.28,0.028028028028028028,-21.057169523825237,-20.7209024059465,-18.00332515928115,-17.168118819328033,24.805983797852303,27.752467443283063,19.439289762086272,12.807224150546947,-33.94496108430245,-11.251021689607159,24.5479076675516,-11.192850292406447,-25.364918620849416,-5.833884445070154,21.899576645963077,7.800855672663536,2.6289751313185037,-8.941767306003293,-30.584289880124754,15.522631253004846,11.028106807550072,12.420463740512522,25.38108579794981
0.29,0.029029029029029027,-21.05724025034262,-20.721597508671724,-18.00335712255085,-17.16842339912954,24.8067907530773,27.752465545058723,19.439747837789604,12.807952058542073,-33.944769141408926,-11.251192549222758,24.548218673627925,-11.192961365221807,-25.365499470197037,-5.834094427506964,21.90019848203621,7.800475731383526,2.628430391729254,-8.942148241792944,-30.584614592433073,15.522463904475725,11.027897019548707,12.420930668110977,25.38168564663617
0.3,0.03003003003003003,-21.057298432669494,-20.722302359781885,-18.003377381071818,-17.168726316133867,24.80760897038554,27.752443361847657,19.440208637638616,12.808696712794074,-33.94454668655462,-11.25136145684496,24.548523062142774,-11.19306843996758,-25.36608235363324,-5.834307167678199,21.900826994514286,7.800076794607915,2.627864224395149,-8.942536109928865,-30.584929031855783,15.522279412161769,11.027672033915414,12.421405353782554,25.382288821472514
0.31,0.031031031031031032,-21.057344074881975,-20.723016939066802,-18.00338594759966,-17.169027553746794,24.808438452205635,27.75240084547906,19.440672176724473,12.809458094916014,-33.94429376414972,-11.251528422739694,24.548820812099205,-11.193171532015514,-25.366667231953887,-5.83452262516455,21.90146219118874,7.799658878693038,2.627276614341562,-8.942930885948853,-30.585233195439763,15.522077762858814,11.027431871501692,12.421887795185905,25.382895321051027
0.32,0.03203203203203203,-21.057377181214108,-20.723741225492073,-18.003382835788017,-17.169327095151303,24.809279200904037,27.752337945874476,19.441138470390026,12.81023618611073,-33.944010419004606,-11.251693457782238,24.549111902272394,-11.193270657369562,-25.367254065816557,-5.834740759395119,21.902104079997724,7.7992220011843765,2.626667546464054,-8.943332544528715,-30.5855270796499,15.521858942941506,11.027176554285495,12.422377990573061,25.383505143732275
