t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
0.0,0.0,-7.177159041295764,18.18694258790273,-23.001503113396918,-37.34302260205768,-27.965175416725845,-1.6251502191348044,-23.397797842932157,-17.951644189319577,-37.88175825126302,-20.34562609224649,29.597767173637717,-18.18439642149702,33.560811554572425,32.07040256088409,-15.57808670241785,-4.550281437990746,14.81034745340412,3.6224757160767025,31.842398114393934,9.686281406219752,33.76330391156124,34.904362111210396,10.377587802460331,20.06966255647538,-23.175015070676302,-2.4802291943653474,-1.8727705915891046,-7.795094752905788
0.01,0.001001001001001001,-7.177304492118174,18.18730415949031,-23.001964473713123,-37.34377087863322,-27.965735953221238,-1.625184330342923,-23.39826615310974,-17.9520062830477,-37.88251744092821,-20.34603600063754,29.598358164619395,-18.18476253920681,33.56148178703012,32.071043018985044,-15.578400692799972,-4.550373525636608,14.810640597299736,3.622548077299333,31.843033313852818,9.686472931940534,33.763978238021856,34.90506000693113,10.377793381934199,20.070062326605477,-23.175478624488914,-2.480279250214431,-1.8728100489239228,-7.795253308003017
0.02,0.002002002002002002,-7.177459635516954,18.187656010972155,-23.00243790709957,-37.344490610466146,-27.96630127642148,-1.6252231361231357,-23.39872735403666,-17.9523578901724,-37.883263520008875,-20.34645887843921,29.598949357613204,-18.185137430162676,33.562126784367166,32.071689346451045,-15.578706240966236,-4.550440370450532,14.810933602878317,3.6226137769233446,31.84367753103936,9.686668077344988,33.764629906275196,34.9057700128233,10.378003078626225,20.070442664845512,-23.175958905661005,-2.4803231473430962,-1.8728358972320052,-7.795405941075433
0.03,0.003003003003003003,-7.17762447902833,18.18799813735407,-23.002923391724213,-37.34518178061926,-27.96687135792602,-1.6252666240833271,-23.39918144342037,-17.952699029661744,-37.88399648691731,-20.346894720365015,29.5995407371585,-18.185521104812633,33.56274655352153,32.072341506684744,-15.579003346229971,-4.55048196204335,14.811226467736436,3.622672831757461,31.84433074965589,9.686866819956176,33.76525893865198,34.90649211731525,10.378216877130376,20.07080354749178,-23.176455900499132,-2.4803608757306277,-1.8728481222782416,-7.795552650090247
0.04,0.004004004004004004,-7.177799029115716,18.188330533503574,-23.003420906442898,-37.34584437315572,-27.967446169354954,-1.6253147820752212,-23.399628419089183,-17.953029720483393,-37.8847163385726,-20.34734352025291,29.60013228797755,-18.185913573160516,33.56334110131109,32.07299946374271,-15.57929200767515,-4.550498290845008,14.811519189517893,3.622725257760949,31.84499295309518,9.687069137172294,33.76586535715899,34.90722630813288,10.378434761016015,20.07114495245067,-23.17696959528494,-2.480392425505247,-1.872846709561107,-7.795693433280823
0.05,0.005005005005005005,-7.177983291169393,18.188653194149452,-23.003930430800896,-37.34647837313082,-27.968025682349452,-1.625367598193695,-23.400068278993047,-17.953349981598624,-37.88542307039791,-20.34780527106595,29.60072399497798,-18.18631484476364,33.56391043442881,32.07366318233733,-15.579572224156117,-4.550489348100898,14.811811765912976,3.6227710700408755,31.845664124438187,9.687275006268061,33.76644918346567,34.907972572298746,10.378656712828121,20.071466859233738,-23.17749997627295,-2.480417786944636,-1.8728316443115012,-7.795828289146014
0.06,0.006006006006006006,-7.178177269506077,18.188966113881346,-23.0044519450342,-37.34708376658446,-27.968609868572333,-1.625425060776023,-23.400501021204416,-17.953659831956525,-37.886116676318,-20.348279964892967,29.60131584325507,-18.186724928730445,33.56445455943799,32.07433262783858,-15.579843994297363,-4.5504551258685915,14.812104194657746,3.622810282849549,31.846344246451654,9.68748440439611,33.767010438891425,34.90873089613135,10.378882714087604,20.071769248953075,-23.17804702968818,-2.480436950476445,-1.872802911491629,-7.795957216449457
0.07,0.007007007007007007,-7.178380967368419,18.189269287149358,-23.004985430070615,-37.34766054053433,-27.969198699708727,-1.6254871584010495,-23.400926643919174,-17.95395929048834,-37.88679714875688,-20.34876759294931,29.60190781809401,-18.187143833718174,33.564973482767606,32.075007766275775,-15.580107316493333,-4.550395617014962,14.812396473533365,3.622842909582152,31.847033301585622,9.687697308588383,33.76754914439349,34.90950126524444,10.379112745291746,20.07205210431691,-23.178610741723638,-2.4804499066787913,-1.8727604957939188,-7.796080214218813
0.08,0.008008008008008008,-7.178594386924406,18.189562708263676,-23.00553086753058,-37.34820868296978,-27.969792147466872,-1.6255538798882927,-23.401345145457594,-17.954248376101955,-37.88746447863578,-20.34926814557767,29.602499904972042,-18.187571567930505,33.56546721070781,32.0756885643392,-15.580362188908278,-4.5503108152137015,14.812688600365448,3.6228689627745636,31.847731271970833,9.687913695757535,33.76806532055543,34.910283664546405,10.379346785914745,20.07231540962549,-23.179191098537665,-2.4804566462807425,-1.8727043816399835,-7.796197281744976
0.09,0.009009009009009009,-7.178817529266676,18.189846371394243,-23.006088239727802,-37.34872818284646,-27.97039018357901,-1.625625214296979,-23.401756524265362,-17.954527107676583,-37.888118655371215,-20.349781612248947,29.603092089560516,-18.18800813911521,33.56593574940553,32.07637498938166,-15.580608609476151,-4.550200714943244,14.812980573023438,3.6228884541013633,31.848438139416032,9.688133542698344,33.76855898757624,34.91107807823982,10.379584814408387,20.07255915076723,-23.179788086251133,-2.480457160162791,-1.8726345531796216,-7.796308418581227
