t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
0.0,0.0,-24.30773497771589,29.409618277810697,20.406184561603038,-27.112445496272063,0.46804620076244285,0.6656162389877762,-24.841119872394717,-24.355074239229044,-21.073630428818955,23.475457170326788,-23.28173790994088,-4.366317086342796,-4.385138808415791,-15.985175040522243,25.25940622872677,-3.925410980170067,-22.080541291466368,9.402197981834341,-21.167134097769946,-1.148532932556956,-6.236979535282453,41.26574928468691,1.7382599191048964,-24.467321402332196,23.24102026312036,-29.095616261463793,-9.327420125491322,-21.14161389588548,40.64182173475635,-27.291876443803382,32.47228097420287,11.266965105509357,28.641708487136896,36.801035678019005,13.241211057588954
0.01,0.001001001001001001,-24.308222635647173,29.410205478712815,20.406591521294125,-27.112990028354517,0.4680546964855711,0.665629206340129,-24.841619615038326,-24.35556355770029,-21.07405246742378,23.47592375354798,-23.28220575211241,-4.3664046125160025,-4.38522890183533,-15.985494796448268,25.259910771636058,-3.9254911034856113,-22.080984241112432,9.40238404407007,-21.16755868703175,-1.1485574620193102,-6.237107097944239,41.26657342332019,1.7382929246629915,-24.467813246241953,23.241483247265805,-29.096200450079305,-9.327608423823776,-21.14203984136833,40.6426322017668,-27.292425038457665,32.472929677347274,11.26718965212663,28.642279107133916,36.80177140930598,13.241475181927248
0.02,0.002002002002002002,-24.308728836170392,29.41076897895169,20.407004388130403,-27.11353375845247,0.4680613713040221,0.665631697042163,-24.842127683799948,-24.356048471492254,-21.07451635662662,23.476378636573163,-23.28266733544921,-4.366493887015371,-4.385292995566778,-15.985805626155095,25.260436705093777,-3.9255385798902744,-22.081430087002367,9.402560935007497,-21.167989036867525,-1.148598939437333,-6.237248570439752,41.26740041549811,1.7383408385250714,-24.468296606039072,23.24192017263819,-29.09677551151731,-9.327748101482374,-21.142456090042508,40.64342851039162,-27.292984529255918,32.47356107455076,11.267424723118387,28.642842280993207,36.802512661982696,13.241765951204933
0.03,0.003003003003003003,-24.30925362513129,29.41130875848261,20.40742317791034,-27.114076693730652,0.4680662077409159,0.6656237069965307,-24.842644104515475,-24.35652897001859,-21.075022062845562,23.476821822883,-23.28312267408575,-4.366584909012027,-4.385331093083661,-15.986107531442403,25.260984060196257,-3.9255534129110057,-22.081878831317972,9.402728673476528,-21.168425136613198,-1.1486573788133314,-6.237403960759733,41.26823030202521,1.7384036638869815,-24.468771550485183,23.24233103813419,-29.09734142282703,-9.32783916251485,-21.142862653026594,40.644210663817645,-27.293554910140305,32.47417516372798,11.267670349930688,28.643398034303505,36.803259423388965,13.242083374676385
0.04,0.004004004004004004,-24.30979704919869,29.411824799941883,20.407847907518512,-27.11461884165743,0.4680691881920283,0.6656052326803078,-24.843168903938484,-24.357005043699747,-21.07556954892514,23.477253315561736,-23.283571781480504,-4.366677676907734,-4.3853431965085985,-15.98640051429346,25.26155286688337,-3.9255356061930327,-22.082330476015283,9.402887278504629,-21.168866975423843,-1.1487327948705122,-6.237573277632806,41.269063122398556,1.738481403232857,-24.469238149198368,23.24271584189114,-29.097898161023437,-9.32788161397407,-21.143259542915107,40.64497866583793,-27.294136173790122,32.474771943233215,11.267926563424638,28.64394639196902,36.80401168130336,13.242427463376305
0.05,0.005005005005005005,-24.310359155871843,29.41231708864241,20.408278594922837,-27.115160210002024,0.4680702949227033,0.6655762711468457,-24.843702109747863,-24.35747668396565,-21.076158774122362,23.477673117296423,-23.28401467041284,-4.366772188334512,-4.385329306610806,-15.986684576869168,25.262143153939896,-3.9254851635043915,-22.082785022820907,9.403036769316072,-21.169314542270858,-1.1488252030556008,-6.237756530527749,41.26989891481035,1.7385740583390645,-24.469696472665166,23.243074581278666,-29.098445703082103,-9.327875465906663,-21.1436467737758,40.64573252084928,-27.294728311617966,32.475351411861396,11.268193393871968,28.64448737820987,36.80476942394218,13.242798230117426
0.06,0.006006006006006006,-24.310939993487626,29.412785612569422,20.408715259171437,-27.1157008068316,0.4680695100646888,0.6655368200273692,-24.84424375055587,-24.35794388325827,-21.07678969409113,23.478081230376684,-23.2844513529801,-4.366868440154314,-4.385289422803894,-15.986959721502169,25.262754948996758,-3.925402088741622,-22.08324247322822,9.403177165331515,-21.16976782593892,-1.1489346195410797,-6.237953729655668,41.27073771615076,1.7386816302782186,-24.47014659225274,23.24340725289175,-29.098984025934186,-9.32782073134517,-21.144024361146812,40.6464722338499,-27.295331313765537,32.475913568849286,11.268470870950981,28.645021016562634,36.80553263995828,13.243195689488354
0.07,0.007007007007007007,-24.311539611227516,29.4132303623764,20.40915792038917,-27.11624064050819,0.4680668156128959,0.6654868775323177,-24.844793855916606,-24.358406635034118,-21.077462260865122,23.478477656694974,-23.284881840594927,-4.3669664284587535,-4.385223543143983,-15.98722595069102,25.263388278532112,-3.9252863859366274,-22.083702828493422,9.403308486167896,-21.170226815022676,-1.1490610612270493,-6.238164885972082,41.271579562011006,1.738804119423272,-24.470588580221175,23.24371385254522,-29.099513106461657,-9.32771742630369,-21.144392322033752,40.64719781043731,-27.295945169099046,32.47645841387692,11.26875902374284,28.645547329881,36.806301318439644,13.243619857851556
0.08,0.008008008008008008,-24.312158059124425,29.4136513313812,20.40960659977377,-27.116779719685482,0.46806219342208155,0.6654264424524302,-24.845352456334957,-24.35886493376663,-21.078176422839107,23.478862397747346,-23.28530614398284,-4.367066148568886,-4.385131664328111,-15.987483267094408,25.264043167872302,-3.9251380592646887,-22.084166089631452,9.403430751638682,-21.170691497923208,-1.1492045457427076,-6.2383900111789,41.272424486686624,1.7389415254516793,-24.471022509735977,23.24399437526968,-29.10003292149268,-9.327565569777033,-21.14475067490666,40.64790925680644,-27.296569865204233,32.476985947069196,11.2690578807282,28.64606634033651,36.80707544890789,13.244070753341473
0.09,0.009009009009009009,-24.31279538806931,29.414048515562364,20.410061319591666,-27.117318053305436,0.4680556252034535,0.665355514159574,-24.845919583275922,-24.35931877494845,-21.078932124748725,23.47923545463474,-23.28572427318002,-4.367167595035045,-4.385013781692956,-15.987731673525431,25.264719641192666,-3.924957113053632,-22.084632257411787,9.40354398175443,-21.17116186284425,-1.1493650914474511,-6.238629117726321,41.273272523181014,1.7390938473496347,-24.471448454880676,23.24424881530885,-29.10054344779719,-9.327365183743344,-21.145099439696853,40.6486065797479,-27.297205388381016,32.477496168997725,11.269367469784193,28.646578069419412,36.807855021316534,13.24454839586278
