t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.0,0.0,-22.33850608329677,-31.60768440016317,-22.72233026091387,-12.552196189379691,-3.301687586824012,-24.21649751341945,10.301181852754661,-2.106233774713187,-0.37040725557665144,-9.609474347954935,22.321737773683825,5.481041869437877,-27.26594480310523,14.972412764214642,35.7855052527415,-0.6888126043600137,29.84685740939885,-13.13026847719928,4.462386720029456,-6.434774279967024,-5.781214579148123,20.964545480285317,1.987896873788057,34.83319399709944,2.742225898269496
0.01,0.001001001001001001,-22.338952934868097,-31.608318280666776,-22.72278607512472,-12.552448553927878,-3.3017546583531954,-24.216982486292366,10.301385930894599,-2.106276840781603,-0.37041550198437023,-9.60966848879138,22.32218254609038,5.481151067479898,-27.266491735454547,14.972711633034999,35.786218495643425,-0.6888290634546066,29.84745279385622,-13.130533742120168,4.462475717550211,-6.434904562730028,-5.781330408543308,20.964963426208964,1.9879363284647171,34.83389026149455,2.7422788680567827
0.02,0.002002002002002002,-22.339405185397567,-31.6089610141966,-22.723244795311643,-12.552693485435094,-3.301808777628983,-24.217489237428087,10.301593923216835,-2.1063166137658036,-0.37042336826626904,-9.609862745935585,22.322624710193246,5.481248016403892,-27.26705296191835,14.9730152291943,35.786929444408194,-0.6888558000437308,29.848069424220704,-13.130815748897737,4.462588408099654,-6.435049996867925,-5.781448839870077,20.965423834160205,1.9879652025853871,34.83460386673674,2.742320247425997
0.03,0.003003003003003003,-22.339862810499394,-31.609612654231107,-22.72370640386369,-12.552930980126828,-3.301849926225407,-24.21801780124226,10.301805838795083,-2.106353077783428,-0.3704308606940256,-9.610057095999187,22.32306427927134,5.4813327005041526,-27.26762849477024,14.973323582683657,35.787638098026775,-0.6888928290552182,29.84870728746775,-13.131114498508385,4.462724815711971,-6.4352105770172345,-5.78156989000419,20.965926668295854,1.9879834870151283,34.83533483738196,2.7423500405486343
0.04,0.004004004004004004,-22.340325784633087,-31.610273255669533,-22.724170881859642,-12.553161033907367,-3.3018780834040564,-24.21856821395671,10.302021686223448,-2.1063862169073433,-0.3704379864861396,-9.610251514769871,22.32350126671021,5.48140510312026,-27.268218346807362,14.973636724858544,35.78834445637979,-0.6889401664780976,29.849366370633984,-13.131429992341948,4.462884966052363,-6.435386298594178,-5.7816935762546935,20.966471889678445,1.9879911715908705,34.83608319941982,2.7423682530840114
0.05,0.005005005005005005,-22.34079408110314,-31.61094287483968,-22.724638209068743,-12.553383642359218,-3.3018932261114906,-24.219140513601687,10.302241473616908,-2.106416015165464,-0.3704447538083875,-9.610445977208228,22.323935686003697,5.481465206636461,-27.268822531340465,14.973954688447161,35.789048520238666,-0.6889978293640655,29.85004666081329,-13.131762232197447,4.463068886416423,-6.435577157795718,-5.7818199163662705,20.967059456265954,1.987988245120295,34.83684898027201,2.742374892180849
0.06,0.006006006006006006,-22.34126767205869,-31.611621569506035,-22.725108363951588,-12.553598800742618,-3.3018953289765474,-24.219734740018275,10.302465208612041,-2.106442456540507,-0.3704511717742677,-9.610640457444404,22.324367550755646,5.481512992481029,-27.26944106218337,14.974277507559254,35.7897502912668,-0.6890658358291117,29.850748145152824,-13.132111220278638,4.463276605729366,-6.435783151600761,-5.7819489285217305,20.96768932290091,1.9879746953806956,34.83763220879073,2.7423699664789525
0.07,0.007007007007007007,-22.341746528493196,-31.61230939887818,-22.725581323661125,-12.553806503995109,-3.301884364307551,-24.22035093486091,10.302692898368004,-2.106465524969685,-0.37045725044543526,-9.610834928774581,22.32479687468164,5.481548441125627,-27.270073953641838,14.974605217695373,35.7904497720207,-0.6891442050553003,29.851470810848866,-13.132476959189347,4.463508154545097,-6.436004277771526,-5.782080631344635,20.968361441298914,1.987950509117817,34.8384329152571,2.7423534861109866
0.08,0.008008008008008008,-22.342230620244074,-31.613006423619513,-22.726057064043836,-12.554006746731206,-3.3018603020894215,-24.22098914160001,10.30292454956775,-2.1064852043443345,-0.3704630008321232,-9.611029363657256,22.32522367161079,5.481571532084654,-27.27072122050188,14.9749378557566,35.79114696595111,-0.6892329572927025,29.85221464514262,-13.13285945192861,4.463763565045112,-6.436240534855089,-5.782215043902063,20.969075760036603,1.9879156720446711,34.83925113137958,2.742325462704341
0.09,0.009009009009009009,-22.34271991599235,-31.613712705856273,-22.726535559641032,-12.554199523242149,-3.3018231099806896,-24.221649405524754,10.303160168419495,-2.1065014785094838,-0.370468434893548,-9.61122373370934,22.32564795548758,5.481582243914599,-27.271382878017437,14.97527546005472,35.791841877404146,-0.6893321138614833,29.85297963531587,-13.133258701885598,4.464042871037235,-6.43649192218508,-5.782352185707513,20.969832224539047,1.9878701688403335,34.840086890292326,2.742285909383084
