t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.0,0.0,-32.22409858550044,29.98576107643038,34.106266485128295,-25.165598975223343,5.586089931087873,27.726119501525773,-41.72056571894772,-41.35147823461208,30.267981777566572,-26.24850175816715,33.85340958980972,2.4593520155586885,29.135308220967346,23.606757995773258,-17.984994073111082,-6.54416725413533,-4.6103041057227285,-33.89511112835213,-31.325184282516208,12.779628109625149,2.1783696850768,34.82940270014277,-2.4335693787099513,-11.256195351811103,10.51029419101734
0.01,0.001001001001001001,-32.22474498994234,29.986358724915107,34.106945561848995,-25.166104493995004,5.586199120054488,27.726671079824303,-41.72140165946078,-41.35230668166562,30.268585074784582,-26.249027777738508,33.85408464402804,2.4593986468913576,29.135889903929115,23.607229353912796,-17.985353862118956,-6.544298932364921,-4.610398944571489,-33.89579077874815,-31.325812175588553,12.77988217680484,2.17841055955426,34.830098270740926,-2.4336193937626214,-11.256423107945478,10.510502113514299
0.02,0.002002002002002002,-32.22538271779392,29.986953961149993,34.10763199901701,-25.16661632880971,5.586314790386134,27.727230026509925,-41.72222860714857,-41.35313539594257,30.269182068685637,-26.249573451006807,33.8547677679574,2.459425881359472,29.13645892675244,23.607690058160888,-17.985694990833615,-6.544428136768242,-4.610500430011933,-33.89646822151671,-31.326465480867903,12.780135185171687,2.1784829053718555,34.83078817649133,-2.4336686898426243,-11.256622741368638,10.510695877798176
0.03,0.003003003003003003,-32.226011778033346,29.98754676298436,34.108325800140626,-25.16713451557817,5.586436923633511,27.72779639529159,-41.72304654626872,-41.35396437017524,30.269772785460965,-26.250138807250263,33.855458965155286,2.4594336922186333,29.13701526552711,23.608140143236024,-17.986017482307016,-6.544554882666871,-4.61060856273086,-33.89714343764542,-31.327144197642244,12.780387140610799,2.178586740129997,34.83147242372863,-2.433717262796717,-11.256794254290575,10.510875492168612
0.04,0.004004004004004004,-32.22663218049264,29.98813710825263,34.10902697020946,-25.167659090558622,5.586565501132471,27.728370241136144,-41.72385546137483,-41.35479359659147,30.27035725085547,-26.25072387691008,33.856158240528906,2.4594220522406167,29.137558896808134,23.60857964103823,-17.98632135793871,-6.544679184816038,-4.610723341519218,-33.897816407869186,-31.32784832579556,12.780638049336378,2.1787220813690604,34.83215101942353,-2.433765108949277,-11.256937649669037,10.511040963054349
0.05,0.005005005005005005,-32.22724393586129,29.988724974771916,34.10973551569318,-25.168190090363275,5.586700504000881,27.728951620272834,-41.724655337313294,-41.355623066906176,30.270935490172167,-26.251328691588533,33.85686560033702,2.459390933709673,29.13808979761675,23.609008580650833,-17.986606637483018,-6.544801057406959,-4.61084476327437,-33.898487112668164,-31.32857786580306,12.780887917889613,2.1788889465705403,34.83282397117972,-2.433812225098912,-11.257052931208623,10.511192295011245
0.06,0.006006006006006006,-32.22784705568992,29.98931034033942,34.11045144454036,-25.168727551964874,5.586841913135342,27.72954059019801,-41.72544615922003,-41.356452772312664,30.27150752827639,-26.25195328404713,33.857581052192096,2.459340308419056,29.138607945441528,23.609426988341756,-17.986873339055965,-6.544920514069159,-4.610972823002228,-33.89915553226553,-31.329332818726254,12.781136753136511,2.1790873531577595,34.83349128723098,-2.433858608514942,-11.257140103360033,10.511329490720229
0.07,0.007007007007007007,-32.228441552394145,29.989893182729723,34.11117476617743,-25.16927151270348,5.586989709207775,27.730137209679942,-41.72622791251719,-41.35728270347372,30.272073389599782,-26.25259768820479,33.85830460506282,2.4592701476677723,29.13911331823945,23.609834887564293,-17.987121479141987,-6.545037567872806,-4.611107513819252,-33.89982164662526,-31.33011318620792,12.78138456226569,2.1793173184961256,34.83415297643852,-2.433904256933748,-11.257199171319446,10.511452550985151
0.08,0.008008008008008008,-32.229027439258495,29.99047347969192,34.11190549150775,-25.169822010293384,5.5871438726618505,27.73074153876384,-41.72700058290981,-41.35811285051252,30.272633098144063,-26.253261939136117,33.85903626927686,2.459180422257557,29.139605894437075,23.610232298957428,-17.987351072600426,-6.545152231331034,-4.611248826954304,-33.90048543544981,-31.33091897046689,12.7816313527861,2.1795788598929415,34.83480904828857,-2.4339491685549937,-11.257230141028012,10.511561474730563
0.09,0.009009009009009009,-32.22960473044047,29.991051208946605,34.112643632910796,-25.170379082830188,5.587304383709288,27.731353638776987,-41.72776415638239,-41.35894320300332,30.27318667748461,-26.253946073069656,33.859776056524005,2.4590711024900744,29.140085652931724,23.61061924034562,-17.987562132671787,-6.54526451640227,-4.611396751750386,-33.901146878177684,-31.331750174292694,12.781877132524722,2.17987199459676,34.83545951289018,-2.4339933420377093,-11.257233019171494,10.5116562589994
