t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
0.72,0.018018018018018018,-39.08924358486508,-5.198183174889168,-36.85973758992651,-1.5266859939780906,26.94143565304101,-14.34396543711179,30.40507429457622,-30.85746174038832,-28.228187364717975,21.315898526395227,11.739794005028696,16.08725700292254,1.7993764173913454,-3.4614444960016844,30.23842533654624,-11.084565259414095,0.9306800241632918,14.003324663359411,-7.086259401988137,9.593459619028929,6.0903174210824735,-4.887564877854259,31.38945230536563,17.95513593429233,32.53180383954234,29.448446585999267,-15.364608311117841,13.720055620974696,-35.99772933894718,-24.701438790125025,16.30840521498674,18.5288659335735,-17.345920577841948,34.72848480500728,-40.24170476699482,-13.063662434850789,-25.129379943158245,-6.128817089926017
0.76,0.01901901901901902,-39.090672696512286,-5.199529808499669,-36.86323764445358,-1.5276881282703145,26.941314314019717,-14.34562850208671,30.410352246608763,-30.859312252815815,-28.23168713982941,21.313853770853218,11.741030193783175,16.088951328378315,1.7997491411647744,-3.464123798542522,30.24230452178946,-11.085956186229838,0.9300413180513002,14.004889947653961,-7.088146974723273,9.593090259414602,6.092272137339815,-4.886420763063719,31.389403199691028,17.956313966247418,32.534847538847785,29.451435866634565,-15.366366953068065,13.721870785092234,-36.00151672751376,-24.699929797747757,16.30906238579342,18.52957104316568,-17.34882316988106,34.73291769178118,-40.242485803307616,-13.059778890769028,-25.133546572553666,-6.1292868172621375
0.8,0.02002002002002002,-39.092001780736034,-5.200929449758281,-36.86677090790965,-1.5287372999344941,26.94105559836546,-14.347320598044213,30.415801306872343,-30.861127987168015,-28.235259844078392,21.311603577505423,11.742284025749655,16.090676188004345,1.80013274567988,-3.4669464580377554,30.24626449243878,-11.087373775984101,0.9293659257000749,14.006479794122127,-7.090107750481248,9.592663530419706,6.094312672038648,-4.885194994419664,31.389217953604653,17.9574814650706,32.53791356971964,29.454461609526287,-15.368154583556473,13.723725156328541,-36.005357322798496,-24.69823012253759,16.309681321043897,18.530233980172383,-17.351807598930346,34.73745047427112,-40.243132433034674,-13.055627048660018,-25.137832463390183,-6.12975993799375
0.84,0.02102102102102102,-39.093230163350825,-5.2023821946619755,-36.87033765974898,-1.5298331908189424,26.940658083284106,-14.349041659684817,30.421423033914284,-30.86290878957718,-28.23890607600695,21.309148206356657,11.743555482302053,16.092432573949168,1.8005268728971568,-3.4699140403386384,30.250305231898974,-11.088817903694965,0.9286542835319228,14.008093952367723,-7.09214146241919,9.592179932609035,6.0964396617941965,-4.883888419865701,31.38889743949074,17.958638925233252,32.54100160401515,29.457523873500318,-15.369971261630074,13.725618503310852,-36.00925154891499,-24.69634043347362,16.310261686684274,18.53085486910292,-17.35487363188553,34.74208416463271,-40.243644780963656,-13.051207979798798,-25.142237193954372,-6.130236960906111
0.88,0.022022022022022022,-39.09435716516143,-5.203888126841855,-36.87393817009208,-1.530975464087019,26.940120321163832,-14.350791606602519,30.427219022972253,-30.86465448037609,-28.242626458277105,21.306487920590534,11.74484453282342,16.094221514697892,1.8009311467495583,-3.473028181092785,30.254426735791455,-11.090288434065016,0.9279068524962217,14.009732139464,-7.094247799591541,9.591639955748834,6.098653771273616,-4.882501957434549,31.388442578317488,17.959786864299012,32.544111306406585,29.460622711008906,-15.37181705961365,13.727550577138754,-36.0131998406428,-24.69426145867402,16.31080314494566,18.531433844743813,-17.35802102431164,34.74681980741775,-40.24402297154205,-13.046522849249481,-25.146760279829962,-6.130718391383794
0.92,0.023023023023023025,-39.09538210285865,-5.205447316332602,-36.877572698018795,-1.5321637642228445,26.93944084213526,-14.352570343187892,30.43319090414234,-30.866364853930513,-28.246421637500145,21.303622987597524,11.746151134561865,16.09604407542508,1.8013451736434642,-3.4762905850446706,30.25862901212219,-11.091785220503066,0.927124117714471,14.01139403918147,-7.09642640713617,9.591044078916076,6.100955692534603,-4.881036596174951,31.387854341561006,17.960925822757684,32.547242333797584,29.4637581679733,-15.373692064300425,13.729521110536506,-36.017202641314256,-24.69199398815609,16.311305354487715,18.53197105259421,-17.3612495185819,34.75165847976716,-40.24426712917133,-13.041572922389978,-25.15140117194938,-6.131204731495658
0.96,0.024024024024024024,-39.0963042899618,-5.207059818282944,-36.88124148979708,-1.5333977170304376,26.938618156882647,-14.354377758524002,30.439340340394384,-30.868039678511952,-28.250292284072586,21.300553680099608,11.7474752324978,16.097901358336706,1.80176854299563,-3.4797030252513435,30.262912081449734,-11.093308104107479,0.926306588119712,14.013079301188352,-7.098676886461096,9.59039277058571,6.103346144295078,-4.8794933970873835,31.387133753203447,17.96205636384427,32.550394334737575,29.466930283622652,-15.375596378220582,13.731529816976973,-36.0212604005983,-24.689538876762004,16.311767970546455,18.532466649349665,-17.36455884193122,34.75660129159433,-40.2443773785504,-13.03635957170584,-25.15615925462108,-6.131696480063007
1.0,0.025025025025025023,-39.09712303780676,-5.208725671608851,-36.88494477704522,-1.5346769296266416,26.93765075971437,-14.356213726275511,30.445669025425545,-30.86967869621362,-28.254239092018967,21.29728027736971,11.748816759223716,16.099794503000307,1.8022008278068307,-3.4832673422066596,30.267275977053256,-11.094856912614627,0.9254547960895497,14.014787540226175,-7.100998795435364,9.589686488695456,6.105825871129456,-4.877873494062151,31.386281891796422,17.9631790733426,32.55356694883253,29.4701390903304,-15.377530120991057,13.733576389778932,-36.02537357218162,-24.686897047244745,16.31219064508557,18.532920803434003,-17.3679487044286,34.7616493857575,-40.24435384506786,-13.030884283830408,-25.161033843542857,-6.132194132710618
1.04,0.026026026026026026,-39.097837656577816,-5.210444897591555,-36.88868277482506,-1.5360009904282361,26.936537131900792,-14.358078104571376,30.45217868134288,-30.87128162291286,-28.258262778841534,21.29380306654395,11.750175634837804,16.101724686662376,1.802641585272798,-3.4869854428669735,30.27172074510028,-11.096431459316408,0.9245692970719803,14.016518335263234,-7.1033916485876585,9.588925680687687,6.108395642586789,-4.87617809481301,31.385299892580264,17.964294559373116,32.55675980615023,29.47338461344945,-15.379493430750157,13.73566050117966,-36.029542611347836,-24.684069493507753,16.312573026950588,18.53333369557899,-17.371418796873186,34.76680393821941,-40.244196655242156,-13.025148666806244,-25.16602418381195,-6.132698181900324
1.08,0.02702702702702703,-39.0984474563815,-5.212217498422867,-36.892455679664124,-1.5373694691336768,26.935275745287587,-14.35997073588155,30.458871056165396,-30.872848148283428,-28.262364085376895,21.290122344024844,11.751551766852822,16.103693124552073,1.8030903574329062,-3.490859299570835,30.27624644481394,-11.098031541951217,0.9236506692032148,14.018271228628828,-7.105854917316192,9.58811078352797,6.111056252225892,-4.874408481798977,31.384188949648962,17.965403452164217,32.559972526618,29.476666871147593,-15.381486465680602,13.737781801384893,-36.03376797245589,-24.681057283991247,16.312914762025198,18.533705519451466,-17.374968788619515,34.772066158192494,-40.24390593720913,-13.01915445754036,-25.171129447943326,-6.1332091169467695
