t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.0,0.0,4.081309016294841,4.317000385233202,-0.734098377749926,8.607302746060972,-6.368929354226678,4.3455223245421415,2.5153046516207023,4.973157598246955,-14.610906526910536,-3.8272521131727215,-16.015095668643724,-19.98744612355236,-34.98303419080138,29.834782065468683,22.306945193516857,-29.674322419399854,-39.95927528662055,31.193761360117428,16.954711531474253,24.005168144474137,2.5713299534235836,29.742047747264397,0.41038917912868544,10.617628478692177,-28.412851638337198
0.04,0.001001001001001001,4.081633771450061,4.317339159410448,-0.7341666098667737,8.607987438824226,-6.369449652766927,4.345869125140931,2.5154980262945523,4.973547537111757,-14.612077019448392,-3.827562136687177,-16.016384086769193,-19.98905238839655,-34.98583289993721,29.837161222139716,22.308720889486214,-29.67670147413932,-39.96247322827559,31.196245425107737,16.956059452732713,24.00707817241034,2.5715326548853676,29.7444163136285,0.41041946953661346,10.618468758534176,-28.415129244262133
0.08,0.002002002002002002,4.081940651516923,4.317632221523018,-0.7343718462914679,8.608711584145356,-6.370068468390885,4.346177571662737,2.5157668423078166,4.9739072725186935,-14.613237361983753,-3.82790169387905,-16.017584990331407,-19.99066983656047,-34.98855195481654,29.839521621640632,22.310543884155866,-29.679034941520296,-39.9657234652474,31.19865969424814,16.957388027126004,24.008965407836175,2.5718285895874873,29.74684209983467,0.4104890870486753,10.619265831542648,-28.417347151529487
0.12,0.003003003003003003,4.082229760343936,4.317879863141837,-0.7347136053009852,8.609475110378785,-6.370785514402354,4.346447938221997,2.5161109300476774,4.974236989045257,-14.614387174494428,-3.8282711660416733,-16.018698442527718,-19.992298541647067,-34.99119116029327,29.841862680479363,22.312413733021693,-29.6813230855735,-39.96902545934249,31.201005041776803,16.958696817081172,24.010829834954034,2.5722175610726365,29.749324726317614,0.41059819804486414,10.620019549437199,-28.4195059075973
0.16,0.004004004004004004,4.082501212735283,4.31808236798887,-0.7351914423321448,8.61027795645186,-6.371600521247424,4.346680502390056,2.516530143633081,4.974536877219577,-14.61552608898177,-3.8286709096951745,-16.019724472254225,-19.993938594122664,-34.99375032673598,29.844183800693365,22.314329991449487,-29.68356614230996,-39.972378650678664,31.203282286183068,16.959985374880084,24.01267143179976,2.5726994277881694,29.751863772936495,0.4107469566801747,10.620729767295433,-28.421606045622685
0.2,0.005005005005005005,4.082755134233951,4.318240011743766,-0.7358049494695527,8.61112007174741,-6.372513236377639,4.346875544817643,2.5170243606292133,4.9748071333669195,-14.616653749570517,-3.8291012567401483,-16.020663073998556,-19.995590101227098,-34.9962292697857,29.846484369907138,22.316292214559976,-29.68576431987439,-39.97578245761333,31.205492190943897,16.961253242738803,24.014490170063524,2.5732741027651165,29.754458779079933,0.41093550510207455,10.621396343607252,-28.423648084505608
0.24,0.006006006006006006,4.082991660900971,4.318353061866189,-0.7365537549303935,8.612001415995108,-6.3735234241268435,4.347033348860857,2.5175934817831696,4.975047959447356,-14.61776981260058,-3.8295625145947745,-16.02151420773826,-19.99725318690099,-34.99862781011885,29.848763761386426,22.31829995712426,-29.687917798671286,-39.97923627666779,31.20763546519189,16.962499952890848,24.01628601490626,2.573941553301786,29.757109243778846,0.4111639736491313,10.622019140334913,-28.42563252892416
0.28,0.007007007007007007,4.083210939090938,4.318421777433613,-0.7374375225468732,8.612921959171747,-6.374630865602007,4.347154200210683,2.518237430780695,4.975259562884692,-14.618873946710698,-3.830054966315597,-16.022277798844463,-19.998927991729868,-35.00094577321539,29.851021334089555,22.32035277347001,-29.690026731463806,-39.98273948244796,31.209712764315086,16.963725027674453,24.018058924771523,2.574701800651307,29.759814625827623,0.41143248103088714,10.622598022978872,-28.427559869360945
0.32,0.008008008008008008,4.0834131252239585,4.318446408994396,-0.7384559512469717,8.61388168141052,-6.3758353585883025,4.347238386526149,2.518956154023871,4.9754421563867535,-14.619965832913897,-3.830578870702159,-16.022953737990566,-20.000614672904813,-35.003182989132426,29.853256432716325,22.32245021739876,-29.692091243445557,-39.98629142756198,31.21172469048878,16.96492797962393,24.019808851192664,2.5755549197123604,29.762574343914014,0.4117411344890305,10.623132860649442,-28.429430582120208
0.36,0.009009009009009009,4.083598385554235,4.318427198435963,-0.7396087745340336,8.614880572919438,-6.377136717468711,4.347286197071232,2.5197496204296113,4.975595957757135,-14.62104516466468,-3.8311344623856862,-16.023541881065857,-20.002313404199352,-35.00533929228307,29.855468387754904,22.324591842114604,-29.6941114322853,-39.98989144253532,31.213671793139426,16.96610831156525,24.021535738595112,2.576501038722236,29.76538777675823,0.41209002993987315,10.623623526144335,-28.431245129335508
