t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.0,0.0,-19.224841373058734,2.8120268167412013,21.36445689495456,35.32403652871641,7.062172357249294,-14.4844388958198,-30.378903897974368,-22.85683934708445,-2.1794178357926217,23.594141621103496
0.04,0.001001001001001001,-19.226387912697685,2.8122477454159154,21.366164099203075,35.326854904688226,7.0627257152096705,-14.485607551527645,-30.381343808866667,-22.858676728064108,-2.1796026688075782,23.59601907448179
0.08,0.002002002002002002,-19.2279709364927,2.81248663714318,21.367910874027896,35.32967801291507,7.063232496326938,-14.486744105549295,-30.383743837378486,-22.860454878025408,-2.1799123969491956,23.597911003017
0.12,0.003003003003003003,-19.22959058910028,2.8127433411845484,21.36969720825626,35.3325057366557,7.063692744368965,-14.487848451980188,-30.386103954755715,-22.862173688528646,-2.1803467341023346,23.59981725703669
0.16,0.004004004004004004,-19.231247015048933,2.813017706552836,21.371523091640213,35.335337944430094,7.064106489908861,-14.488920478897272,-30.388424134305836,-22.863833050194696,-2.1809053790949764,23.601737694044704
0.2,0.005005005005005005,-19.23294035865373,2.8133095820032423,21.373388514695502,35.338174489955954,7.064473750337556,-14.489960068353373,-30.390704351398604,-22.865432852619637,-2.1815880156348513,23.603672178702936
0.24,0.006006006006006006,-19.234670763928403,2.81361881601438,21.37529346852349,35.341015212089836,7.0647945298734856,-14.49096709636925,-30.392944583466527,-22.86697298431035,-2.182394312205376,23.60562058281371
0.28,0.007007007007007007,-19.236438374494963,2.813945256759439,21.377237944616336,35.343859934773214,7.065068819569368,-14.491941432923351,-30.395144810005128,-22.868453332641025,-2.183323921921645,23.607582785302753
0.32,0.008008008008008008,-19.238243333490978,2.814288752067729,21.37922193464562,35.346708466983806,7.065296597316073,-14.492882941939211,-30.397305012573028,-22.869873783830496,-2.1843764823472505,23.609558672202734
0.36,0.009009009009009009,-19.24008578347453,2.8146491493768573,21.381245430234646,35.34956060269258,7.0654778278435915,-14.493791481270499,-30.39942517479184,-22.87123422294036,-2.1855516152727765,23.61154813663733
0.4,0.01001001001001001,-19.241965866326947,2.815026295675812,21.38330842271466,35.35241612082675,7.065612462719115,-14.494666902683697,-30.401505282345912,-22.872534533893788,-2.186848926456827,23.613551078805834
0.44,0.011011011011011011,-19.243883723153363,2.8154200374392326,21.385410902865218,35.355274785239274,7.065700440342249,-14.495509051838392,-30.40354532298192,-22.87377459951499,-2.188268005330521,23.61556740596822
0.48,0.012012012012012012,-19.24583949418122,2.8158302205531682,21.387552860638976,35.358136344685114,7.065741685937379,-14.49631776826517,-30.405545286508318,-22.874954301589216,-2.1898084246664062,23.617597032430698
0.52,0.013013013013013013,-19.247833318656745,2.8162566902326276,21.389734284871185,35.36100053280492,7.06573611154323,-14.497092885341143,-30.407505164794664,-22.87607352094323,-2.1914697402128205,23.619639879531647
0.56,0.014014014014014014,-19.24986533473959,2.8166992909312505,21.391955162974153,35.36386706811643,7.065683615999657,-14.49783423026306,-30.40942495177083,-22.877132137546216,-2.1932514902947435,23.621695875627964
0.6,0.015015015015015015,-19.25193567939559,2.8171578662434387,21.394215480617024,35.366735654014064,7.065584084931715,-14.498541624018046,-30.41130464342608,-22.87813003063097,-2.1951531953822596,23.62376495608172
0.64,0.016016016016016016,-19.254044488287903,2.817632258799295,21.39651522139118,35.369605978777386,7.06543739073106,-14.499214881351962,-30.413144237808048,-22.879067078835323,-2.1971743576277847,23.625847063247118
0.68,0.017017017017017015,-19.256191895666486,2.8181223101527424,21.398854366461624,35.37247771558864,7.065243392534747,-14.499853810735411,-30.41494373502159,-22.879943160363684,-2.19931446037327,23.627942146457706
0.72,0.018018018018018018,-19.258378034256136,2.818627860663206,21.401232894204725,35.37535052256014,7.065001936201495,-14.50045821432738,-30.416703137227543,-22.880758153168603,-2.201572967628646,23.630050162013752
0.76,0.01901901901901902,-19.26060303514315,2.8191487493712533,21.403650779832706,35.378224042771905,7.064712854285496,-14.50102788793658,-30.418422448641337,-22.88151193515223,-2.2039493235228247,23.632171073169776
0.8,0.02002002002002002,-19.26286702766074,2.8196848138686126,21.4061079950053,35.381097904320015,7.064375966007856,-14.50156262098047,-30.420101675531516,-22.88220438438754,-2.206442951728635,23.63430485012213
0.84,0.02102102102102102,-19.265170139273344,2.820235890162993,21.40860450742906,35.38397172037638,7.063991077225757,-14.502062196442031,-30.421740826218088,-22.8828353793592,-2.2090532548631296,23.636451469996615
0.88,0.022022022022022022,-19.267512495459947,2.8208018125381598,21.411140280444734,35.38684508926031,7.063557980399452,-14.502526390824297,-30.423339911070755,-22.883404799223904,-2.2117796138647527,23.63861091683601
0.92,0.023023023023023025,-19.26989421959655,2.821382413409724,21.413715272603277,35.38971759452248,7.063076454557198,-14.502954974102705,-30.42489894250697,-22.883912524090007,-2.214621387348928,23.640783181587498
0.96,0.024024024024024024,-19.27231543283797,2.8219775231771296,21.416329437231006,35.39258880504181,7.062546265258259,-14.503347709675293,-30.42641793498981,-22.884358435316283,-2.217577910943688,23.64296826208985
1.0,0.025025025025025023,-19.274776253999033,2.8225869700723334,21.418982721984484,35.39545827513583,7.0619671645540985,-14.503704354310806,-30.427896905025648,-22.88474241582957,-2.220648496607028,23.64516616306035
1.04,0.026026026026026026,-19.277276799435402,2.823210580005696,21.42167506839573,35.39832554468497,7.061338890947911,-14.504024658094771,-30.4293358711616,-22.885064350461107,-2.2238324319277454,23.647376896081326
1.08,0.02702702702702703,-19.279817182924145,2.8238481764096113,21.424406411408413,35.40119013927137,7.06066116935265,-14.504308364373593,-30.430734853982717,-22.885324126301242,-2.2271289794115754,23.649600479586233
1.12,0.028028028028028028,-19.282397515544208,2.8244995800804285,21.427176678905706,35.40405157033268,7.059933711047706,-14.504555209696742,-30.43209387610888,-22.885521633072308,-2.2305373757545297,23.65183693884515
1.16,0.029029029029029027,-19.285017905556973,2.8251646090192284,21.42998579123052,35.40690933533133,7.059156213634423,-14.504764923757122,-30.433412962191383,-22.885656763519265,-2.2340568311053897,23.65408630594964
1.2,0.03003003003003003,-19.287678458287044,2.8258430782720416,21.432833660698883,35.40976291793973,7.058328360990628,-14.504937229329682,-30.434692138909146,-22.885729413817824,-2.2376865283193994,23.65634861979682
1.24,0.031031031031031032,-19.29037927600346,2.826534799770107,21.435720191107247,35.41261178824196,7.057449823224391,-14.50507184220837,-30.435931434964527,-22.88573948399965,-2.241425622205263,23.65862392607257
1.28,0.03203203203203203,-19.293120457801486,2.827239582170785,21.43864527723462,35.4154554029522,7.056520256627219,-14.505168471141529,-30.437130881078687,-22.885686878394207,-2.2452732387676293,23.660912277233727
1.32,0.03303303303303303,-19.29590209948517,2.8279572306997594,21.441608804340333,35.41829320565043,7.055539303626916,-14.505226817765841,-30.438290509986448,-22.885571506086812,-2.249228474447325,23.66321373248917
1.36,0.03403403403403403,-19.298724293450842,2.8286875469951775,21.444610647658443,35.42112462703582,7.0545065927403545,-14.50524657653892,-30.439410356430614,-22.885393281392385,-2.253290395361658,23.665528357779632
