t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
0.0,0.0,28.616345431678518,-21.860554573660888,10.2049608574466,-13.755908880300817,28.230097845169876,-35.897427007775455,1.1356011830767438,0.52180173032485,12.586653047060404,-15.85481460829569,-27.13935907471938,-18.82013569623676,7.742863582424437,-13.652314814335254,-28.111060106558785,-45.59419609414766,23.217212162781344,26.072340493396627,6.233958413167526,4.2755927403836225,30.16244904656219,27.325244439733407,2.5015914884172883,-22.98901417932649,10.510883998989158,8.01805301901664,3.147768853781786,14.898274870394587
0.04,0.001001001001001001,28.618627631051247,-21.862313903539878,10.205765858457987,-13.757012792842644,28.23235527023643,-35.900303648991176,1.1356893347390675,0.5218358838326171,12.587659927717484,-15.856083248729147,-27.14153616923017,-18.82165136546098,7.743479838039887,-13.653411437868874,-28.113310556683956,-45.59784843021782,23.219061242414103,26.074423233003856,6.234451815551027,4.275926057203706,30.164858632855584,27.327428540946904,2.501783785071468,-22.990863586889517,10.511723686033497,8.018688061013922,3.1480180312720405,14.899466479461765
0.08,0.002002002002002002,28.620894424332494,-21.86415214641835,10.2065565899079,-13.758244920508108,28.234650936289494,-35.90312705192344,1.1357656179957014,0.5217899794969382,12.588707704654041,-15.857326787106034,-27.143684767483744,-18.823179379054945,7.7441584977043405,-13.654510627837588,-28.115571651203048,-45.6014352412535,23.220868163582416,26.07647248897205,6.2350893471710025,4.276159284915593,30.167215140296243,27.32972220266219,2.501947662159259,-22.992682679814717,10.512531374056598,8.019399262153872,3.1482312161534285,14.900663528548332
0.12,0.003003003003003003,28.623145998763434,-21.86606934224771,10.207333005091506,-13.759605557199302,28.236984831719813,-35.90589718916996,1.1358302335434287,0.5216640384118971,12.589796414099327,-15.858545251502125,-27.145804040180746,-18.824719879381778,7.744899649385242,-13.65561217574845,-28.11784289751395,-45.604956779653556,23.222632495637782,26.078488199377308,6.235871186290395,4.276292472214679,30.16951817784969,27.332125138064665,2.502083265506165,-22.994471770925635,10.513306915641277,8.020186771184724,3.148408366094568,14.90186589309573
0.16,0.004004004004004004,28.625382546501793,-21.868065532637573,10.208095040904025,-13.761094975923136,28.239356942004015,-35.9086140380512,1.135883388895404,0.5214580755498324,12.590926082845668,-15.85973867326492,-27.1478931976551,-18.826273013915333,7.7457034062822006,-13.65671589137356,-28.12012378749281,-45.6084133030871,23.22435380999702,26.080470314161836,6.236797526723771,4.27632564272141,30.17176736305761,27.33463704611668,2.502190743280972,-22.99623116579309,10.514050165851607,8.02105078157695,3.1485494369599403,14.903073434211493
0.2,0.005005005005005005,28.62760426433547,-21.870140760481924,10.208842617727543,-13.76271342859307,28.241767249663738,-35.91127758049333,1.1359252986227595,0.5211720995370258,12.592096728131414,-15.860907086864442,-27.149951490371233,-18.82783893546011,7.746569906645662,-13.65782160284925,-28.122413797352756,-45.61180507424726,23.226031680281654,26.082418795067152,6.237868577982844,4.276258795067764,30.173962322184202,27.337257611233827,2.502270246078562,-22.99796116255246,10.514760982271918,8.0219915315015,3.1486543827278544,14.904285998653357
0.24,0.006006006006006006,28.629811353392167,-21.872295069558746,10.209575639326495,-13.764461145827507,28.2442157342211,-35.91388780291281,1.1359561846068809,0.5208061124432011,12.593308357516483,-15.862050529742083,-27.151978209388684,-18.829417802378703,7.747499313591098,-13.658929156766456,-28.124712387513988,-45.61513236062589,23.22766568244831,26.084333615583276,6.239084565396712,4.276091902990072,30.176102690346806,27.33998650294584,2.5023219270010864,-22.999662051729427,10.515439225046142,8.023009303801969,3.148723155413119,14.905503418821958
0.28,0.007007007007007007,28.63200401884451,-21.87452850410269,10.210293992751964,-13.766338336744237,28.246702372150455,-35.91644469610247,1.1359762763023542,0.5203601095845197,12.594560968750711,-15.863169042157583,-27.153972686794308,-18.83100977882678,7.748491814908336,-13.660038418252153,-28.12701900248589,-45.6183954343092,23.22925539491017,26.086214760914178,6.240445730206464,4.275824915428505,30.178188111630945,27.342823375542952,2.502345941737481,-23.00133411607401,10.516084756917545,8.024104425959852,3.1487557049944965,14.906725512762296
0.32,0.008008008008008008,28.634182469610092,-21.87684110835023,10.210997548254959,-13.76834518875041,28.24922713682639,-35.91894825511926,1.135985811010588,0.519834079339765,12.595854549635318,-15.864262667034257,-27.1559342961023,-18.8326150349956,7.7495476228655376,-13.6611492710417,-28.12933307076188,-45.62159457179404,23.23080039864961,26.088062227959565,6.241952329633802,4.275457756633624,30.180218239189823,27.345767867708606,2.5023424486413046,-23.002977630402846,10.516697443268807,8.025277270051962,3.1487519793470127,14.90795208417417
0.36,0.009009009009009009,28.636346918045945,-21.87923292605686,10.211686159208915,-13.770481867327577,28.251789998467896,-35.921398479173625,1.135985034164123,0.519228002979403,12.597189077877704,-15.865331449802559,-27.15786245262221,-18.834233747362067,7.75066697400732,-13.662261617541992,-28.13165400472766,-45.62473005382492,23.232300277322135,26.0898760253132,6.24360463692327,4.274990326280498,30.18219273532838,27.348819602139493,2.5023116088068775,-23.004592861449577,10.517277152162482,8.026528252698826,3.1487119241792105,14.909182922431786
