Time,traj,gen,theta
59.0,1.153499960899353,1.1308991361284484,5.00295
60.0,1.178500056266785,1.1300040558174942,5.003
61.0,1.1347999572753906,1.129105891545123,5.00305
62.0,1.1509000062942505,1.128204627433604,5.0031
63.0,1.155500054359436,1.1273002474972031,5.00315
64.0,1.142199993133545,1.1263927356407635,5.0032
65.0,1.1437000036239624,1.125482075659022,5.00325
66.0,1.143100023269653,1.1245682512354733,5.0033
67.0,1.1385999917984009,1.1236512459421988,5.00335
68.0,1.1434999704360962,1.1227310432376498,5.0034
69.0,1.139899969100952,1.1218076264667047,5.00345
70.0,1.1567000150680542,1.1208809788592475,5.0035
71.0,1.1532000303268433,1.119951083529486,5.00355
72.0,1.1502000093460083,1.1190179234746438,5.0036000000000005
73.0,1.1059999465942385,1.1180814815739382,5.00365
74.0,1.1349999904632568,1.1171417405880675,5.0037
75.0,1.1083999872207642,1.1161986831575632,5.00375
76.0,1.125,1.1152522918021077,5.0038
77.0,1.1198999881744385,1.114302548919511,5.00385
78.0,1.113700032234192,1.113349436784631,5.0039
79.0,1.1131000518798828,1.1123929375481225,5.00395
80.0,1.1187000274658203,1.1114330332354143,5.0040000000000004
81.0,1.0851000547409058,1.110469705746084,5.00405
82.0,1.129699945449829,1.1095029368521523,5.0041
83.0,1.1103999614715576,1.1085327081970036,5.00415
84.0,1.125,1.1075590012949874,5.0042
85.0,1.1394000053405762,1.1065817975294294,5.00425
86.0,1.1174999475479126,1.1056010781520627,5.0043
87.0,1.121500015258789,1.1046168242813224,5.0043500000000005
88.0,1.0950000286102295,1.1036290169020049,5.0044
89.0,1.1053999662399292,1.1026376368632782,5.00445
90.0,1.0821000337600708,1.1016426648779998,5.0045
91.0,1.077299952507019,1.100644081521068,5.00455
92.0,1.086899995803833,1.0996418672289678,5.0046
93.0,1.080600023269653,1.0986360022977237,5.00465
94.0,1.0952999591827393,1.0976264668819908,5.0047
95.0,1.0627000331878662,1.0966132409940315,5.0047500000000005
96.0,1.0637999773025513,1.0955963045021804,5.0048
97.0,1.0363999605178833,1.0945756371294806,5.00485
98.0,1.082200050354004,1.0935512184528307,5.0049
99.0,1.0197999477386477,1.0925230279009384,5.00495
100.0,1.1130000352859497,1.0914910447540365,5.005
101.0,1.0241999626159668,1.0904552481416658,5.00505
102.0,1.066100001335144,1.0894156170415386,5.0051000000000005
103.0,1.0585999488830566,1.0883721302785716,5.00515
104.0,1.1119999885559082,1.0873247665230679,5.0052
105.0,1.0614999532699585,1.0862735042894656,5.00525
106.0,1.1258000135421753,1.0852183219352014,5.0053
107.0,1.106600046157837,1.0841591976588347,5.00535
108.0,1.1019999980926514,1.0830961094988538,5.0054
109.0,1.1003999710083008,1.0820290353322548,5.00545
110.0,1.1052000522613523,1.0809579528731774,5.0055000000000005
111.0,1.0865999460220337,1.0798828396710292,5.00555
112.0,1.0635000467300415,1.0788036731095758,5.0056
113.0,1.1088000535964966,1.077720430404895,5.00565
114.0,1.0140999555587769,1.0766330886042397,5.0057
115.0,1.0779999494552612,1.0755416245841616,5.00575
116.0,1.093400001525879,1.0744460150492614,5.0058
117.0,1.0664000511169434,1.073346236530483,5.00585
118.0,1.100499987602234,1.0722422653834656,5.0059000000000005
119.0,1.0292999744415283,1.0711340777870646,5.00595
120.0,1.0631999969482422,1.0700216497417046,5.006
121.0,1.066499948501587,1.0689049570675024,5.00605
122.0,1.0693000555038452,1.067783975403131,5.0061
123.0,1.0938999652862549,1.0666586802033748,5.00615
124.0,1.0780999660491943,1.0655290467383907,5.0062
125.0,1.0377999544143677,1.0643950500910933,5.0062500000000005
126.0,1.0942000150680542,1.0632566651559614,5.0063
127.0,1.0779000520706177,1.0621138666372758,5.00635
128.0,1.1054999828338623,1.060966629046959,5.0064
129.0,1.082800030708313,1.059814926703325,5.00645
130.0,1.0228999853134155,1.058658733728862,5.0065
131.0,1.0992000102996826,1.0574980240484138,5.00655
132.0,1.041700005531311,1.0563327713877015,5.0066
133.0,1.0291999578475952,1.055162949271221,5.0066500000000005
134.0,1.0607999563217163,1.0539885310200816,5.0067
135.0,1.0760999917984009,1.052809489750814,5.00675
136.0,1.0872000455856323,1.0516257983725836,5.0068
137.0,0.9915400147438048,1.0504374295859975,5.00685
138.0,1.0722999572753906,1.04924435588066,5.0069
139.0,1.058500051498413,1.0480465495333249,5.00695
140.0,1.0625,1.0468439826059637,5.007000000000001
141.0,1.0597000122070312,1.0456366269436899,5.0070500000000004
142.0,1.0019999742507937,1.0444244541724856,5.0071
143.0,1.0348000526428225,1.0432074356975818,5.00715
144.0,1.0204999446868896,1.0419855427009566,5.0072
145.0,1.0236999988555908,1.0407587461393462,5.00725
146.0,0.9957799911499025,1.0395270167420847,5.0073
147.0,1.0399999618530271,1.0382903250090578,5.00735
148.0,1.0234999656677246,1.0370486412083153,5.0074000000000005
149.0,1.0083999633789062,1.0358019353739394,5.00745
150.0,1.0260000228881836,1.0345501773039132,5.0075
151.0,1.0098999738693235,1.0332933365576196,5.00755
152.0,1.035099983215332,1.032031382453681,5.0076
153.0,0.9571499824523926,1.0307642840678284,5.00765
154.0,1.0866999626159668,1.029492010230257,5.0077
155.0,0.9586899876594543,1.028214529523268,5.007750000000001
156.0,1.0681999921798706,1.026931810279109,5.0078000000000005
157.0,0.9685500264167786,1.0256438205773861,5.00785
158.0,1.0336999893188477,1.0243505282427918,5.0079
159.0,1.0335999727249146,1.0230519008423187,5.00795
160.0,0.9452300071716307,1.021747905682986,5.008
161.0,1.121399998664856,1.020438509809395,5.00805
162.0,0.98225998878479,1.019123680000888,5.0081
163.0,0.995169997215271,1.0178033827692445,5.0081500000000005
164.0,1.0764000415802002,1.0164775843558402,5.0082
165.0,0.9752299785614014,1.015146250729174,5.00825
166.0,1.038699984550476,1.0138093475821677,5.0083
167.0,0.9736400246620178,1.0124668403294095,5.00835
168.0,1.0585999488830566,1.0111186941043684,5.0084
169.0,1.038599967956543,1.0097648737568932,5.00845
170.0,0.9939500093460084,1.008405343850086,5.008500000000001
171.0,0.9859799742698668,1.0070400686577443,5.0085500000000005
172.0,1.0322999954223633,1.0056690121612917,5.0086
173.0,1.0403000116348269,1.0042921380472194,5.00865
174.0,0.9942100048065186,1.0029094097037614,5.0087
175.0,1.069499969482422,1.001520790218109,5.00875
176.0,0.9706900119781494,1.0001262423737387,5.0088
177.0,1.0829999446868896,0.9987257286468605,5.00885
178.0,1.0472999811172483,0.9973192112037168,5.008900000000001
179.0,1.0439000129699707,0.9959066518973998,5.0089500000000005
180.0,0.9866300225257874,0.9944880122649522,5.009
181.0,1.069700002670288,0.9930632535237578,5.00905
182.0,0.9388099908828736,0.9916323365687276,5.0091
183.0,1.023900032043457,0.99019522196906,5.00915
184.0,0.961359977722168,0.9887518699648012,5.0092
185.0,1.0113999843597412,0.9873022404636629,5.00925
186.0,0.9578800201416016,0.9858462930377243,5.0093000000000005
187.0,1.055500030517578,0.9843839869201076,5.00935
188.0,0.9892699718475342,0.9829152810013966,5.0094
189.0,0.993910014629364,0.9814401338263394,5.00945
190.0,0.9212599992752076,0.9799585035904101,5.0095
191.0,1.1104999780654907,0.9784703481361134,5.00955
192.0,0.877780020236969,0.9769756249496311,5.0096
193.0,1.0994000434875488,0.9754742911572123,5.009650000000001
194.0,0.8886299729347229,0.97396630352128,5.0097000000000005
195.0,1.1261999607086182,0.9724516184371339,5.00975
196.0,0.8178200125694275,0.9709301919289715,5.0098
197.0,1.1416000127792358,0.9694019796462783,5.00985
198.0,0.7767400145530701,0.9678669368599628,5.0099
199.0,1.194499969482422,0.9663250184586616,5.00995
200.0,0.7293699979782104,0.964776178944561,5.01
201.0,0.5475199818611145,0.9632203724297597,5.010050000000001
202.0,1.2589000463485718,0.9616575526323174,5.0101
203.0,0.5496100187301636,0.9600876728719925,5.01015
204.0,1.2676000595092771,0.958510686066461,5.0102
205.0,0.548229992389679,0.9569265447271675,5.01025
206.0,1.2621999979019165,0.9553352009549769,5.0103
207.0,0.5494400262832642,0.9537366064364221,5.01035
208.0,1.2711999416351318,0.952130712438958,5.010400000000001
209.0,0.5388799905776978,0.9505174698072096,5.0104500000000005
210.0,1.2836999893188477,0.9488968289583397,5.0105
211.0,0.5335400104522705,0.9472687398776429,5.01055
212.0,1.2752000093460083,0.945633152114425,5.0106
213.0,0.5200300216674805,0.9439900147774267,5.01065
214.0,1.2626999616622925,0.9423392765301344,5.0107
215.0,0.5248900055885315,0.9406808855864881,5.01075
216.0,1.2624000310897827,0.9390147897061638,5.010800000000001
217.0,0.5437999963760376,0.9373409361899121,5.0108500000000005
218.0,1.2762999534606934,0.9356592718750107,5.0109
219.0,0.5441799759864807,0.9339697431304899,5.01095
