Time,traj,gen
1.0,1.4962999820709229,1.4637982342419147
2.0,1.50600004196167,1.4172226765539255
3.0,1.475000023841858,1.3198725025217906
4.0,1.514899969100952,1.1356028401085747
5.0,1.4997999668121338,0.8494678652454429
6.0,1.5083999633789062,0.5409624248558033
7.0,1.493399977684021,0.35268826579979906
8.0,1.4947999715805054,0.29726816150679564
9.0,1.4910999536514282,0.2998977137666645
10.0,1.506999969482422,0.3199393193963624
11.0,1.5388000011444092,0.34490645053635843
12.0,1.5092999935150146,0.37138685247304287
13.0,1.4830000400543213,0.3984354540934254
14.0,1.502400040626526,0.42577629401366307
15.0,1.473399996757507,0.4533213851520556
16.0,1.4825999736785889,0.48103756990888047
17.0,1.4702999591827393,0.5089079698501924
18.0,1.437800049781799,0.5369202635399704
19.0,1.4823999404907229,0.5650629150811917
20.0,1.46150004863739,0.5933238578086003
21.0,1.4859000444412231,0.6216899619767897
22.0,1.4803999662399292,0.6501467560299063
23.0,1.496000051498413,0.6786782255686373
24.0,1.4602999687194824,0.7072666287128384
25.0,1.471400022506714,0.735892305021441
26.0,1.4853999614715576,0.7645334685789206
27.0,1.4342999458312988,0.7931659808568937
28.0,1.437399983406067,0.8217631011038128
29.0,1.4846999645233154,0.8502952132954691
30.0,1.4144999980926514,0.878729529870958
31.0,1.4290000200271606,0.9070297739494678
32.0,1.4306999444961548,0.9351558437082198
33.0,1.4223999977111816,0.9630634653046316
34.0,1.424299955368042,0.9907038443503023
35.0,1.4342999458312988,1.018023330697425
36.0,1.419800043106079,1.0449631173707885
37.0,1.4246000051498413,1.0714590020059382
38.0,1.39110004901886,1.0974412481484326
39.0,1.416100025177002,1.122834594017606
40.0,1.417199969291687,1.1475584672617694
41.0,1.3889000415802002,1.1715274747068598
42.0,1.4156999588012695,1.1946522442619276
43.0,1.416700005531311,1.21684069921474
44.0,1.3869999647140503,1.2379998393804759
45.0,1.3860000371932983,1.2580380844254897
46.0,1.3349000215530396,1.276868197476314
47.0,1.3492000102996826,1.2944107481813516
48.0,1.3907999992370603,1.3105979929804437
49.0,1.3652000427246094,1.3253779510124721
50.0,1.3738000392913818,1.3387183489583014
51.0,1.363700032234192,1.35061001782559
52.0,1.3769999742507937,1.361069276684959
53.0,1.3794000148773191,1.3701388612188488
54.0,1.3669999837875366,1.3778870687208171
55.0,1.3797999620437622,1.384404996365148
56.0,1.372099995613098,1.3898020191248754
57.0,1.375300049781799,1.3941999338921478
58.0,1.3730000257492063,1.3977264192001015
59.0,1.3802000284194946,1.400508565118073
60.0,1.3712999820709229,1.402667185224776
61.0,1.3948999643325806,1.4043124446540762
62.0,1.3873000144958496,1.4055410762280875
63.0,1.3803000450134275,1.4064351810714995
64.0,1.3693000078201294,1.407062385416449
65.0,1.378999948501587,1.4074769908067903
66.0,1.423200011253357,1.407721717764774
67.0,1.4115999937057495,1.40782968415567
68.0,1.3946000337600708,1.4078263466523222
69.0,1.4191999435424805,1.4077312343606037
70.0,1.4301999807357788,1.407559393798101
71.0,1.4184999465942385,1.407322531433792
72.0,1.3939000368118286,1.4070298812896154
73.0,1.4133000373840332,1.4066888444834815
74.0,1.4325000047683716,1.4063054515790343
