t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,-4.495101519219196,-1.3941616191631458,26.670253022681894,-40.45586978865281,-39.2109520666175,-44.431212771534234,19.341926985348167,15.13574887529637,22.361347325833616,30.800116915334094,16.769511934846932
0.01,0.001001001001001001,-4.495193145398052,-1.3941917492291884,26.670784534105355,-40.45668061784959,-39.21173761660964,-44.43210342492586,19.342312449167107,15.136048788686368,22.361791525344284,30.80073171305534,16.769844837808066
0.02,0.002002002002002002,-4.495279793199535,-1.3942303963611105,26.671320571896718,-40.45750107590764,-39.212523105862665,-44.432996400812506,19.342686192030065,15.136372983999385,22.362239658886562,30.80134649159452,16.770172167890394
0.03,0.003003003003003003,-4.495361455887087,-1.3942775803479643,26.671861165942296,-40.458331167592505,-39.2133085618698,-44.43389168014219,19.343048205623866,15.136721477132655,22.362691717574652,30.8019612498267,16.770493923893564
0.04,0.004004004004004004,-4.495438126536875,-1.39433332138891,26.672406346621063,-40.459170897313065,-39.21409401247367,-44.43478924473723,19.343398481235823,15.137094284884167,22.36314769275073,30.80257598649554,16.77081010461662
0.05,0.005005005005005005,-4.495509798038619,-1.3943976400934532,26.672956144809216,-40.46002026911736,-39.214879485867584,-44.43568907729537,19.34373700975284,15.137491424948452,22.36360757598347,30.803190700214984,16.771120708857605
0.06,0.006006006006006006,-4.4955764630963815,-1.3944705574816054,26.673510591884828,-40.460879286688176,-39.21566501059686,-44.43659116139094,19.344063781660427,15.137912915912084,22.364071359066564,30.803805389470888,16.77142573541335
0.07,0.007007007007007007,-4.495638114229324,-1.3945520949839594,26.674069719732568,-40.46174795333851,-39.21645061556029,-44.43749548147611,19.344378787041663,15.138358777248923,22.364539034017273,30.80442005262258,16.771725183079365
0.08,0.008008008008008008,-4.495694743772434,-1.3946422744416833,26.6746335607485,-40.462626272006766,-39.21723633001162,-44.43840202288216,19.344682015576062,15.138829029315067,22.365010593074942,30.805034687904314,16.77201905064995
0.09,0.009009009009009009,-4.49574634387721,-1.3947411181064293,26.675202147844985,-40.463514245251794,-39.218022183561146,-44.439310771820786,19.34497345653841,15.139323693343531,22.365486028699554,30.80564929342668,16.772307336918384
