t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,-3.3455648060573493,0.19319667454260075,44.589054702753515,-16.25146600424664,-11.527725392059013,-14.272589089067765,-17.98734161848322,5.802409853962789,-3.2460056642267014,-16.165920843932902,33.19790643232884
0.01,0.001001001001001001,-3.3456343466909826,0.1931974903902669,44.58994507907252,-16.251791927604334,-11.527958369415222,-14.272875480008665,-17.98770443256269,5.8025229831428495,-3.246071227342527,-16.166245246650117,33.198569723183056
0.02,0.002002002002002002,-3.345710101153628,0.19323319358078087,44.59084232787318,-16.25213341278176,-11.528183612789643,-14.273139194273943,-17.9880727287458,5.802647878515007,-3.246159922564186,-16.166604159943194,33.199233977797334
0.03,0.003003003003003003,-3.345792076776196,0.19330381389895218,44.59174646237525,-16.252490452041307,-11.528401118941401,-14.273380261389397,-17.98844650660129,5.80278454496395,-3.2462717547428217,-16.16699760239491,33.199899197163326
0.04,0.004004004004004004,-3.345880282797479,0.1934093848509696,44.59265749708764,-16.25286303857507,-11.528610884021608,-14.273598708960947,-17.988825766066075,5.802932988798965,-3.2464067308014046,-16.167425595109243,33.200565381108404
0.05,0.005005005005005005,-3.3459747303646417,0.19354994366570127,44.59357544779865,-16.253251166500743,-11.528812903571009,-14.273794562677361,-17.98921050744283,5.803093217754303,-3.246564859734783,-16.167888161705072,33.20123252829194
0.06,0.006006006006006006,-3.3460754325338344,0.19372553129544842,44.59450033156594,-16.253654830857464,-11.529007172517815,-14.27396784631277,-17.989600731397655,5.803265240989791,-3.2467461526098536,-16.168385328309167,33.201900636201536
0.07,0.007007007007007007,-3.3461824042709254,0.1939361924161425,44.59543216670662,-16.254074027601657,-11.52919368517574,-14.274118581728985,-17.989996438957792,5.8034490690916485,-3.246950622565846,-16.16891712354846,33.20256970114915
0.08,0.008008008008008008,-3.3462956624523548,0.19418197542697524,44.59637097278716,-16.254508753602806,-11.529372435242216,-14.274246788877605,-17.990397631509428,5.803644714073536,-3.2471782848147233,-16.1694835785416,33.20323971826721
0.09,0.009009009009009009,-3.346415225866106,0.19446293244944857,44.597316770613276,-16.25495900663921,-11.52954341579681,-14.274352485801932,-17.99080431079553,5.8038521893778245,-3.2474291566416955,-16.170084726889737,33.203910681504624
0.1,0.01001001001001001,-3.3465411152127946,0.1947791193258302,44.59826958221969,-16.255424785393686,-11.529706619299837,-14.274435688638672,-17.991216478913774,5.804071509877085,-3.247703257405839,-16.17072060466661,33.20458258362275
0.11,0.011011011011011011,-3.3466733531068704,0.19513059561699903,44.59922943085987,-16.255906089449223,-11.529862037591162,-14.274496411619424,-17.991634138314524,5.804302691875791,-3.248000608540823,-16.17139125040782,33.20525541619133
0.12,0.012012012012012012,-3.3468119640779337,0.19551742459966284,44.60019634099559,-16.256402919284596,-11.53000966188921,-14.274534667071979,-17.992057291798872,5.804545753112246,-3.2483212335557394,-16.172096705099335,33.205929169584316
0.13,0.013013013013013013,-3.3469569745721612,0.19593967326292921,44.60117033828646,-16.25691527626992,-11.530149482790165,-14.274550465421397,-17.99248594251676,5.804800712760721,-3.2486651580360277,-16.17283701216523,33.206603832975695
0.14,0.014014014014014014,-3.3471084129538387,0.1963974123042089,44.602151449579324,-16.25744316266213,-11.530281490267384,-14.27454381519088,-17.99292009396513,5.805067591433805,-3.2490324096444927,-16.173612217454558,33.207279394335224
0.15,0.015015015015015015,-3.3472663095070008,0.19689071612442915,44.60313970289754,-16.257986581600438,-11.530405673671002,-14.274514723002431,-17.993359749986194,5.805346411184975,-3.2494230181224104,-16.17442236922745,33.20795584042412
0.16,0.016016016016016016,-3.3474306964371703,0.19741966282253304,44.60413512743016,-16.258545537101657,-11.530522021727746,-14.274463193577311,-17.993804914765718,5.805637195511363,-3.2498370152907166,-16.17526751814032,33.20863315679073
