,1e-05,5e-05,0.0001,0.0005,0.001,0.005,0.01,0.05,0.1,0.5,1,5
-20,888.3688248888765,885.890324446444,851.0698458350697,777.2552754848426,773.1189230049058,736.1109335573705,100000.0,100000.0,100000.0,742.8998077659727,100000.0,202.03474948784822
-15,873.7069834334511,891.4441057810575,846.1785189822104,823.7966189986181,781.7762245521972,100000.0,100000.0,100000.0,100000.0,711.5903722937874,331.16599081791344,100000.0
-10,855.1890545183808,874.2691736979656,833.2204662996387,777.2034646431562,806.6188177245984,100000.0,100000.0,100000.0,100000.0,461.79837676817067,394.3541557050821,693.695208538742
-5,823.8862332873989,815.6127491056865,786.0628197153113,842.7782516538839,735.0358686196067,100000.0,100000.0,100000.0,100000.0,276.8647450953638,335.1976241112204,686.6820253275525
-1,377.08772879778047,417.2426044471632,343.52803833829773,328.70040421744636,100000.0,100000.0,100000.0,100000.0,100000.0,418.76256089609734,242.39221745940785,673.1378269572472
0,112.68937649786378,148.25363377427306,111.85450868554858,180.71738702466624,683.4435170984121,100000.0,100000.0,100000.0,100000.0,369.5293838943244,205.54233698879588,666.5850690783309
1,386.5902423066076,385.1595970794124,376.03968106821276,330.4338204289438,711.5019926026844,297.0519755714588,287.8000537992244,285.08232252431145,324.5752301792585,228.5122574707624,243.3957294416376,660.4431045427214
5,819.538053844698,805.5156938365825,772.5856191189281,835.3491014121676,693.3614539519705,100000.0,100000.0,100000.0,100000.0,280.1729913184897,687.9658689701342,666.3265547801864
10,827.0549922222126,879.9471286522523,879.1945295481471,812.0552109671889,831.1716517106449,100000.0,100000.0,100000.0,100000.0,716.1555808165219,682.5153043840171,676.5086424596134
15,859.9967536892708,822.4672828285022,827.18852364211,786.6347175850656,792.9933473583844,100000.0,100000.0,100000.0,100000.0,100000.0,712.5309816849036,652.728817553002
20,901.0406906142842,871.4911892965611,886.2105503019087,773.8175501907957,795.6583257425071,743.4655397229353,100000.0,100000.0,100000.0,100000.0,100000.0,654.4322241937188
