t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
0.0,0.0,-27.148883144399,16.859878761065413,9.388663152802494,-5.9661779999107845,-16.686714139998642,-2.5560866310641197,2.3590254469219025,-13.34958448731865,-11.516859524944847,1.4473248478685659,33.152695248872845,11.64178501012644,-12.19459724950342,-12.564881079855386,1.2947826162804124,-18.36652348695726,-18.59913705111329,5.908791604456585,-27.586627468278976,3.5211997062370797,-5.949542733114388,21.146004372425516,24.169069992963248,19.859157315342145,19.74597357755624,-5.113101069267662,18.005414933429666,-7.751009609121864,10.629876678629909,-8.76141617048372,0.56329375396198,-29.528441497885964,-15.310765038749278,41.863277053475144
0.03,0.001001001001001001,-27.15051881695056,16.86088765243416,9.389221680496014,-5.966544401073601,-16.687723830598017,-2.5562411860578496,2.359165040814363,-13.35038597951454,-11.517554718859,1.4474114092452393,33.154680184433495,11.642477426885206,-12.19533157939239,-12.565641376684347,1.2948547373713735,-18.367625748480854,-18.600258311262454,5.909143702640032,-27.588286644530736,3.5214083144028385,-5.949906252890142,21.147269032095757,24.17051871666817,19.860343779043554,19.747151028775544,-5.1134107551275205,18.006493209552943,-7.751478344990804,10.630505671182343,-8.761951075390293,0.5633212156188341,-29.530221784598314,-15.311691692731934,41.86578538792182
0.06,0.002002002002002002,-27.152077628721752,16.86190411127315,9.389673627010515,-5.966885768194428,-16.68874256657599,-2.5564715529538655,2.359336320183082,-13.351156316846916,-11.518244603252406,1.4474946115414853,33.156752836268204,11.643287886635417,-12.196046275230774,-12.566345295440255,1.294878321547577,-18.36870814356719,-18.601354058387926,5.909562711801845,-27.58998326369548,3.521574791387168,-5.9501826818429615,21.14856664360725,24.171960384493396,19.861471819817087,19.748227602817565,-5.113760125873862,18.007566358419506,-7.751937155529544,10.631147609975859,-8.762506435875205,0.5632930658954094,-29.532085955040028,-15.312621771208262,41.86827658601066
0.09,0.003003003003003003,-27.153559466677436,16.862928113697002,9.39001912471329,-5.967202112682251,-16.689770320272768,-2.5567776405278315,2.3595393285590465,-13.351895529880526,-11.518929246879852,1.4475742947006014,33.15891344256393,11.644216242429028,-12.196741276241253,-12.566992738128356,1.294853235702589,-18.36977069834684,-18.60242410542843,5.910048530874629,-27.591717425503965,3.5216990831865975,-5.950371961672131,21.149897193459054,24.173395000428346,19.86254112694422,19.749203089083213,-5.114149275430591,18.008634245859596,-7.752385875966664,10.631802619849255,-8.76308233237864,0.5632091466025081,-29.534033732004907,-15.31355534488534,41.87075095470321
0.12,0.004004004004004004,-27.154964222457448,16.86395964506885,9.390258270299153,-5.967493444642727,-16.69080706402169,-2.5571593742200047,2.3597740951622757,-13.352603644922198,-11.519608707329587,1.447650290227656,33.161162260101854,11.645262345299638,-12.19741653070469,-12.567583600218022,1.2947793427514607,-18.37081343385222,-18.603468267046747,5.910601043631811,-27.59348923613062,3.521781140069276,-5.950474059570906,21.15126067101536,24.1748225765843,19.86355139682826,19.750077298247323,-5.1145782843486485,18.009696744957218,-7.752824329244318,10.632470825502569,-8.76367885580377,0.5630693126980693,-29.53606482438024,-15.314492487878306,41.8732087987754
0.15,0.005005005005005005,-27.15629179226481,16.864998700025268,9.390391124797517,-5.967759772873411,-16.691852770140592,-2.5576166961242572,2.3600406349061682,-13.353280684111812,-11.520283031055435,1.4477224212266127,33.163499564044756,11.646426044175245,-12.19807199597342,-12.568117770600221,1.2946565016658471,-18.37183636600432,-18.604486359629497,5.911220118722915,-27.59529880805544,3.5218209166399284,-5.95048896826845,21.152657068483194,24.176243133112386,19.86450233280524,19.750850062161472,-5.115047219786858,18.010753735909326,-7.753252326029948,10.633152351549088,-8.764296107442556,0.5628734323647292,-29.538178927113506,-15.315433277621592,41.87565042095476
0.18,0.006006006006006006,-27.157542076757384,16.866045282499083,9.390417713566643,-5.9680011048581365,-16.692907410923368,-2.558149564982585,2.3603389483927812,-13.353926665519502,-11.520952253410767,1.4477905024406919,33.16592564771724,11.647707185755499,-12.19870763848591,-12.56859513155309,1.2944845675193566,-18.372839505595586,-18.605478201283212,5.911905609700482,-27.59714625992259,3.521818371900094,-5.95041670607853,21.15408638088599,24.177656698118273,19.8653936449774,19.751521233781123,-5.115556135483754,18.011805105889803,-7.7536696647313885,10.63384732256824,-8.764934198899534,0.5626213871145267,-29.540375721170268,-15.31637779477811,41.878076122054814
0.21,0.007007007007007007,-27.158714980943152,16.867099405740074,9.39033802627485,-5.968217446760595,-16.69397095863172,-2.5587579561851617,2.360669021899105,-13.354541603249151,-11.52161639868437,1.4478543402961008,33.16844082237855,11.649105614353521,-12.199323433782906,-12.569015558715806,1.2942633915432922,-18.373822858268813,-18.606443611826936,5.912657355038627,-27.599031716395395,3.5217734693036613,-5.950257316955052,21.155548606033125,24.179063307573646,19.866225050069513,19.752090687117438,-5.116105071720297,18.012850748918275,-7.754076131515332,10.634555863159324,-8.765593252013428,0.5623130719206894,-29.542654873483762,-15.317326123146186,41.88048620110659
0.24,0.008008008008008008,-27.15981041407927,16.86816109233354,9.390152016868504,-5.96840880341716,-16.695043385487093,-2.5594418617759804,2.3610308273543845,-13.35512550754823,-11.522275480138255,1.447913732949264,33.17104541698757,11.650621171702374,-12.199919366525148,-12.569378921070939,1.2939928211929677,-18.374786424492033,-18.607382412781607,5.9134751781432975,-27.60095530800746,3.5216861768077043,-5.950010870554478,21.157043744485424,24.180463005224457,19.866996271308338,19.752558317214113,-5.116694055273398,18.013890565733824,-7.754471500329088,10.635278097996043,-8.7662733987765,0.5619483953764169,-29.545016036896627,-15.318278349564139,41.88288095548751
0.27,0.009009009009009009,-27.160828289575097,16.86923037421677,9.3898596035266,-5.9685751783290035,-16.69612466366281,-2.5602012904641263,2.3614243223085385,-13.355678384924031,-11.52292950004745,1.4479684703376807,33.17373977795959,11.652253696726264,-12.20049543051275,-12.569685080935507,1.2936727002247967,-18.37573019952932,-18.608294427356373,5.914358887354313,-27.602917171009537,3.521556466918608,-5.949677462305034,21.15857179951667,24.18185584249605,19.867707038325378,19.75292404014948,-5.117323099360196,18.01492446367368,-7.754855532925626,10.636014151881827,-8.766974781251488,0.5615272798805516,-29.54745885009534,-15.319234563812293,41.88526068104751
0.3,0.01001001001001001,-27.161768524899305,16.870307292693337,9.389460668601865,-5.968716573653548,-16.697214765276424,-2.5610362676407172,2.361849449891714,-13.356200238266354,-11.523578449741839,1.4480183342345394,33.17652426891448,11.65400302527659,-12.201051628706324,-12.569933893960917,1.293302868784375,-18.37665417340742,-18.60917948043205,5.915308275939328,-27.604917447211868,3.52138431673347,-5.949257213482612,21.160132777071215,24.18324187839514,19.868357087083258,19.753187793063976,-5.117992203573102,18.015952356556923,-7.75522797889186,10.636764149805916,-8.76769755148601,0.5610496618500017,-29.549982937537866,-15.320194858512293,41.88762567223271
0.32999999999999996,0.011011011011011011,-27.16263104149124,16.871391898445236,9.388955058548248,-5.96883299019528,-16.698313662382315,-2.5619468354015433,2.362306138765017,-13.35669106697669,-11.52422230965012,1.4480630983072076,33.17939927041579,11.655868989832932,-12.201587973249897,-12.57012520914203,1.2928831635057887,-18.377558330878234,-18.610037398541884,5.91632312207989,-27.606956283821635,3.521169707976747,-5.9487502712931635,21.16172668571766,24.18462117940874,19.868946159825907,19.753349534213154,-5.118701353805591,18.01697416457334,-7.755588575680145,10.637528217000165,-8.76844187142429,0.5605154919587608,-29.552587909375106,-15.32115932902353,41.889976222206435
0.36,0.012012012012012012,-27.16341576467665,16.872484251542783,9.388342583834802,-5.968924427395954,-16.699421326964618,-2.562933052575431,2.3627943030624508,-13.357150867103998,-11.524861049345954,1.4481025281797204,33.182365179700355,11.657851419169116,-12.202104485495695,-12.570258868835582,1.2924134176224014,-18.378442651377004,-18.610868009849764,5.917403188849821,-27.609033833275156,3.520912627032112,-5.948156808961295,21.163353536598702,24.185993819399975,19.869474005052844,19.753409243046164,-5.1194505221688305,18.017989814177447,-7.75593704864298,10.63830647899655,-8.769207912816036,0.5599247354033349,-29.555273361366687,-15.322128073336504,41.89231262296788
0.39,0.013013013013013013,-27.164122623587872,16.873584421452257,9.387623018845929,-5.968990883324216,-16.700537730930506,-2.563994994758353,2.363313842324083,-13.357579631487086,-11.5254946275964,1.4481363814993822,33.185422410397805,11.659950137984472,-12.202601196030836,-12.570334708788158,1.2918934610893893,-18.379307108976217,-18.611671144126007,5.918548224186178,-27.611150253064476,3.5206130649694685,-5.947477025824752,21.165013343377158,24.18735987950088,19.869940377517743,19.75336692030969,-5.120239666899196,18.018999237987828,-7.756273111070886,10.639099061685357,-8.769995857122344,0.5592773721943639,-29.558038874791748,-15.323101191962943,41.89463516546833
0.42,0.014014014014014014,-27.164751551088646,16.874692487041198,9.386796101768013,-5.96903235466467,-16.70166284610395,-2.5651327543533,2.363864641420469,-13.357977349903692,-11.526122992412722,1.448164408007594,33.188571392239645,11.662164966500441,-12.203078144705938,-12.57035255817403,1.291323120718304,-18.38015167233518,-18.612446632720854,5.919757960853108,-27.613305705557966,3.5202710175670657,-5.946711147434358,21.166706122178205,24.18871944800215,19.87034503825158,19.75322258817716,-5.121068732256803,18.02000237469188,-7.756596464233453,10.639906091374026,-8.770805895418436,0.5585733974741941,-29.560884016355292,-15.324078787822488,41.89694413972507
0.44999999999999996,0.015015015015015015,-27.165302483703577,16.875808536581307,9.385861534462546,-5.96904883670638,-16.702796644220005,-2.5663464406159195,2.36444657046834,-13.358344009226313,-11.526746081103687,1.4481863496150136,33.19181257075719,11.664495720022707,-12.203535380665713,-12.570312239643046,1.290702220323966,-18.38097630464521,-18.61319430853575,5.921032116398941,-27.615500357814543,3.5198864853286436,-5.94585942565893,21.168431891527888,24.19007262023983,19.870687754610536,19.752976290403016,-5.1219376484152015,18.020999168956056,-7.756906797423551,10.640727694846607,-8.771638228293059,0.5578128218601245,-29.563808338090777,-15.325060966125749,41.89923983493301
0.48,0.016016016016016016,-27.1657753615524,16.87693266774885,9.384818982325827,-5.969040323330837,-16.703939096919765,-2.5676361797059326,2.3650594847375683,-13.358679593584828,-11.527363820331455,1.448201940481152,33.19514640696792,11.666942208469035,-12.203972962381517,-12.57021356937888,1.290030580883995,-18.38178096357038,-18.613914005992495,5.922370393106921,-27.617734381391102,3.5194594734955293,-5.944922138794625,21.17019067228793,24.191419498479046,19.870968300348945,19.752628092501762,-5.122846331342407,18.021989571341745,-7.757203788004704,10.641563999423834,-8.77249306574438,0.5569956718130195,-29.56681137725961,-15.326047834253535,41.901522539574096
0.51,0.017017017017017015,-27.166170128289075,16.878064987622516,9.38366807413542,-5.969006806999395,-16.705090175746097,-2.5690021147443183,2.3657032245494114,-13.35898408453599,-11.527976126170199,1.4482109070985005,33.198573377049556,11.669504235863027,-12.204390957685872,-12.57005635716789,1.2893080207113055,-18.382565601183884,-18.614605561000335,5.923772477940002,-27.62000795214277,3.5189899920535908,-5.94389959167808,21.171982487586867,24.19276019179463,19.871186455717456,19.752178081951367,-5.123794682673486,18.02297353822693,-7.757487101461614,10.64241513302379,-8.773370627072167,0.5561219900309431,-29.569892656248236,-15.327039501632061,41.90379254152448
0.54,0.018018018018018018,-27.16648673104581,16.87920561267856,9.382408401883556,-5.9689482787401555,-16.706249852140296,-2.570444405876264,2.3663776151660323,-13.359257461239823,-11.528582904167555,1.448212968381283,33.20209397200134,11.672181599794046,-12.204789443808943,-12.56984040647886,1.2885343556399018,-18.383330163899867,-18.615268810921044,5.925238042480189,-27.62232125001553,3.5184780557349504,-5.942792115802665,21.17380736274756,24.19409481594877,19.871342007586648,19.751626368420588,-5.124782589574941,18.023951031733727,-7.757756391453854,10.64328122422314,-8.774271140766066,0.5551918358674341,-29.573051682463486,-15.328036079603926,41.906050128159684
0.57,0.01901901901901902,-27.166725120382058,16.88035466878321,9.381039520597742,-5.968864728134329,-16.70741809743979,-2.5719632303398585,2.367082466671288,-13.359499700642978,-11.529184049409093,1.4482078357589134,33.205708697291826,11.674974090843563,-12.205168507416955,-12.569565514553952,1.2877093992243174,-18.384074592400815,-18.61590359453202,5.926766742862953,-27.624674458830803,3.5179236840143453,-5.941600069437085,21.175665325211114,24.1954234932656,19.871434749596315,19.750973084019673,-5.125809924601174,18.02492201966202,-7.758011299872729,10.644162402318917,-8.77519484438977,0.5542052857740005,-29.576287948226994,-15.329037681294643,41.90829558645757
