t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.32999999999999996,0.011011011011011011,-23.524795151229906,33.62211350520114,14.501863925274145,7.557713428035376,-34.29498973071835,-15.759085612305272,-10.287796963998169,24.58050797862024,23.76808485911666,3.2702831892883895,-36.01342172706847,9.95890299737646,11.012692031585187,-0.1645993486377164,34.41828657130029,-17.92080045979843,2.2992156073935046,6.1162975844893,20.34909394844753,-23.57325250574161,30.34503379588865,13.173996163435993,-38.21715447144338,-10.144545061903617,19.524004687304647,-10.115887365210545,-10.783549763008098,-1.80256506710304,-9.676030663711236,-14.812073755165036,-33.05556324431839,8.778973026152462,29.553790980268726
0.36,0.012012012012012012,-23.52549954149228,33.62302037356029,14.502882173774475,7.55854553327909,-34.297421890121136,-15.75994410562359,-10.288909927908074,24.58147169483532,23.77007431778793,3.2693515296109488,-36.01499710242949,9.959324033109313,11.012894506862951,-0.16461510050564113,34.42018994689992,-17.92082878677908,2.3000584622423035,6.116914774811008,20.350433873771923,-23.573968400433227,30.346450842317775,13.175087043143463,-38.219377098862864,-10.145052850184602,19.5251476040268,-10.116701983267271,-10.782881395840203,-1.803484792587184,-9.676647875273861,-14.814057968404706,-33.05757580408547,8.779341018012225,29.55552028357038
0.39,0.013013013013013013,-23.526137544161838,33.62382522624861,14.503915354531934,7.559412960017789,-34.29988857689216,-15.76079503876657,-10.29006683425036,24.582390630720425,23.772116272341705,3.2683166648230535,-36.01651739636865,9.959729630111068,11.01305505562843,-0.16463135353463454,34.422080333356234,-17.920761282276814,2.3009675596177317,6.1175564490668,20.35178448458188,-23.574620436780673,30.347832111787543,13.176205486151893,-38.22159642354315,-10.145552215070785,19.526288979717126,-10.117534889877016,-10.782093729365101,-1.8044798529616022,-9.67726761899241,-14.81614166271514,-33.05958951861465,8.779694987411954,29.55724557587481
0.42,0.014014014014014014,-23.52670892685007,33.62452809906354,14.504963600661304,7.560315804992318,-34.3023900295605,-15.761638500849871,-10.291267442510794,24.583265113620225,23.774210897787093,3.267178371846125,-36.01798250599768,9.960119851090832,11.013173420966954,-0.1646482090910153,34.423957791892796,-17.920597745847054,2.3019431743912975,6.118222946573129,20.35314570012889,-23.57520862806035,30.349177571159984,13.177351438921038,-38.22381299654964,-10.14604323455274,19.52742889575567,-10.11838608499725,-10.781186899841233,-1.8055508156672313,-9.677889840055132,-14.81832480868261,-33.06160420920432,8.78003492762422,29.558966659659507
0.44999999999999996,0.015015015015015015,-23.527213473948745,33.62512909499719,14.506027048215207,7.561254168356854,-34.30492649825307,-15.762474583923225,-10.292511481681702,24.584095486293077,23.776358364735945,3.265936404062815,-36.01939234743383,9.960494759793972,11.013249327543578,-0.16466577851595524,34.42582236859082,-17.920337956283444,2.302985592426757,6.1189146283328455,20.35451745101156,-23.575732978717852,30.35048717925168,13.178524846791369,-38.22602737307405,-10.146525975347043,19.52856744236215,-10.119255570657154,-10.780161061779419,-1.8066983011287947,-9.678514481489147,-14.820607370657857,-33.063619711267776,8.780360845422747,29.560683323787924
0.48,0.016016016016016016,-23.527650986649256,33.625628384108175,14.50710583611964,7.562228153681464,-34.30749824442576,-15.763303383010738,-10.293798650323394,24.58488210687517,23.778558839377542,3.2645904915265955,-36.02074685579609,9.960854421023932,11.013282481580024,-0.1646841832231265,34.42767409422873,-17.919981671640887,2.304095110687749,6.119631877326863,20.35589967927901,-23.57619348422054,30.35176088679353,13.179725654009463,-38.22824011274723,-10.147000492790937,19.52970471882561,-10.120143350874171,-10.779016388325156,-1.807922983063438,-9.6791414841722,-14.822989306514021,-33.06563587439583,8.780672761059632,29.562395343487093
0.51,0.017017017017017015,-23.528021282945915,33.62602620339379,14.508200106113462,7.563237867955425,-34.31010554058254,-15.764124996159039,-10.295128616638655,24.585625348832696,23.78081248345256,3.263140341218301,-36.022045985200265,9.961198900667645,11.013272570830267,-0.16470355479921436,34.429512984115846,-17.91952862928771,2.3052720373471063,6.120375098829937,20.357292338540457,-23.576590130917147,30.352998636384086,13.180953803753907,-38.230451779957264,-10.147466830731508,19.530840833747067,-10.121049431568261,-10.777753071676518,-1.8092255888053363,-9.679770786840047,-14.825470567396225,-33.06765256242179,8.780970708241309,29.564102480321033
0.54,0.018018018018018018,-23.528324197623284,33.62632285666252,14.509310002691695,7.564283421591346,-34.31274866998212,-15.76493952449339,-10.296501018560697,24.586325600902025,23.78311945422634,3.2615856373503,-36.02328970875293,9.961528265724628,11.013219264554962,-0.1647240351074913,34.43133903792039,-17.91897854598768,2.3065166918978086,6.121144720750816,20.358695394080993,-23.576922895904634,30.35420036243631,13.182209238161589,-38.23266294417292,-10.14792502140919,19.531975905295493,-10.121973820473789,-10.776371323537372,-1.8106068996457183,-9.680402326089647,-14.828051097462982,-33.06966965348891,8.78125473410316,29.56580448215984
0.57,0.01901901901901902,-23.528559582227672,33.626518714406366,14.510435673052523,7.565364928430247,-34.315427926331886,-15.765747072281917,-10.297915463854999,24.586983267017768,23.785479904461504,3.2599260417190346,-36.02447801854441,9.961842584339832,11.01312221349494,-0.16474577639465873,34.433152239491726,-17.918331118012578,2.3078294052655193,6.121941193996999,20.360108822983527,-23.577191746902443,30.355365991117765,13.183491898354285,-38.23487418027288,-10.148375085335482,19.533110061477434,-10.12291652704896,-10.774871375605507,-1.8120677511876686,-9.681036036378414,-14.830730833619537,-33.07168704012015,8.781524899182642,29.567501083144517
0.6,0.02002002002002002,-23.528727305022883,33.626614213672454,14.511577267047876,7.566482505747715,-34.318143613468735,-15.76654774700814,-10.299371530235476,24.58759876622861,23.78789398238994,3.2581611941067505,-36.02561092564078,9.962141925840342,11.012981049844026,-0.16476894140117312,34.43495255667702,-17.917586021286155,2.309210519922651,6.122764992864392,20.36153261425689,-23.577396642134403,30.356495440284082,13.184801724465434,-38.237086068880835,-10.148817031164713,19.53424344042059,-10.123877562382729,-10.773253480095185,-1.8136090337149768,-9.681671850019745,-14.833509705243317,-33.073704629290305,8.781781277390806,29.56919200364744
