t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,-0.9230505695223454,5.534951358163289,-23.31624143749837,-39.3277917803946,25.176888718943566,-34.833994630124124,16.981275258407237,23.957888115872148,4.539635261048847,14.005199015414618,7.9646305429365825,31.404373137367596,1.0413596355541324,-38.920130998875976,1.578932944215729,-18.237457669966023,-16.51884936989964,32.651355779878806,21.68167945417455,-41.06111109498361,17.16157955254594,-10.496449761293933,25.991334700163346,-33.17522747195067,34.06236734179758,-33.23224011633949,17.17804953798798,-16.171860199412905,27.61793488303231
0.03,0.001001001001001001,-0.9231096101372778,5.535277076924184,-23.31764316969357,-39.33015752538756,25.178397055997515,-34.83608786774855,16.982285462693316,23.959323071949644,4.539899113156138,14.006036663179547,7.965104967756936,31.406249572940386,1.0414181575028754,-38.92246749657627,1.579018435221998,-18.2385540574241,-16.51984788055128,32.6533108735913,21.6829757595781,-41.063578371893286,17.16260009305217,-10.497083361402737,25.99288577146778,-33.17722478866464,34.06440922126121,-33.23423636805756,17.17907933486029,-16.17283417942638,27.61958418307239
0.06,0.002002002002002002,-0.9231110790225968,5.535574356028877,-23.31902729932949,-39.33250042242565,25.179891578980293,-34.83810689237061,16.983356681769937,23.960790951612868,4.540142958826734,14.006848046662864,7.965536006524456,31.408095695399197,1.041468980305341,-38.924820166202295,1.5790674541927578,-18.239577737426995,-16.520875606971064,32.65531007965787,21.684314086965408,-41.06606625644221,17.163584362583507,-10.497753871381853,25.994371446369318,-33.179211724499865,34.066441031813625,-33.23623378137603,17.180074829016466,-16.173810312000906,27.621256739982623
0.09,0.003003003003003003,-0.9230548359720906,5.535843077322995,-23.3203936064921,-39.334820593888914,25.181372307299785,-34.8400516854001,16.984488744822063,23.962291822862053,4.54036662928617,14.007632934675534,7.965923727726873,31.409911440094994,1.0415124317141191,-38.927189237344045,1.5790802268421602,-18.240528623035377,-16.52193261911041,32.657353311392136,21.685694529664172,-41.06857484239617,17.164532267591234,-10.498461255693757,25.995792078408446,-33.181188594782405,34.0684627372291,-33.23823236271707,17.181036010773774,-16.17478836582901,27.622952482198414
0.12,0.004004004004004004,-0.9229407571715056,5.536083133705926,-23.32174187190719,-39.33711816150056,25.182839258895584,-34.84192223453006,16.98568148336508,23.96382576644709,4.540569958264609,14.008391101231968,7.9662681992357856,31.41169675401386,1.0415488271473679,-38.92957493883858,1.5790569696923382,-18.2414066259198,-16.52301897658198,32.659440471959286,21.68711718311939,-41.07110423014164,17.165443721163154,-10.499205479432591,25.9971480052797,-33.18315571068351,34.070474306602854,-33.24023211208982,17.181962871408345,-16.175768109017174,27.624671333524656
0.15,0.005005005005005005,-0.9227687351947416,5.536294429120102,-23.323071876967287,-39.33939324620198,25.184292450180948,-34.84371853364708,16.986934731223815,23.965392875886565,4.540752781930313,14.009122325569432,7.966569488334068,31.41345159561757,1.0415784698502344,-38.93197749889432,1.5789978901837431,-18.242211656319427,-16.524134728607574,32.66157145437954,21.68858214484821,-41.073654526652064,17.166318642968044,-10.499986508202714,25.99843954892251,-33.185113379300354,34.07247571435606,-33.24223302317896,17.182855403037575,-16.176749309106636,27.626413213107014
0.18,0.006006006006006006,-0.9225386789975869,5.536476878536578,-23.32438340375736,-39.34164596802715,25.18573189598776,-34.845440582747095,16.988248324510565,23.966993257487626,4.540914938826205,14.009826392168804,7.9668276617408,31.415175934681905,1.0416016510486623,-38.93439714521211,1.578903186784782,-18.242943623011147,-16.525279913966727,32.66374614153411,21.6900895143903,-41.07622584545156,17.167156959202014,-10.500804307999816,25.999667015613948,-33.18706190373333,34.074466940238274,-33.24423508342684,17.183713598511307,-16.17773173309534,27.628178035405018
0.21,0.007007007007007007,-0.9222505139090458,5.536630407936973,-23.32567623507926,-39.34387644597652,25.18715760951448,-34.84708838785676,16.9896221016022,23.968627030366694,4.541056269809556,14.010503090776732,7.967042785633689,31.416869752132822,1.0416186500957,-38.93683410510303,1.578773049100842,-18.24360243328928,-16.526454560946025,32.665964406173906,21.69163939325379,-41.07881830657626,17.167958602536785,-10.501658845094546,26.00083069606327,-33.18900158315972,34.07644796932728,-33.24623827410927,17.184537451311687,-16.178715147461027,27.629965710166935
0.24,0.008008008008008008,-0.9219041816202999,5.536754954291824,-23.326950154474964,-39.34608479789016,25.188569602277077,-34.84866196096039,16.991055903116283,23.970294326470864,4.541176617994859,14.011152216429297,7.967214925668945,31.418533039880632,1.0416297346104213,-38.93928860560324,1.578607657982785,-18.24418799295601,-16.52765868728908,32.66822611093089,21.693231884856583,-41.08143203653311,17.16872351206999,-10.502550085918482,26.001930865507937,-33.190932712903745,34.07841879202633,-33.24824257040523,17.18532695546168,-16.179699318185477,27.6317761424064
0.27,0.009009009009009009,-0.9214996401713433,5.536850465535404,-23.3282049462486,-39.3482711403202,25.18996788406302,-34.8501613199326,16.99254957188624,23.97199529060001,4.541275828699942,14.011773569477256,7.967344146998572,31.420165800652324,1.0416351606095577,-38.941760873585785,1.5784071856349913,-18.244700206322758,-16.52889230014713,32.670531108332206,21.69486709446312,-41.0840671682562,17.169451633277482,-10.503477996952398,26.002967783810973,-33.192855584502816,34.08037940405872,-33.250247941460536,17.18608210544215,-16.180684010779807,27.63360923238083
0.3,0.01001001001001001,-0.9210368639353211,5.536916900537043,-23.329440395487243,-39.35043558840246,25.191352462888243,-34.851586488476514,16.9941029529356,23.97373008042949,4.541353749395369,14.012366955612949,7.967430514285042,31.421768047822116,1.0416351726319428,-38.94425113586958,1.5781717957230341,-18.245138976222595,-16.53015539603026,32.67287924081709,21.69654512911645,-41.08672384106056,17.17014291796774,-10.504442544616715,26.003941695559508,-33.19477048576997,34.08232980645964,-33.252254350445604,17.18680289611748,-16.181668990310857,27.63546487557157
0.32999999999999996,0.011011011011011011,-0.9205158436005957,5.536954229069009,-23.330656288080505,-39.35257825572718,25.192723344957226,-34.85293749606767,16.99571589345125,23.975498866533403,4.541410229657163,14.01293218589893,7.967474091713318,31.423339805240428,1.0416300038558521,-38.94675961932557,1.5779016434810562,-18.245504204033985,-16.531447960759177,32.675270340756626,21.698266097565586,-41.08940220059345,17.170797324238432,-10.505443695164047,26.004852830164236,-33.19667770085238,34.084270005565386,-33.25426175460758,17.187489322669684,-16.18265402142863,27.637342962665812
0.36,0.012012012012012012,-0.9199365861505584,5.536962431770978,-23.331852410738882,-39.35469925420879,25.194080534626092,-34.85421437790362,16.997388242755807,23.977301832408294,4.541445121122906,14.01346907679841,7.967474943000199,31.42488110706129,1.0416198762093245,-38.949286550980254,1.5775968758189245,-18.2457957897159,-16.53276996941756,32.6777042304764,21.700030110188063,-41.092102398783,17.171414816435124,-10.506481414573763,26.005701401959705,-33.198577510285816,34.08620001299969,-33.25627010531687,17.188141380540962,-16.18363886839475,27.639243379540233
0.39,0.013013013013013013,-0.9192991148411974,5.536941500111134,-23.333028551010862,-39.35679869395468,25.19542403436883,-34.85541717485919,16.999119852278987,23.97913917449725,4.541458277451259,14.013977450207587,7.9674331314009565,31.42639199756839,1.0416050004735387,-38.95183215811655,1.577257631429232,-18.246013631854566,-16.53412138630495,32.68018072228205,21.701837278907668,-41.0948245937843,17.171995365112274,-10.507555668448502,26.00648761030521,-33.20047019104508,34.08811984565725,-33.258279348108196,17.18875906538465,-16.18462329511193,27.64116600724639
0.42,0.014014014014014014,-0.9186034691764239,5.536891436343932,-23.334184497298782,-39.358876683132856,25.196753844746635,-34.856545933447414,17.000910575528092,23.981011102214282,4.541449554284921,14.014457133489916,7.967348719713235,31.427872530999807,1.041585576379313,-38.95439666837215,1.576884040894214,-18.24615762772199,-16.535502164890154,32.68269961848783,21.703687717107247,-41.0975689499228,17.172538946996475,-10.508666421912556,26.007211639686165,-33.20235601659027,34.090029525684415,-33.26028942271641,17.189342373024562,-16.18560706515443,27.643110721997846
0.44999999999999996,0.015015015015015015,-0.9178497048811541,5.5368122534645465,-23.33532003887338,-39.36093332783839,25.19806996438039,-34.85760070578609,17.002760268057557,23.98291783796894,4.541418809217091,14.014907959512398,7.967221770278196,31.429322771371506,1.0415617926967917,-38.956980309835394,1.5764762267926458,-18.24622767334639,-16.5369122477652,32.685260711448144,21.705581539536556,-41.10033563763494,17.173045544952068,-10.509813639512066,26.007873659815775,-33.20423525690885,34.09192908045684,-33.262300263107164,17.189891299422655,-16.18658994179944,27.645077395159017
0.48,0.016016016016016016,-0.9170378938721361,5.536703975160043,-23.336434965887083,-39.36296873195867,25.199372389926342,-34.858581549570054,17.004668787437566,23.984859617191006,4.541365901761446,14.015329766683942,7.967052344978882,31.430742792299757,1.0415338273183719,-38.959583311138815,1.576034303806781,-18.246223663594794,-16.538351566599797,32.687863783592185,21.707518862215068,-41.10312483340605,17.173515147949132,-10.510997285116964,26.008473825736882,-33.206108178553436,34.09381854255424,-33.264311797502515,17.190405840655032,-16.187571688059464,27.647065893235762
0.51,0.017017017017017015,-0.916168124226504,5.536566635757288,-23.337529069385916,-39.36498299703727,25.20066111605498,-34.859488528049006,17.00663599322177,23.98683668835521,4.54129069332568,14.015722398995885,7.966840505235782,31.432132676822487,1.0415018473349191,-38.96220590155029,1.575558378829394,-18.246145492267875,-16.539820042096306,32.690508607461624,21.709499802329688,-41.105936719705355,17.173947751033936,-10.51221732182463,26.009012277923812,-33.20797504467529,34.095697949731985,-33.26632394840171,17.190885992896227,-16.188552066715552,27.649076077867697
0.54,0.018018018018018018,-0.9152405001480355,5.536400280167618,-23.338602141320095,-39.366976222136486,25.201936135433183,-34.86032171001094,17.008661746914086,23.988849313005858,4.541193047188633,14.016085706064692,7.966586311999584,31.433492517219687,1.0414660091053158,-38.964848311061985,1.57504855107098,-18.245993052207233,-16.54131758394528,32.69319494575144,21.711524478127327,-41.108771484918094,17.17434335530189,-10.513473711865181,26.009489142384105,-33.20983611505339,34.09756734488964,-33.2683366325972,17.19133175241179,-16.189530840351484,27.651107805822235
0.57,0.01901901901901902,-0.9142551419310815,5.536204963828285,-23.339653974553197,-39.36894850369826,25.203197438709644,-34.86108116977116,17.01074591193459,23.990897765781217,4.541072828481042,14.016419543176921,7.966289825741104,31.43482241483293,1.0414264583193762,-38.96751077047709,1.5745049121671695,-18.245766235415314,-16.54284409078151,32.695922551353966,21.713593008802235,-41.11162932327458,17.174701967873048,-10.514766416508381,26.009904530759968,-33.21169164611918,34.099426776036246,-33.27034976118603,17.191743115559134,-16.190507771388788,27.65316092899037
