t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
0.0,0.0,1.4493497721156108,9.926958087645435,28.504830180037217,39.75023139459788,-16.840517346257624,20.774422044061307,4.8729660635286525,-18.508203396991018,15.104767323048762,-23.046158451707893,-30.17264326212739,-21.37403627953653,33.668727477713944,-31.354599338801197,-17.31478909218493,43.06701015914965,-20.720501679351194,-24.779613937828923,8.551871597566848
0.03,0.001001001001001001,1.4494325308714242,9.927545497147088,28.506539723605876,39.7526096838268,-16.84153112102932,20.77566823912698,4.873255668650149,-18.509314711421666,15.10566680311057,-23.04754479055056,-30.17446006452233,-21.375328044039954,33.670743143673924,-31.356489290835498,-17.315829810701587,43.06959288844744,-20.721753510318596,-24.781107224008455,8.55237570364632
0.06,0.002002002002002002,1.4495213261460953,9.928125664428622,28.50825287124575,39.75490831938117,-16.84258419708237,20.776937234000894,4.873517084631665,-18.510338493461106,15.106643547614384,-23.048931695535778,-30.17626134161221,-21.37668031932808,33.6727087686972,-31.358392124256707,-17.316897484552616,43.072195545882664,-20.72307244649233,-24.78252013970392,8.552939194675275
0.09,0.003003003003003003,1.4496160232437856,9.928698706218226,28.509969500402523,39.757127166174875,-16.843676505384764,20.77822885239874,4.873750336781953,-18.51127477256946,15.107697527079406,-23.05031918599932,-30.178047108363106,-21.378092982854604,33.67462434129716,-31.360307973697847,-17.317992114746247,43.07481867679413,-20.72445837505681,-24.7838528582884,8.553562061248359
0.12,0.004004004004004004,1.449716481248736,9.929264729692875,28.511689489038613,39.75926608284287,-16.844807971665663,20.779542923141797,4.873955446447277,-18.512123579649547,15.108828699306528,-23.05170727620252,-30.17981737211106,-21.37956590427186,33.676489850763325,-31.362236974030683,-17.3191137034812,43.077462839500235,-20.725911192596026,-24.785105544829506,8.554244291534413
0.15,0.005005005005005005,1.4498225529991824,9.929823832521995,28.513412715574745,39.761324921253745,-16.845978516431767,20.78087927997597,4.874132431046501,-18.512884946869264,15.110037009273265,-23.053095975343105,-30.181572132621874,-21.381098945269684,33.67830528698548,-31.36417926038794,-17.320262254144094,43.0801286056898,-20.727430805013892,-24.786278355752632,8.554985871192166
0.18,0.006006006006006006,1.4499340850662712,9.930376102912673,28.515139058829988,39.7633035260446,-16.84718805497698,20.78223776138691,4.874281304104649,-18.513558907509093,15.11132238901932,-23.054485287565637,-30.183311382147917,-21.382691959405744,33.680070640285585,-31.366134968184067,-17.321437771301422,43.08281656082159,-20.72901712745661,-24.78737143852323,8.555786783277703
0.21,0.007007007007007007,1.450050917737969,9.930921619656258,28.516868397960305,39.765201734178135,-16.848436497385407,20.78361821041108,4.874402075284983,-18.514145495834647,15.112684757522981,-23.05587521197161,-30.185035105482093,-21.384344791927752,33.68178590125736,-31.36810423313461,-17.322640260686168,43.08552730453283,-20.730670084237122,-24.788384931347743,8.556647008143837
0.24,0.008008008008008008,1.4501728850079614,9.93146045217621,28.518600612395694,39.767019374521816,-16.849723748527833,20.785020474442764,4.874494750419651,-18.514644746994183,15.114124020568564,-23.057265742629195,-30.186743280008898,-21.386057279587906,33.683451060613336,-31.370087191274134,-17.3238697291791,43.08826145105703,-20.732389608761615,-24.789318962893002,8.557566523331431
0.27,0.009009009009009009,1.4502998145695403,9.931992660577043,28.520335581775896,39.76875626744903,-16.851049708051622,20.786444405036878,4.874559331538958,-18.515056696941077,15.115640070605115,-23.058656868582613,-30.18843587575268,-21.387829250450007,33.68506610903939,-31.372083978972782,-17.32512618478484,43.091019629651456,-20.734175643458066,-24.790173652023825,8.558545303452798
