t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.0,0.0,-44.004767492217184,16.137103382895578,30.797200441229073,10.592040290399112,-21.13867681630571,15.795378381835736,9.596214259225707,-14.119988872704544,3.8810477408561117,-10.982292633723318,1.4136063338906237,10.747764022167678,-35.65779819852853,27.977542412684485
0.03,0.001001001001001001,-44.007412423801036,16.138067684192997,30.799040249248304,10.592674225014282,-21.139948381494886,15.796323592635193,9.59678354194128,-14.12083818327296,3.8812729602721987,-10.98295169685732,1.413685864231639,10.748401244309257,-35.65994477468834,27.979219349974205
0.06,0.002002002002002002,-44.010111301173474,16.13899932093159,30.80089680897193,10.59331916686012,-21.141210594472568,15.797242259859704,9.597380278000402,-14.121741420321575,3.881510649613403,-10.983585888699306,1.4138027738069228,10.749011036313997,-35.6620782336312,27.980938395644866
0.09,0.003003003003003003,-44.01286438054379,16.139898300791717,30.802769892977828,10.593975004442216,-21.142463346425327,15.798134606466002,9.59800474140841,-14.122698480468772,3.881760831128759,-10.98419517191259,1.413956960260713,10.749593397862748,-35.6641986418427,27.9826995375596
0.12,0.004004004004004004,-44.015671922343344,16.14076463326599,30.804659267487516,10.594641619851826,-21.1437065285197,15.799000857619843,9.598657207128245,-14.123709262293065,3.8820235269303027,-10.984779507906621,1.4141483258791958,10.750148330658888,-35.66630606044193,27.984502764387667
0.15,0.005005005005005005,-44.0185341911838,16.141598329680097,30.8065646923083,10.595318888743769,-21.14494003192913,15.79984124071789,9.599337951047136,-14.124773666242902,3.8822987589778686,-10.985338856826726,1.4143767776181402,10.750675838442445,-35.6684005451867,27.98634806553842
0.18,0.006006006006006006,-44.02145145581259,16.142399403215524,30.80848592077562,10.596006680312161,-21.146163747861745,15.800655985411398,9.600047249940767,-14.125891594542717,3.8825865490630442,-10.985873177544724,1.4146422271299244,10.751175927005436,-35.67048214647877,27.98823543109148
0.21,0.007007007007007007,-44.024423989065674,16.14316786893423,30.810422699695646,10.596704857263987,-21.147377567588947,15.801445323631642,9.600785381434784,-14.127062951095283,3.8828869187922788,-10.986382427650371,1.4149445907899842,10.751648604208423,-35.67255090936909,27.9901648517232
0.24,0.008008008008008008,-44.02745206781736,16.14390374380517,30.812374769288255,10.597413275790515,-21.148581382474852,15.802209489617077,9.601552623963542,-14.128287641380401,3.883199889569147,-10.98686656344362,1.415283789722705,10.75209387999833,-35.67460687356304,27.992136318629342
0.27,0.009009009009009009,-44.03053597292715,16.144607046732684,30.814341863130444,10.598131785536596,-21.14977508400654,15.802948719942131,9.60234925672589,-14.129565572349971,3.8835254825757675,-10.987325539927681,1.4156597498267787,10.752511766427514,-35.676650073425634,27.994149823443973
0.3,0.01001001001001001,-44.03367598918359,16.145277798586775,30.81632370810027,10.598860229567833,-21.150958563825103,15.803663253547628,9.603175559637917,-14.130896652319478,3.883863718753371,-10.987759310802858,1.4160724018000492,10.752902277674124,-35.67868053798675,27.996205358154622
0.32999999999999996,0.011011011011011011,-44.03687240524495,16.14591602223517,30.81832002432141,10.599598444335662,-21.15213171375754,15.804353331772758,9.604031813282452,-14.132280790855951,3.884214618782021,-10.98816782846114,1.4165216811638652,10.753265430063772,-35.68069829094636,27.998302915013642
0.36,0.012012012012012012,-44.04012551357662,16.146521742577217,30.820330525108435,10.600346259640366,-21.15329442584942,15.80501919838857,9.604918298855214,-14.133717898662406,3.8845782030594824,-10.988551043981547,1.4170075282869572,10.753601242092513,-35.68270335067974,28.000442486445785
0.39,0.013013013013013013,-44.043435610385195,16.147094986579575,30.8223549169129,10.601103498592048,-21.15444659239837,15.8056610996329,9.605835298107417,-14.13520788745884,3.884954491679237,-10.98890890712617,1.4175298884088567,10.753909734451168,-35.684695730242694,28.002624064951974
0.42,0.014014014014014014,-44.0468029955491,16.147635783313646,30.82439289927032,10.601869977569585,-21.155588105988347,15.80627928424671,9.60678309328471,-14.136750669859804,3.88534350440764,-10.989241366336936,1.4180887116628733,10.754190930051003,-35.68667543737681,28.004847643009317
