t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
0.0,0.0,-6.080156040474224,32.08322962950171,21.420869334525765,17.013278799209637,-30.081789308821918,31.983934845064656,-9.473222240425017,-16.761752662110435,8.440727402926811,-3.246481593791114,-19.935278921598133,25.87079382962838,-25.86305926536989,-22.064398106506523,11.868456395558418,-2.3665478538114817,-34.136175104219745,-29.024579666534844,-31.162338650275036,-2.440692552070338,2.4713919349064133,35.34548113684203,5.894854677856601,1.4234253662484073,32.39565032510989,32.20276007486229,-20.243205482409966,13.595939311635696,35.832481859568304,-22.071847136953135,16.30177597880525,22.724513112699633,33.59785216498629,27.15081555895686,-6.873357021560372,-39.50945635319193,-37.20370774378452,-38.857868279842876,6.241902254138842,-9.857814630168196,-30.88858000982736,27.972488108860144
0.03,0.001001001001001001,-6.080523014148215,32.08515229240099,21.422150902627163,17.014296080517823,-30.083603681246185,31.985850110598005,-9.473797931716604,-16.76276557567612,8.44123094494339,-3.246679656683164,-19.93647840161793,25.87234476830288,-25.864620278515023,-22.065730592497257,11.869163253745109,-2.3666928080040344,-34.13823172807909,-29.026327568932295,-31.164212151446456,-2.4408437797703235,2.4715352845973544,35.347593203990236,5.89520299800577,1.4235044760015838,32.3975936493358,32.20468923519072,-20.244420654918738,13.59675340572207,35.83462316741763,-22.07318034169474,16.302747394055377,22.72586973233315,33.59986376471086,27.15243589513229,-6.873773270052157,-39.51183345471987,-37.20594618109939,-38.86020548865688,6.242274690499576,-9.858412554027769,-30.89044167458023,27.974159016099662
0.06,0.002002002002002002,-6.080863635944788,32.087028085165414,21.423515916625576,17.015196119151067,-30.085477584729617,31.987737791587502,-9.474400999384548,-16.76382445303493,8.441804042031972,-3.2468982352311593,-19.93771203137323,25.873927700240593,-25.86613886825817,-22.067102232213877,11.869886820789375,-2.3668154776522816,-34.14022145301273,-29.028135349726103,-31.166047406606005,-2.441073513963293,2.4716947610126523,35.34967547202561,5.895606533794588,1.4234822576445982,32.39956530405671,32.206650978043484,-20.245716638272363,13.597546436597378,35.836807928762354,-22.074461813538985,16.303691980921307,22.727228074213958,33.60194593950196,27.15407036446064,-6.874125482602545,-39.5141686078364,-37.2081110833633,-38.862616944726355,6.24274524147636,-9.85901946590426,-30.892310848204843,27.975747855621655
0.09,0.003003003003003003,-6.081177877461765,32.08885671936631,21.424964621405056,17.01597873000872,-30.087410752768,31.989597782007912,-9.47503126809774,-16.76492933211684,8.442446593695355,-3.247137106250714,-19.938980066735876,25.87554276517175,-25.86761516196812,-22.06851307560634,11.870627027426558,-2.3669160773668128,-34.14214387417146,-29.030003085212144,-31.16784469070466,-2.4413820922386984,2.4718705412031827,35.35172749406294,5.8960654708522515,1.423358760715431,32.40156519655584,32.20864482440978,-20.24709381348559,13.598318573178698,35.83903614821744,-22.07569146426971,16.30460958774112,22.72858772821032,33.60409868176475,27.15571912989657,-6.874413800379283,-39.516461491822824,-37.21020155506277,-38.86510259574349,6.24331388494791,-9.85963522677305,-30.894187186287105,27.977254811830072
0.12,0.004004004004004004,-6.081465711270288,32.090637915994215,21.426497257182465,17.01664374505882,-30.089402908916664,31.991429977403335,-9.47568856597053,-16.766080260115967,8.443158500003657,-3.2473960359045644,-19.940282763419784,25.877190115279166,-25.86904927188109,-22.06996317384562,11.871383796803785,-2.3669948386889095,-34.14399861297747,-29.031930855230048,-31.16960426992731,-2.4417698578114906,2.472062794480727,35.35374883422666,5.89658003104772,1.423134022283412,32.40359324630371,32.21067028949625,-20.248552574898,13.599069988733627,35.84130785227828,-22.076869213491065,16.305500064925386,22.729948270152793,33.60632198515475,27.15738234716783,-6.8746383614552515,-39.51871181670398,-37.21221671986868,-38.8676623911088,6.243980626396585,-9.86025969507208,-30.896070336749368,27.97868005307879
0.15,0.005005005005005005,-6.081727110918551,32.09237140540465,21.42811405918028,17.017191013142845,-30.091453766540443,31.99323427504919,-9.47637272459074,-16.76727729359357,8.443939661496053,-3.2476747796752305,-19.94162037706827,25.878869915092565,-25.87044129511426,-22.07145257914827,11.872157044428395,-2.367052010214504,-34.14578531714834,-29.033918742931643,-31.17132640174821,-2.442237159252428,2.4722716825237785,35.355739067871426,5.897150472452018,1.422808066973834,32.40564938497922,32.212726882809804,-20.25009333020414,13.599800860872698,35.84362308949936,-22.07799498845572,16.306363264903194,22.731309261926764,33.608615844468574,27.15906016470097,-6.874799300942806,-39.520919323619594,-37.21415572085059,-38.87029628169226,6.244745498905977,-9.86089272658819,-30.897959939933262,27.980023731694427
0.18,0.006006006006006006,-6.081962050932761,32.09405692727456,21.429815257256017,17.017620399813467,-30.093563028553863,31.995010574112545,-9.477083579039098,-16.76852049858089,8.444789979054535,-3.247973082344204,-19.942993163343303,25.880582341385086,-25.871791313686202,-22.072981344597807,11.872946678121474,-2.3670878577326278,-34.147503660738536,-29.035966834549917,-31.173011334979012,-2.4427843502163338,2.472497359478093,35.3576977817949,5.897777089317342,1.4223809070399747,32.4077335564865,32.21481410823407,-20.251716500474448,13.600511371550219,35.84598193068436,-22.079068723912695,16.307199042066156,22.732670251558325,33.610980255507904,27.16075272354162,-6.87489675113658,-39.523083785177874,-37.216017720682935,-38.8730042195787,6.245608563147271,-9.861534174348261,-30.899855628673624,27.981285984000245
0.21,0.007007007007007007,-6.0821705068153245,32.09569423056931,21.43160107548759,17.017931787206056,-30.095730387151722,31.996758775810825,-9.477820967900044,-16.76980995068157,8.445709353749756,-3.248290677977988,-19.94440137801671,25.882327583071927,-25.873099394544024,-22.074549523962993,11.873752597976484,-2.3671026643784425,-34.1491533441991,-29.038075219168288,-31.174659309809215,-2.4434117891678686,2.4727399720517824,35.35962457444251,5.898460212072865,1.42185254248282,32.40984571696729,32.21693146409978,-20.253422520166456,13.601201707073367,35.848384469087705,-22.080090361974964,16.30800725271044,22.73403077329361,33.61341521491673,27.16246015726907,-6.8749308416644554,-39.525205005791484,-37.21780190184339,-38.87578615779739,6.246569907354425,-9.862183888515156,-30.901757028363633,27.982466930340866
0.24,0.008008008008008008,-6.082352455040223,32.09728307352044,21.433471731713983,17.018125073944663,-30.097955523530285,31.998478783569013,-9.478584733263908,-16.771145735173274,8.446697686659007,-3.2486272899213313,-19.945845277063267,25.884105841111026,-25.874365589597268,-22.07615717151327,11.874574696322936,-2.367096730800961,-34.1507340944561,-29.040243988490033,-31.176270557838862,-2.444119839104402,2.4729996596047368,35.361519056104385,5.899200207337124,1.42122296121887,32.41198583480903,32.21907844324931,-20.255211837125856,13.601872058119415,35.85083082062777,-22.08105985200711,16.30878775497685,22.735390347671913,33.61592071999165,27.164182591905,-6.874901699646412,-39.527282821996174,-37.21950746680376,-38.878642050035744,6.247629647288185,-9.862841716288441,-30.903663757011234,27.983566675107586
0.27,0.009009009009009009,-6.082507873045563,32.09882322361418,21.435427437030587,17.01820017508308,-30.10023810759921,32.00017050317534,-9.479374720720449,-16.77252794710829,8.447754878656395,-3.2489826307980207,-19.94732511675569,25.88591732840577,-25.875589935758537,-22.077804341831442,11.875412857695126,-2.3670703753455773,-34.1522456650085,-29.042473236607638,-31.177845302103293,-2.4449088672755717,2.4732765542321493,35.363380849104274,5.899997477946811,1.420492139296465,32.41415389064859,32.22125453309586,-20.257084912576914,13.60252261976098,35.85332112411167,-22.081977150533206,16.309540408788994,22.73674848159277,33.61849676846528,27.16592014581615,-6.874809449860959,-39.529317102752124,-37.221133638213736,-38.88157185033684,6.248787926188839,-9.86350750180986,-30.90557542528695,27.984585306764032
0.3,0.01001001001001001,-6.082636739223268,32.10031445759085,21.43746839523854,17.0181570220816,-30.102577797684418,32.00183384293563,-9.480190779343786,-16.77395669141273,8.44888083017523,-3.249356402519618,-19.9488411537615,25.887762269709622,-25.876772454990856,-22.079491089623843,11.876266958805898,-2.3670239342515433,-34.15368783604601,-29.04476305977188,-31.17938375708976,-2.4457792448991547,2.473570780841923,35.365209587980665,5.900852463001802,1.4196600411611489,32.41634987737169,32.22345921567746,-20.25904222110176,13.603153591499149,35.85585554147178,-22.082842221165098,16.310265075789513,22.73810466837733,33.6211433582625,27.167672929610724,-6.874654214918817,-39.53130774972825,-37.222679659077784,-38.88457551278087,6.250044914717604,-9.86418108607359,-30.90749163656317,27.98552289787203
0.32999999999999996,0.011011011011011011,-6.0827390329058755,32.10175656145511,21.439594802247438,17.01799556281999,-30.10497424022201,32.003468713826294,-9.481032761668756,-16.77543208298407,8.450075440942696,-3.2497482963025495,-19.950393645241732,25.889640901532587,-25.877913154361817,-22.081217469528177,11.877136868525458,-2.3669577618645454,-34.155060414587304,-29.0471135561604,-31.180886128745684,-2.4467313468728866,2.473882457225721,35.36700491965992,5.9017656379262,1.4187266199706614,32.41857380010791,32.225691967706275,-20.261084250607976,13.6037651773044,35.858434258013986,-22.08365503455134,16.310961619274437,22.7394583878243,33.62386048722954,27.16944104602842,-6.874436115443533,-39.53325469756961,-37.22414479292561,-38.887652991150176,6.251400810886434,-9.864862306841289,-30.90941198694498,27.986379505117526
0.36,0.012012012012012012,-6.082814734350397,32.10314933049729,21.441806845430783,17.01771576164716,-30.10742706944344,32.005075029646115,-9.481900523658714,-16.776954246786705,8.451338609686816,-3.2501579926939717,-19.95198284895149,25.89155347204948,-25.87901202610457,-22.08298353591925,11.87802244786526,-2.366872230864547,-34.15636323463906,-29.049524825645527,-31.182352614478344,-2.4477655514818872,2.474211694123412,35.36876650362157,5.902737514545153,1.4176918179602096,32.42082567622141,32.22795226061354,-20.263211502284022,13.604357585665225,35.86105748267772,-22.0844155683469,16.31162990412566,22.740809106260745,33.6266481528357,27.171224589823893,-6.874155270258687,-39.53515791414815,-37.225528323976405,-38.890804238577886,6.252855839975986,-9.865550998561949,-30.911336065292666,27.987155169336415
0.39,0.013013013013013013,-6.0828638247192135,32.10449256932559,21.444104702933558,17.017317599467923,-30.109935907051998,32.006652707166886,-9.482793924664898,-16.778523317945186,8.452670233815793,-3.250585161606867,-19.953609023342334,25.893500241009843,-25.880069047685755,-22.084789342712845,11.878923549966974,-2.36676773250908,-34.1575961573762,-29.051996969561092,-31.183783403145753,-2.4488822401013848,2.4745585952806604,35.37049401205575,5.903768641177162,1.416555566858751,32.42310553529714,32.230239560590576,-20.265424490541868,13.604931029644346,35.863725448307854,-22.085123807203804,16.31226979674152,22.742156276588098,33.62950635184757,27.173023647643546,-6.873811796581319,-39.53701740079692,-37.22682955729731,-38.89402920717996,6.254410254441433,-9.866246992296597,-30.913263453235885,27.987849915540284
