t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.0,0.0,-29.545217452836656,-41.09623445380829,23.33973847981849,12.23694852356113,-11.588501395909354,7.067541322018466,-5.35552009588355,12.495500607576009,-5.861095644244963,-2.5766490384597187,23.073499306625134,-30.984332171567768,28.250263403243892,4.512285935924164,17.081300916122803
0.03,0.001001001001001001,-29.546993016428843,-41.09870559837463,23.341137983847908,12.23768174722167,-11.58919886495038,7.067958315198151,-5.355849119996889,12.49624459005064,-5.861450973621574,-2.5768096224459796,23.07488176725433,-30.98619137590877,28.251954492287183,4.512548339296144,17.08231957875083
0.06,0.002002002002002002,-29.548824924847665,-41.10118072695828,23.342576827852973,12.238402993527188,-11.589919387290712,7.068367377106394,-5.356187259578469,12.497029799301837,-5.8618525317443035,-2.5769491316929574,23.076295871862833,-30.988093529785793,28.253656069932664,4.512832464181936,17.083374330312143
0.09,0.003003003003003003,-29.55071310436508,-41.10366007635187,23.344055282072937,12.23911218941637,-11.590663163819931,7.068768362860195,-5.356534705532878,12.497856216077821,-5.862300562457958,-2.57706746699674,23.07774174524736,-30.99003858340256,28.25536824728295,4.513138542417361,17.084465319731816
0.12,0.004004004004004004,-29.552657478511627,-41.10614388719523,23.345573629325905,12.239809255731592,-11.591430410425275,7.069161124366787,-5.356891659977846,12.498723817812,-5.862795324541936,-2.57716451304689,23.07921952029412,-30.992026489052886,28.25709113460107,4.513466817895805,17.085592704904197
0.15,0.005005005005005005,-29.554657968054933,-41.10863240402836,23.347132165117362,12.240494107151948,-11.592221358089034,7.069545510277654,-5.357258336349986,12.499632578571822,-5.8633370916994,-2.5772401383226144,23.08072933802886,-30.994057201099487,28.258824841345866,4.513817546620732,17.086756652709358
0.18,0.006006006006006006,-29.556714490978734,-41.11112587534442,23.348731197755104,12.241166652122445,-11.593036252994217,7.069921365940806,-5.357634959518981,12.500582469005034,-5.863926152546988,-2.577294194976555,23.082271347670552,-30.996130675955495,28.26056947620844,4.514190996761838,17.087957339030964
0.21,0.007007007007007007,-29.558826962462458,-41.1136245536426,23.350371048470514,12.241826792779364,-11.593875356638394,7.070288533351401,-5.358021765910235,12.50157345628336,-5.864562810604809,-2.5773265187061383,23.08384570668871,-30.998246872068727,28.2623251471496,4.514587448714736,17.08919494877547
0.24,0.008008008008008008,-29.56099529486144,-41.11612869548116,23.35205205154613,12.242474424871727,-11.594738945955614,7.070646851100735,-5.358419003636037,12.502605504043629,-5.865247384286443,-2.5773369286124024,23.08545258086424,-31.000405749908662,28.264091961438442,4.515007195164138,17.090469675892507
0.27,0.009009009009009009,-29.563219397687853,-41.11863856153045,23.353774554449437,12.243109437678834,-11.595627313446286,7.070996154323648,-5.358826932635266,12.503678572326358,-5.865980206888642,-2.5773252270462255,23.087092144353733,-31.002607271956162,28.265870025692,4.515450541150409,17.09178172339626
0.3,0.01001001001001001,-29.565499177592443,-41.12115441662618,23.355538917972797,12.24373171392384,-11.596540767314902,7.071336274644407,-5.3592458248216905,12.504792617511834,-5.86676162658045,-2.5772911994418632,23.08876457975714,-31.004851402695923,28.26765944591603,4.515917804139438,17.09313130338776
