t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
0.3,0.01001001001001001,5.739719968750698,-0.6355653475967361,-33.00152410251962,-31.28950078495494,26.193993026073993,9.445812055226105,-35.40705015734807,22.653047386124292,11.820170665767579,5.1928018550768815,26.588445545724184,13.387373533106746,-17.938412651259338,-14.079668900404762,-9.06104136991888,-9.92730658416058,-20.66692797602016,2.8504582697811784,8.953136075677318,14.569364175096403,-41.982983652447494,30.10190428595107,-17.772300956466573,28.713386616900355,22.953831322671743,11.488125126822556,-20.50068327034758,7.253475898552845,25.12967492103872,21.968183878450454,33.22689418146854,-26.53271663980003,-6.081727614240888,16.55000700331612,-26.031786973537326,16.256371144030034,32.766014177750684,11.040436726534457,29.178853513742876,-37.7458618592612,-21.503660269300056,-29.466600797033326,11.254099726764563,-9.075183073855563,-32.57191523144821
0.32999999999999996,0.011011011011011011,5.738303860027733,-0.6364463939190916,-33.00370601502984,-31.291527892702906,26.195540231507184,9.447097763923813,-35.40991159703334,22.654003687843897,11.820324832068923,5.193333739698266,26.589581428752133,13.3883051367371,-17.93923856312956,-14.08077666689816,-9.061006054383833,-9.927098025624158,-20.667045974504045,2.8505242309304006,8.953702208176235,14.570051134934053,-41.98488090287987,30.10411128079139,-17.77329133166759,28.715895394791414,22.95569186298444,11.488712884236163,-20.50168373685983,7.253665281973588,25.130376214858146,21.97097397342477,33.22848089750094,-26.53437813832881,-6.081743246447968,16.55119218434867,-26.03382566388041,16.256924345608905,32.767916867360256,11.039950543714516,29.180740439781456,-37.74753565418071,-21.504425219078946,-29.468021317768645,11.254407089385312,-9.075665121657721,-32.57443713090517
0.36,0.012012012012012012,5.7367108012817445,-0.6374104250189403,-33.00590325947191,-31.293569602289704,26.197086581740898,9.448457607229221,-35.41284695613608,22.654920074834813,11.82042411796863,5.193886266813866,26.590673414192057,13.389250202284504,-17.940038783635423,-14.08191137224806,-9.060911301860376,-9.92680669284078,-20.667052420894898,2.850579698976274,8.95427241881487,14.570721810213264,-41.986716757304684,30.106357600443403,-17.774275036583713,28.718486285281557,22.957600791356832,11.489288708248909,-20.502660233228294,7.253829739412609,25.130996520618158,21.973912675373796,33.23002923207421,-26.536045674953915,-6.081724275747991,16.55239670921551,-26.035911993576157,16.25743625120096,32.76981454348786,11.039350176898584,29.18264142598755,-37.749152422927075,-21.505135277211963,-29.46940834303796,11.254677913671001,-9.076139466039928,-32.57701840413415
0.39,0.013013013013013013,5.734940349078434,-0.6384572616238466,-33.008115124820286,-31.29562603681948,26.198632239895186,9.44989206390605,-35.41585633610219,22.655796620441876,11.820468589338345,5.19445908293947,26.591721737962203,13.390208663254763,-17.94081331570781,-14.083073166080792,-9.060757027822623,-9.926432222101244,-20.666947699456202,2.850624703119465,8.954846845625914,14.571376667577336,-41.988491392887035,30.108642784556693,-17.775252265629852,28.721159879726358,22.95955799496227,11.489852219070567,-20.5036127396555,7.253969102266315,25.131535629442826,21.977000001031936,33.231539441084074,-26.537719299975837,-6.081670858835783,16.553620583671673,-26.03804604042927,16.257907085554194,32.771707327981055,11.038635797827181,29.18455650955436,-37.75071261524992,-21.505790203868887,-29.47076217695415,11.254912223505668,-9.0766058698804,-32.57965962099402
0.42,0.014014014014014014,5.732992027926343,-0.6395867013745434,-33.01034090733117,-31.297697330832175,26.200177365232367,9.451401641138128,-35.41893982315844,22.656633417760844,11.820458311075047,5.195051827393664,26.59272664372473,13.391180449813502,-17.941562158244476,-14.084262195941976,-9.060543158870432,-9.925974239540542,-20.666732248875235,2.8506592862063465,8.955425640142057,14.572016192704321,-41.99020497799123,30.1109663371442,-17.776223211044073,28.723916804079046,22.96156334120411,11.490403028768133,-20.504541241938156,7.25408319592634,25.13199331316694,21.980235940985196,33.233011769911506,-26.539399084826222,-6.081583160450859,16.55486383373342,-26.040227892693686,16.25833710139979,32.77359534708748,11.037807629695324,29.18648572987441,-37.75221668928361,-21.50638976693863,-29.4720831255553,11.25511005565726,-9.077064085313845,-32.582361363066816
0.44999999999999996,0.015015015015015015,5.730865331656458,-0.6407985186184598,-33.01257991063903,-31.299783630341825,26.201722113325104,9.452986874266072,-35.42209748815503,22.657430579797964,11.820393347300225,5.195664132313702,26.5936883828103,13.39216548868158,-17.942285306200777,-14.085478607389115,-9.060269632828431,-9.925432361021754,-20.666406562575176,2.8506835048334978,8.95600896735748,14.572640890525268,-41.99185767202602,30.11332772637133,-17.777188062935693,28.72675771844373,22.963616677339086,11.49094074140963,-20.50544573151441,7.254171839650131,25.132369324255908,21.983620458525124,33.23444645347585,-26.54108512203204,-6.081461353582999,16.55612650560638,-26.04245764880074,16.258726579441323,32.77547873156516,11.03686594725037,29.18842912836096,-37.75366511143146,-21.506933742042193,-29.473371496763445,11.25527145972902,-9.077513853753318,-32.58512422316065
0.48,0.016016016016016016,5.72855972492457,-0.6420924641992809,-33.01483144583403,-31.301885092874862,26.20326663622305,9.45464832650009,-35.425329386394175,22.65818823963626,11.82027376156937,5.196295622682247,26.594607214142417,13.393163703033752,-17.94298275068684,-14.086722544090563,-9.059936398862527,-9.924806192012383,-20.665971189039364,2.8506974294552023,8.956597005684378,14.573251285447629,-41.993449625284256,30.115726384344708,-17.778147009331057,28.729683316592226,22.96571783008766,11.491464953201868,-20.506326205513844,7.254234846420764,25.132663395723775,21.987153488446058,33.23584371629454,-26.542777525168102,-6.08130561969677,16.557408665590966,-26.04473541707058,16.25907582833459,32.77735761679802,11.035811076884979,29.190386748266487,-37.75505835625561,-21.50742191254881,-29.474627600339158,11.25539649809916,-9.077954905919666,-32.58794880478382
0.51,0.017017017017017015,5.726074644840169,-0.6434682652438154,-33.0170948315205,-31.304001887508484,26.204811082618022,9.456386588606863,-35.42863555744501,22.658906550607878,11.820099617091953,5.19694591636527,26.59548340416132,13.394175012400849,-17.943654479071146,-14.087994147931104,-9.05954341761428,-9.924095327453488,-20.665426732145992,2.85070114449342,8.95718994690442,14.57384792158375,-41.99498097877686,30.118161706901734,-17.779100236217015,28.732694325441866,22.96786660523179,11.491975252622199,-20.50718266681006,7.254272022795995,25.132875241049867,21.9908349357867,33.23720377254924,-26.54447642879759,-6.081116148974863,16.558710399964408,-26.04706131540661,16.259385184657308,32.77923214291672,11.034643396724402,29.192358634498067,-37.75639690637192,-21.50785406959531,-29.475851747831836,11.255485245848861,-9.078386961879035,-32.5908357215891
0.54,0.018018018018018018,5.723409502725845,-0.6449256249475418,-33.01936939385712,-31.306134194909145,26.206355598007796,9.458202278568322,-35.43201602494523,22.659585686471758,11.819870976962108,5.1976146241613375,26.59631722674711,13.395199332575823,-17.944300475090415,-14.089293559124412,-9.059090661353501,-9.923299351621951,-20.664773851511296,2.850694748449674,8.957787996114998,14.574431362984305,-41.99645186406088,30.1206330534024,-17.780047927582252,28.735791504491488,22.97006278720091,11.492471220544349,-20.508015124075897,7.254283168746581,25.133004554094686,21.994664674517267,33.238526826158214,-26.546181988400264,-6.080893140580108,16.560031814838617,-26.049435470972732,16.259655012867896,32.781102454924735,11.0333633367072,29.194344833429387,-37.75768125234919,-21.50823001210875,-29.477044252525523,11.25553779067865,-9.078809731088924,-32.59378559678728
0.57,0.01901901901901902,5.720563686011341,-0.6464642223602909,-33.02165446657894,-31.30828220737121,26.20790032485846,9.460096041210017,-35.4354707963898,22.66022584159585,11.819587904400203,5.198301349862533,26.597108963141874,13.396236575523929,-17.944920718965832,-14.090620916332666,-9.058578114149428,-9.922417837986305,-20.664013262839163,2.850678354018249,8.958391371670158,14.575002193876553,-41.99786240306149,30.12313974652469,-17.78099026545652,28.738975645212715,22.97230613864671,11.4929524303584,-20.508823591841224,7.254268077483906,25.133051009015695,21.998642546173528,33.2398130708548,-26.547894380287982,-6.0806368029359765,16.561373035993146,-26.051858019853164,16.25988570525253,32.78296870282978,11.031971378658397,29.196345392709116,-37.75891189261198,-21.508549546832324,-29.47820542938014,11.255554232813186,-9.07922291245328,-32.596799062528994
