,1e-05,5e-05,0.0001,0.0005,0.001,0.005,0.01,0.05,0.1,0.5,1,5
-20,-1468.20617279628,-1468.1255575911803,-1468.124935920746,-1468.1821520151702,-1468.284826212323,-1468.125843803039,-1468.0764455565388,-1468.0551537622125,-1468.1462821271405,-1467.893288130013,-1267.6609986613255,-1471.2469285340605
-15,-1468.271872394472,-1468.1298736408407,-1468.1293829025988,-1468.1909916819923,-1468.297664820959,-1468.0768280524708,-1468.0680256574583,-1468.0379154565344,-1468.1220746099311,-1467.8899084844118,-1492.4255937780324,-1472.605634645978
-10,-1468.4533133228163,-1468.1393420629877,-1468.1349741664978,-1468.2109164389524,-1468.3270418388931,-1468.0282945070894,-1468.0693855035427,-1467.9911823307007,-1468.0787999571326,-1279.0204759855592,-1483.4363240668547,-1473.8164694231407
-5,-1469.2953748487153,-1468.1805949620925,-1468.156396555261,-1468.265204974609,-1468.2436011835628,-1468.052462313657,-1467.9391994399205,-1467.9434091526261,-1468.0213589975342,-1482.9989218849043,-1474.8362565474256,-1474.8899590591582
-1,-1472.966593045228,-1470.25940697446,-1468.276079516274,-1472.1488664517394,-1470.106878413135,-1467.9398337049956,-1467.902023505576,-1467.9186247478249,-1467.9768921424525,-1472.5510770580615,-1472.1446331632726,-1475.6570472111864
0,-1481.7320464115414,-1468.7117435214418,-1468.2595948746934,-1470.264723798677,-1470.1984122553283,-1467.9298666576708,-1467.9005617120379,-1467.9153441906417,-1467.9672658110605,-1471.669334224319,-1471.730607191106,-1475.8367909776873
1,-1473.1574672520671,-1470.2201536952334,-1468.1842722111116,-1472.3474946650417,-1470.2587727339687,-1474.1591253119577,-1467.9271205733248,-1467.913517912392,-1467.9584748240975,-1471.0386755957486,-1471.3808003337012,-1476.0118912353648
5,-1469.3112150819388,-1468.1689642749027,-1468.1274697985098,-1468.131324439266,-1468.187522329122,-1468.2935048334984,-1468.0754681788485,-1467.922179448687,-1467.9327965019459,-1469.722793187045,-1470.4130697157805,-1476.667504753785
10,-1468.454434181685,-1468.132421461144,-1468.1203510365506,-1468.137660601989,-1468.1987445250268,-1468.2162449978962,-1468.297628050988,-1467.9570478936303,-1467.921400643833,-1469.0736349914187,-1469.7382718192587,-1477.3922761902516
15,-1468.2716085701825,-1468.1251265840433,-1468.1196546382737,-1468.1427536750678,-1468.2065132688351,-1468.2181953324532,-1468.2376973018906,-1467.989664598093,-1468.1079947890887,-1468.7601670107713,-1469.3398334899061,-1478.0207755910542
20,-1468.205371236906,-1468.1219432343266,-1468.1176001414647,-1468.1459188558483,-1468.2124708013082,-1468.2513532260812,-1468.1986094780425,-1468.0569322118035,-1468.0715075375997,-1468.5770196119388,-1469.079811703302,-1478.5620825040564
