,1e-05,5e-05,0.0001,0.0005,0.001,0.005,0.01,0.05,0.1,0.5,1,5
-20,-24783.436176914805,-24782.09261677538,-24782.082262803906,-24783.0358710686,-24784.747083182283,-37183.14608236604,-37181.89886184823,-74326.1395107309,-74387.13583799623,-49560.363560181395,-32171.523475523358,-24834.11547551346
-15,-24784.53117312649,-24782.164554268937,-24782.156383882433,-24783.183191590124,-29745.93126797927,-37181.920732863924,-37181.70069321028,-74381.86068126283,-74386.10363634875,-49557.104215856794,-37790.63892283547,-24856.760577301495
-10,-24787.554839410084,-24782.322367044755,-24782.24956906636,-29744.210182854917,-37188.13926610655,-37180.70712206893,-49582.30097162524,-74379.5584891667,-148781.9601354018,-32455.511897946773,-37565.903018155055,-24876.941157049667
-5,-24801.58937424085,-29743.665160900033,-29743.11790250164,-37186.630891119,-37186.08925510568,-74382.61818495039,-148672.82412204647,-148774.34014772676,-148640.9159366648,-37554.973044479746,-37350.90256373502,-24894.832650926797
-1,-37303.85620090596,-49655.91816488476,-74313.87800950462,-148997.84882432292,-148993.55495714326,-148774.03589704147,-148770.1948172968,-148771.58075849523,-74378.36240744378,-37293.77682935412,-37283.60409950761,-24907.61745338363
0,-50037.73665313517,-74415.9009773938,-74393.94117169986,-149001.18537214593,-149000.84142240614,-148772.99714652757,-148770.10709764384,-148763.9997991476,-74375.80762319957,-37271.7333226449,-37273.26464539457,-24910.613182807487
1,-37308.74469242694,-49653.96286100872,-74385.90888120848,-148812.6634047226,-149001.71442829253,-148801.86910385927,-148772.5584287599,-74375.67853197656,-74377.52788614598,-37255.96684151815,-37264.519989426175,-24913.53152050354
5,-24801.853601988758,-29743.341283798974,-29742.541932719218,-37183.200619243966,-49586.082790268905,-74393.0053545094,-74383.76940795539,-74376.09501925178,-49577.74473407859,-37223.069575774636,-37240.32382385915,-24924.458412099433
10,-24787.573956702476,-24782.207028318302,-24782.005849085403,-29742.747630174035,-29743.976197894557,-49585.96337526426,-49589.854705020916,-74374.90719692234,-49567.444596613765,-37206.840071859086,-37223.42648247494,-24936.537936287186
15,-24784.526639084437,-24782.08545196247,-24781.99424342155,-24782.3792273548,-29744.12511507128,-29744.364037771433,-29744.75393920933,-37179.74067911599,-37182.699823190225,-37198.994376512856,-37211.03692619958,-24947.012926516112
20,-24783.422922087346,-24782.032392016557,-24781.96000033156,-24782.43197877055,-24783.541178883464,-29745.02599121831,-29743.97215964989,-37181.401179446395,-37181.777227447485,-37194.40403112246,-37203.956050553184,-24956.034708367533
