Time,traj,gen,theta
1.911111111,0.880971877,0.8787931601488455,1.001
1.922222222,0.8726927,0.8785250901839322,1.002
1.933333333,0.879338707,0.8781980198476722,1.003
1.944444444,0.881802892,0.877870594936891,1.004
1.955555556,0.872975946,0.8775462775438266,1.005
1.966666667,0.878096758,0.8772252255401359,1.006
1.977777778,0.879339727,0.876907401482789,1.007
1.988888889,0.874136733,0.8765927582886932,1.008
2.0,0.875510015,0.8762812500024985,1.009
2.011111111,0.885610283,0.8759728322906637,1.01
2.022222222,0.884636941,0.8756674623488663,1.011
2.033333333,0.877165677,0.8753650987846627,1.012
2.044444444,0.872416672,0.8750657015042748,1.013
2.055555556,0.888688723,0.8747692316068735,1.014
2.066666667,0.875730522,0.8744756512844866,1.015
2.077777778,0.876521447,0.8741849237278451,1.016
2.088888889,0.879961326,0.8738970130361773,1.017
2.2,0.86664201,0.8736118841337424,1.018
2.211111111,0.864160937,0.8733295026884874,1.019
2.222222222,0.871734594,0.8730498350362537,1.02
2.233333333,0.869865594,0.87277284810767,1.021
2.244444444,0.876571405,0.8724985093591351,1.022
2.255555556,0.873841625,0.8722267867068284,1.023
2.266666667,0.869052929,0.8719576484634263,1.024
2.277777778,0.867376582,0.8716910632775277,1.025
2.288888889,0.87189463,0.8714270000765574,1.026
2.3,0.864612499,0.871165428011063,1.027
2.311111111,0.876312593,0.8709063164019756,1.028
2.322222222,0.868311839,0.8706496346901441,1.029
2.333333333,0.866462857,0.8703953523876865,1.03
2.344444444,0.87266284,0.8701434390314737,1.031
2.355555556,0.871025592,0.8698938641388251,1.032
2.366666667,0.866175807,0.8696465971649044,1.033
2.377777778,0.866437733,0.8694016074622113,1.034
2.388888889,0.871938914,0.8691588642416807,1.035
2.4,0.869900302,0.8689183365353221,1.036
2.411111111,0.863685694,0.8686799931615591,1.037
2.422222222,0.868007673,0.8684438026914726,1.038
2.433333333,0.863489437,0.8682097334170397,1.039
2.444444444,0.860647526,0.8679777533208854,1.04
2.455555556,0.864899271,0.8677478300485832,1.041
2.466666667,0.86859067,0.8675199308817255,1.042
2.477777778,0.874462673,0.8672940227133277,1.043
2.488888889,0.862348076,0.8670700720247114,1.044
2.5,0.867732984,0.8668480448641641,1.045
2.511111111,0.865670479,0.8666279068280622,1.046
2.522222222,0.858548039,0.8664096230425071,1.047
2.533333333,0.864409196,0.866193158147756,1.048
2.544444444,0.862814302,0.8659784762845857,1.049
2.555555556,0.866226813,0.8657655410816093,1.05
2.566666667,0.865322601,0.8655543156453984,1.051
2.577777778,0.863279148,0.8653447625520124,1.052
2.588888889,0.858969513,0.865136843840436,1.053
2.6,0.874319408,0.8649305210079198,1.054
2.611111111,0.867497646,0.8647257550077766,1.055
2.622222222,0.874865108,0.864522506247903,1.056
2.633333333,0.865096564,0.8643207345926635,1.057
2.644444444,0.863699171,0.8641203993654852,1.058
2.655555556,0.865005837,0.8639214593542216,1.059
2.666666667,0.860146738,0.8637238728174933,1.06
2.677777778,0.862857371,0.8635275974940549,1.061
2.688888889,0.861705935,0.8633325906131281,1.062
2.7,0.865734445,0.8631388089064856,1.063
2.711111111,0.8653456,0.86294620862354,1.064
2.722222222,0.860635633,0.8627547455463388,1.065
2.733333333,0.859434674,0.8625643750079597,1.066
2.744444444,0.861449434,0.8623750519112652,1.067
2.755555556,0.865952616,0.8621867307501325,1.068
2.766666667,0.860804582,0.8619993656319083,1.069
2.777777778,0.85911654,0.8618129103011755,1.07
2.788888889,0.871464374,0.8616273181647738,1.071
2.8,0.865364007,0.8614425423188969,1.072
2.811111111,0.866575918,0.8612585355763639,1.073
