Time,mean_NED,lower_NED,upper_NED,mean_NED_p,lower_NED_p,upper_NED_p,mean_NED_t,lower_NED_t,upper_NED_t
0.0,0.02523208164766448,0.02409737322197869,0.02636679007335027,0.025218491048284594,0.024084949491377468,0.02635203260519172,0.02523256382216965,0.024098058986046705,0.026367068658292598
1.0,0.025284784835511557,0.024148640989740018,0.026420928681283096,0.025264589374887333,0.024130157510621073,0.026399021239153594,0.025285728743280608,0.02414985092229162,0.026421606564269597
2.0,0.02533753790884888,0.024199956744915218,0.02647511907278254,0.025310868972329034,0.024175518647341555,0.02644621929731651,0.025339094963440157,0.024201815356582987,0.026476374570297327
3.0,0.02539034009673692,0.024251319887419867,0.026529360306053976,0.025357332407238774,0.024221035099862807,0.02649362971461474,0.025392664948453155,0.024253954422357404,0.026531375474548907
4.0,0.025443190674698007,0.024302729863427897,0.026583651485968116,0.025403982305378416,0.02426670911837823,0.0265412554923786,0.025446441207771075,0.024306270291818432,0.026586612123723718
5.0,0.025496088964934348,0.024354186165228272,0.026637991764640424,0.025450821350485757,0.024312543003234807,0.026589099697736707,0.025500426292582437,0.024358765173649124,0.02664208741151575
6.0,0.02554903433655633,0.024405688331077608,0.02669238034203505,0.025497852283049394,0.024358539103135585,0.026637165462963203,0.025554622793855467,0.024411441310669448,0.026697804277041486
7.0,0.02560202620582536,0.02445723594505435,0.02674681646659637,0.025545077899011514,0.024404699813258653,0.026685455984764374,0.025609033340331832,0.024464300977439648,0.026753765703224016
8.0,0.025655064036415345,0.024508828636919798,0.02680129943591089,0.025592501048394358,0.024451027573290332,0.026733974523498384,0.02566366059646996,0.024517346477810512,0.02680997471512941
9.0,0.02570814733969611,0.024560466081990685,0.026855828597401533,0.025640124633845823,0.02449752486537066,0.026782724402320986,0.025718507260335158,0.024570580142420594,0.02686643437824972
10.0,0.02576127567504184,0.02461214800102781,0.026910403349055867,0.02568795160909871,0.024544194211948388,0.02683170900624903,0.025773576061433524,0.024624004326140442,0.026923147796726606
