Time,mean_NED,lower_NED,upper_NED,mean_NED_p,lower_NED_p,upper_NED_p,mean_NED_t,lower_NED_t,upper_NED_t
0.0,0.025249482142193146,0.024114162345594832,0.02638480193879146,0.02523609205846405,0.02410182399869021,0.026370360118237894,0.025251896468152606,0.02411653610134046,0.02638725683496475
1.0,0.025310960885726697,0.02417390273758625,0.026448019033867145,0.025291177609384055,0.024155657832291785,0.026426697386476326,0.025314915823816078,0.024177760652795977,0.02645207099483618
2.0,0.025372538287979363,0.024233742167756145,0.02651133440820258,0.025346566821881217,0.024209769311480785,0.02648336433228165,0.025378259734527654,0.02423928607167303,0.026517233397382278
3.0,0.025434212474261423,0.0242936792532524,0.026574745695270446,0.02540226065555624,0.024264159700015976,0.026540361611096505,0.025441929040638817,0.02430111370861817,0.026582744372659464
4.0,0.02549598159493403,0.02435371262775334,0.02663825056211472,0.025458260100049004,0.02431883027568751,0.026597689924410497,0.025505924620850245,0.02436324493130124,0.02664860431039925
5.0,0.02555784382731745,0.024413840942931433,0.02670184671170347,0.025514566176626122,0.024373782330655597,0.026655350022596648,0.025570247393651248,0.024425681124722765,0.02671481366257973
6.0,0.02561979737751154,0.024474062869869268,0.02676553188515381,0.025571179939710982,0.024429017171756204,0.02671334270766576,0.025634898318699043,0.02448842369148533,0.026781372945912756
7.0,0.025681840482127564,0.02453437710042443,0.0268293038638307,0.02562810247835434,0.024484536120772945,0.026771668835935732,0.025699878398139222,0.02455147405202987,0.026848282744248574
8.0,0.025743971409933505,0.02459478234854292,0.02689316047132409,0.025685334917644048,0.02454034051467453,0.026830329320613567,0.025765188677869567,0.024614833644838578,0.026915543710900557
9.0,0.025806188463413378,0.02465527735151923,0.026957099575307526,0.025742878420052847,0.02459643170581757,0.026889325134288124,0.025830830248748292,0.02467850392660481,0.026983156570891773
10.0,0.025868489980242465,0.024715860871202585,0.027021119089282345,0.025800734186722126,0.024652811062113342,0.02694865731133091,0.025896804247748314,0.02474248637237113,0.027051122123125496
11.0,0.025930874334680668,0.024776531695149165,0.02708521697421217,0.025858903458680863,0.024709479967158287,0.02700832695020344,0.025963111859058127,0.02480678247563525,0.027119441242481005
12.0,0.025993339938885435,0.024837288637719626,0.027149391240051245,0.025917387517997423,0.024766439820326527,0.02706833521566832,0.02602975431512956,0.024871393748423492,0.027188114881835628
13.0,0.02605588524414672,0.024898130541122165,0.027213639947171277,0.025976187688862864,0.024823692036823483,0.027128683340902245,0.02609673289767276,0.02493632172133141,0.02725714407401411
14.0,0.026118508742045785,0.024959056276400913,0.027277961207690656,0.02603530533860332,0.024881238047698644,0.027189372629507998,0.026164048938597428,0.025001567943529757,0.0273265299336651
15.0,0.026181208965539642,0.025020064744369554,0.02734235318670973,0.026094741878619286,0.024939079299815634,0.02725040445742294,0.026231703820899264,0.025067133982734094,0.027396273659064434
16.0,0.026243984489972755,0.02508115487648995,0.027406814103455558,0.026154498765248974,0.024997217255777193,0.027311780274720754,0.02629969897948989,0.025133021425135446,0.02746637653384433
17.0,0.026306833934017365,0.025142325635695476,0.027471342232339255,0.026214577500552817,0.02505565339380241,0.027373501607303223,0.026368035901967936,0.025199231875289045,0.027536839928646827
18.0,0.026369755960543573,0.025203576017158596,0.02753593590392855,0.026274979633015647,0.025114389207553125,0.02743557005847817,0.026436716129327832,0.025265766955956948,0.027607665302698717
19.0,0.026432749277419967,0.025264905049002064,0.02760059350583787,0.0263357067581628,0.025173426205906044,0.027497987310419556,0.02650574125660307,0.025332628307900635,0.027678854205305508
20.0,0.026495812638244944,0.025326311792952565,0.02766531348353732,0.026396760519086047,0.025232765912666856,0.027560755125505237,0.026575112933438873,0.02539981758961796,0.027750408277259785
21.0,0.026558944843009455,0.025387795344936334,0.027730094341082576,0.02645814260687481,0.025292409866222106,0.027623875347527516,0.026644832864589425,0.025467336477019032,0.027822329252159817
22.0,0.02662214473869031,0.025449354835614786,0.027794934641765835,0.02651985476094779,0.02535235961912437,0.02768734990277121,0.0267149028103334,0.025535186663034334,0.027894618957632466
23.0,0.026685411219773983,0.02551098943085919,0.027859833008688776,0.02658189876927974,0.025412616737605902,0.027751180800953578,0.026785324586801183,0.02560336985714815,0.027967279316454218
24.0,0.026748743228709956,0.025572698332162545,0.027924788125257366,0.026644276468518267,0.025473182801015987,0.027815370136020548,0.026856100066206156,0.02567188778484943,0.028040312347562883
25.0,0.026812139756292697,0.025634480776987035,0.02798979873559836,0.026706989743984506,0.025534059401176448,0.027879920086792565,0.026927231176971884,0.02574074218699186,0.02811372016695191
26.0,0.02687559984197111,0.02569633603904522,0.028054863644897003,0.026770040529552116,0.0255952481416502,0.027944832917454032,0.026998719903746086,0.025809934819054005,0.028187504988438167
27.0,0.02693912257408388,0.025758263428512902,0.02811998171965486,0.026833430807398216,0.025656750636917046,0.028010110977879386,0.027070568287291513,0.025879467450290003,0.028261669124293023
28.0,0.02700270709001955,0.02582026229217207,0.028185151887867032,0.026897162607620616,0.02571856851145172,0.028075756703789513,0.02714277842424351,0.025949341862760857,0.028336214985726166
29.0,0.027066352576299663,0.025882332013481734,0.02825037313911759,0.02696123800771463,0.025780703398698125,0.028141772616731134,0.027215352466722454,0.026019559850235262,0.028411145083209646
30.0,0.027130058268583654,0.025944472012575256,0.02831564452459205,0.027025659131903742,0.02584315693993472,0.028208161323872764,0.02728829262178959,0.026090123216949306,0.028486462026629876
31.0,0.02719382345159358,0.026006681746181846,0.028380965157005316,0.027090428150318008,0.025905930783025725,0.02827492551761029,0.027361601150732683,0.02616103377621254,0.028562168525252826
32.0,0.027257647458958197,0.026068960707471635,0.02844633421044476,0.02715554727801424,0.025969026581052997,0.02834206797497548,0.027435280368168908,0.026232293348849415,0.0286382673874884
33.0,0.027321529672974222,0.026131308425822057,0.028511750920126387,0.027221018773832494,0.026032445990823976,0.028409591556841012,0.027509332640949572,0.026303903761462227,0.028714761520436918
34.0,0.027385469524284514,0.026193724466505093,0.028577214582063935,0.027286844939083316,0.026096190671251015,0.028477499206915616,0.027583760386852302,0.026375866844503548,0.028791653929201057
35.0,0.027449466491471983,0.026256208430294248,0.02864272455264972,0.02735302811606069,0.02616026228159807,0.02854579395052331,0.02765856607304438,0.02644818443014419,0.028868947715944566
36.0,0.027513520100568813,0.026318759952990718,0.02870828024814691,0.027419570686376314,0.02622466247959133,0.028614478893161297,0.027733752214300775,0.026520858349923366,0.028946646078678185
37.0,0.02757762992448089,0.026381378704868678,0.028773881144093103,0.02748647506911063,0.02628939291939031,0.028683557218830952,0.02780932137095951,0.026593890432167148,0.029024752309751874
38.0,0.02764179558232717,0.026444064390039445,0.028839526774614894,0.02755374371877649,0.02635445524941636,0.028753032188136615,0.027885276146596225,0.0266672824991612,0.02910326979403125
39.0,0.0277060167386948,0.026506816745735316,0.028905216731654283,0.027621379123092978,0.026419851110037407,0.02882290713614855,0.027961619185399425,0.02674103636406397,0.02918220200673488
40.0,0.027770293102810126,0.02656963554151323,0.02897095066410702,0.027689383800565393,0.02648558213110599,0.028893185470024795,0.028038353169227384,0.02681515382754674,0.029261552510908027
41.0,0.027834624427627266,0.026632520578379996,0.029036728276874535,0.027757760297869836,0.026551649929350562,0.02896387066638911,0.028115480814327055,0.02688963667414701,0.0293413249545071
42.0,0.02789901050883508,0.026695471687839884,0.029102549329830276,0.027826511187039927,0.0266180561056188,0.029034966268461054,0.028193004867696145,0.02696448666832336,0.02942152306706893
43.0,0.027963451183784446,0.026758488730866548,0.029168413636702344,0.0278956390624544,0.026684802241973275,0.029106475882935523,0.028270928103068513,0.027039705550199793,0.029502150655937233
44.0,0.028027946330338,0.026821571596801402,0.0292343210638746,0.02796514653762461,0.026751889898640017,0.029178403176609205,0.028349253316505015,0.027115295030990378,0.02958321160201965
45.0,0.028092495865644156,0.02688472020218027,0.02930027152910804,0.028035036241781334,0.026819320610811104,0.029250751872751564,0.028427983321572137,0.02719125678809627,0.029664709855048006
46.0,0.02815709974483854,0.026947934489491433,0.029366265000185646,0.028105310816260696,0.02688709588530292,0.02932352574721847,0.028507120944093235,0.027267592459870486,0.029746649428315983
47.0,0.02822175795967541,0.027011214425867583,0.029432301493483234,0.028175972910689517,0.026955217197072348,0.029396728624306687,0.02858666901645907,0.027344303640048778,0.02982903439286936
48.0,0.028286470537092056,0.027074560001714633,0.02949838107246948,0.028247025178970743,0.027023685985593657,0.02947036437234783,0.028666630371488727,0.02742139187185004,0.029911868871127414
49.0,0.028351237537709798,0.027137971229280893,0.029564503846138703,0.02831847027506951,0.027092503651099022,0.02954443689904,0.02874700783583547,0.027498858641754168,0.02999515702991677
50.0,0.02841605905427472,0.027201448141169725,0.029630669967379716,0.02839031084860154,0.02716167155068684,0.02961895014651624,0.02882780422293861,0.027576705372972285,0.030078903072904936
51.0,0.028480935210042056,0.027264990788799348,0.029696879631284763,0.028462549540224712,0.02723119099430146,0.029693908086147965,0.028909022325528985,0.02765493341863131,0.03016311123242666
