Time,mean_NED,lower_NED,upper_NED,mean_NED_p,lower_NED_p,upper_NED_p,mean_NED_t,lower_NED_t,upper_NED_t
0.0,0.022528829368415253,0.021662895472908936,0.02339476326392157,0.0003157939102725176,0.0002961481817727818,0.0003354396387722534,0.00029712850637410277,0.0002798160208877333,0.00031444099186047226
0.01,0.02252576270083496,0.02165838422241866,0.023393141179251262,0.00034603868946055506,0.0003266618477516794,0.0003654155311694307,0.0003205419352116029,0.0003031335084831974,0.0003379503619400084
0.02,0.022522581338656276,0.02165375909780855,0.023391403579504002,0.00037475151284167797,0.0003549970050272354,0.0003945060206561205,0.00034339335940118156,0.00032559917936547363,0.0003611875394368895
0.03,0.022519284720784197,0.02164901978184038,0.023389549659728014,0.0004044101929837386,0.00038365568157540413,0.00042516470439207306,0.00036640730019607304,0.000347757938970542,0.00038505666142160406
0.04,0.022515872285065023,0.02164416595847767,0.023387578611652377,0.00043513592911467865,0.00041279668537969516,0.00045747517284966215,0.00038953221765532594,0.00036957245880086056,0.0004094919765097913
0.05,0.02251234346920673,0.021639197313583575,0.023385489624829885,0.00046678326159810317,0.00044234838895348266,0.0004912181342427237,0.00041264669453080767,0.00039099214846141666,0.0004343012406001987
0.06,0.02250869771174636,0.02163411353566264,0.023383281887830083,0.0004992149670491752,0.00047224963670986544,0.000526180297388485,0.00043564959456565683,0.00041199784271445984,0.0004593013464168538
0.07,0.022504934453061436,0.021628914316644005,0.023380954589478867,0.000532338066100468,0.0005024714024423649,0.0005622047297585711,0.000458465761272273,0.0004325884613076909,0.0004843430612368551
0.08,0.022501053136421686,0.021623599352703,0.023378506920140374,0.000566097104725498,0.0005330062317165877,0.0005991879777344084,0.0004810398894843444,0.00045276889088675736,0.0005093108880819315
0.09,0.02249705320907712,0.02161816834511777,0.023375938073036468,0.0006004617623469969,0.0005638569232919375,0.0006370666014020562,0.0005033305687605379,0.0004725442479282071,0.0005341168895928687
0.1,0.022492934123377894,0.021612621001157253,0.023373247245598534,0.0006354166655183094,0.0005950291386076969,0.0006758041924289219,0.0005253061856982003,0.000491918183192215,0.0005586941882041856
0.11,0.022488695337921093,0.021606957034996384,0.023370433640845803,0.000670954447574738,0.0006265274188750107,0.0007153814762744652,0.0005469423852152511,0.0005108930152181395,0.0005829917552123627
0.12,0.022484336318719343,0.021601176168654486,0.0233674964687842,0.000707071499905889,0.0006583534687086965,0.0007557895311030815,0.0005682205314141721,0.0005294704445952355,0.0006069706182331088
0.13,0.022479856540385486,0.02159527813295204,0.02336443494781893,0.0007437656180437942,0.0006905057741993667,0.0007970254618882216,0.0005891267300451093,0.0005476522790389697,0.0006306011810512488
0.14,0.022475255487327823,0.021589262668481476,0.02336124830617417,0.000781034847354146,0.0007229798946056101,0.0008390898001026818,0.0006096511401858987,0.0005654409663946463,0.0006538613139771511
0.15,0.02247053265494971,0.021583129526586895,0.023357935783312526,0.0008188770151291762,0.0007557690036541711,0.0008819850266041813,0.0006297874286759319,0.000582839905031991,0.0006767349523198728
0.16,0.022465687550847626,0.021576878470348046,0.023354496631347206,0.0008572896141778523,0.0007888644473161091,0.0009257147810395954,0.0006495322984831485,0.0005998535687836469,0.0006992110281826502
0.17,0.02246071969600166,0.021570509275563744,0.023350930116439576,0.0008962698422919279,0.0008222562187396623,0.0009702834658441936,0.0006688850636352385,0.0006164875005596683,0.0007212826267108086
0.18,0.02245562862595215,0.021564021731729683,0.023347235520174616,0.0009358146936172429,0.0008559333282918999,0.001015696058942586,0.0006878472625358358,0.0006327482243363309,0.0007429463007353408
0.19,0.022450413891956768,0.021557415643006127,0.023343412140907408,0.0009759210500447314,0.0008898840813091759,0.0010619580187802868,0.0007064223087340144,0.0006486431139780981,0.0007642015034899308
0.2,0.022445075062122267,0.02155069082917089,0.023339459295073646,0.0010165857469313646,0.0009240962859365919,0.0011090752079261372,0.000724615179849231,0.0006641802457951467,0.0007850501139033152
