,Time,normal_Eucli_d
0,2.39,0.003554716940956305
1,2.429,0.004807606261043812
2,2.466,0.0052430080083507935
3,2.504,0.005620330856170788
4,2.543,0.005496503641960125
5,2.581,0.005248631538146284
6,2.619,0.004965933139861141
7,2.657,0.004709110116296281
8,2.695,0.004505621506665781
9,2.733,0.00436333246800937
10,2.771,0.0042853861916936934
11,2.809,0.004271907491501671
12,2.847,0.0043103976171204395
13,2.885,0.004369809486598666
14,2.923,0.004408644524503159
15,2.961,0.004392062067865207
16,2.998,0.004306138067729479
17,3.036,0.004236580979184653
18,3.074,0.004104045881678614
19,3.112,0.003956873859857527
20,3.149,0.0038544437823823303
21,3.187,0.0037934784438227813
22,3.225,0.0038002462964490526
23,3.263,0.0038797048503576613
24,3.301,0.004019442803844211
25,3.339,0.004196965889865894
26,3.377,0.004386442624324215
27,3.415,0.0045630247703816705
28,3.453,0.004705661483216187
29,3.491,0.0047993344689676535
30,3.528,0.004836349593108106
31,3.567,0.004816296213505819
32,3.605,0.004744832020892098
33,3.643,0.004631719537503988
34,3.681,0.004488593873028591
35,3.719,0.004326968968429965
36,3.757,0.004156878090829748
37,3.795,0.003986362962178084
38,3.834,0.003817475704073957
39,3.872,0.003662214009649901
40,3.91,0.0035261574584909286
41,3.948,0.0034145855576287686
42,3.986,0.0033322171805333757
43,4.024,0.0032824967416474698
44,4.062,0.003266678183708752
45,4.1,0.003283163861306939
46,4.138,0.0033274946405352623
47,4.176,0.0033931464307955695
48,4.214,0.0034728291854126472
49,4.251,0.003534082714065003
50,4.289,0.0035985886654237137
51,4.327,0.0036618539092351556
52,4.364,0.0037200606408813335
53,4.402,0.003747316710030501
54,4.44,0.003764388266942021
55,4.478,0.003767011779583066
56,4.515,0.003735431079369502
57,4.553,0.0036848903875330947
58,4.591,0.0036144701155636436
59,4.629,0.003527696710371234
60,4.667,0.0034360529843007045
61,4.704,0.0033620406577389585
62,4.742,0.0033527953597356367
63,4.78,0.003426912961173
64,4.817,0.0036190661251291265
65,4.855,0.003874665269136088
66,4.893,0.004142577287557905
67,4.931,0.004369862327890774
68,4.969,0.004519078373627032
69,5.007,0.004576393106956425
70,5.045,0.0045516627530174224
71,5.083,0.004473028077038258
72,5.121,0.004376951464735513
73,5.159,0.004295470919489726
74,5.197,0.004245495981206729
75,5.234,0.004225573769736828
76,5.273,0.004221274788890112
77,5.311,0.004214623847303934
78,5.349,0.004191874071617147
79,5.387,0.004147037175273963
80,5.425,0.004081508211225755
81,5.463,0.004001426125017332
82,5.501,0.003914447095403931
83,5.54,0.003828138782387003
84,5.578,0.0037434755648200328
85,5.616,0.0036627565927072414
86,5.653,0.003590450052752791
87,5.691,0.0035223763974863826
88,5.729,0.00345717590355346
89,5.766,0.003393695313514127
90,5.804,0.003336580804331464
91,5.842,0.0032790437614867575
92,5.88,0.003220783658168013
93,5.918,0.0031619375950223422
94,5.956,0.003103176629586783
95,5.994,0.0030457651362555895
96,6.031,0.0029914852532175688
97,6.07,0.002942353681731144
98,6.108,0.002900034545440091
99,6.146,0.0028648384625752604
100,6.183,0.002828954346350296
101,6.221,0.0027945942254779866
102,6.259,0.0027581913006991233
103,6.297,0.0027174303543236722
104,6.335,0.0026723302721397106
105,6.373,0.002624969006724439
106,6.412,0.0025786603099925485
107,6.45,0.0025332960921781817
108,6.488,0.0024893369018654725
109,6.526,0.002446325458590235
110,6.563,0.002403987851641247
111,6.602,0.002362872645098338
112,6.64,0.0023240817394320074
113,6.678,0.0022884171487866384
114,6.716,0.0022556820728509247
115,6.754,0.002224669493250971
116,6.792,0.002193796687075206
117,6.83,0.0021619085575908057
118,6.868,0.0021287378865111548
119,6.906,0.0020948256802742057
120,6.944,0.0020610684695138433
121,6.982,0.0020282350452801245
122,7.02,0.001996699530283169
123,7.058,0.001966431189943626
124,7.096,0.0019371532110301335
125,7.134,0.001908543496885135
126,7.172,0.0018803791391453465
127,7.21,0.0018525887713741222
128,7.248,0.0018252325491443355
129,7.286,0.0017984518307683748
130,7.324,0.0017724276606167512
131,7.362,0.0017473670219967186
132,7.4,0.0017234934200753395
133,7.438,0.0017009452534175221
134,7.476,0.001679611089923507
135,7.514,0.0016590705165695381
136,7.552,0.0016387464873867388
137,7.59,0.0016182024371632637
138,7.628,0.0015973777059507417
139,7.666,0.0015765818362574531
140,7.704,0.0015562631058124833
141,7.742,0.0015367276960807366
142,7.78,0.0015179935575118072
143,7.817,0.001500009034846595
144,7.854,0.0014827742340198932
145,7.892,0.0014654815209581204
146,7.93,0.001448076016098133
147,7.967,0.0014306865591933486
148,8.005,0.0014137866674713854
149,8.043,0.0013971370547217823
150,8.081,0.0013808386660309005
151,8.119,0.001364911998945947
152,8.157,0.0013493336935184658
153,8.195,0.001334072555115059
154,8.233,0.0013191077489550383
155,8.271,0.0013074935571175173
156,8.309,0.0012930684156278536
157,8.347,0.0012789298949597654
158,8.385,0.001265077254118938
159,8.424,0.001251508633918136
160,8.462,0.0012383073006234204
161,8.5,0.001225355527660887
162,8.538,0.0012126563865843217
163,8.576,0.0012002538401468343
164,8.614,0.0011882525859020115
165,8.651,0.0011773094144474844
166,8.689,0.0011674024248279488
167,8.727,0.0011589208730543494
168,8.765,0.0011524822968925457
169,8.803,0.0011490365781634405
170,8.841,0.0011498388391180472
171,8.879,0.0011561562766887654
172,8.918,0.0011686575582147505
173,8.956,0.0011836890457626523
174,8.994,0.001201541030931575
175,9.032,0.001218254916491259
176,9.07,0.0012225802024020654
177,9.108,0.0012261066319733847
178,9.146,0.0012220456331849996
