,Time,normal_Eucli_d
0,2.39,0.003388400825057686
1,2.429,0.004638272794023488
2,2.466,0.005101868131671456
3,2.504,0.005562619047974865
4,2.543,0.005510389170025104
5,2.581,0.005330128466322093
6,2.619,0.0050935827962681444
7,2.657,0.004854225286232631
8,2.695,0.004647438346516365
9,2.733,0.004502956486958801
10,2.771,0.004451270401216992
11,2.809,0.0045129800248878285
12,2.847,0.004680084679831206
13,2.885,0.0049114717078546635
14,2.923,0.005150450617368332
15,2.961,0.005349380365210266
16,2.998,0.005485176484153068
17,3.036,0.005713668866778081
18,3.074,0.005868502953534882
19,3.112,0.005995423553376231
20,3.149,0.006243194032863888
21,3.187,0.006514808460717572
22,3.225,0.006840367951559517
23,3.263,0.0072340986860036476
24,3.301,0.0076969155534627656
25,3.339,0.008220059256247325
26,3.377,0.00878903605614041
27,3.415,0.009387107613107874
28,3.453,0.009998630719882502
29,3.491,0.010611913035411959
30,3.528,0.011220652886445864
31,3.567,0.011823843116162976
32,3.605,0.012424622883547438
33,3.643,0.013028569192550205
34,3.681,0.013641807273407518
35,3.719,0.014269413871876238
36,3.757,0.01491444712575748
37,3.795,0.015577695245467168
38,3.834,0.016200945312680442
39,3.872,0.016848687231514538
40,3.91,0.01751703153254313
41,3.948,0.018202411409959728
42,3.986,0.018901982535950858
43,4.024,0.019613861114131305
44,4.062,0.020337192723499018
45,4.1,0.021072011170778983
46,4.138,0.02181896249054549
47,4.176,0.022578851177756022
48,4.214,0.023352065325987485
49,4.251,0.0241635751950527
50,4.289,0.024980934899644612
51,4.327,0.025801290484012283
52,4.364,0.026620192056101884
53,4.402,0.027448694799257673
54,4.44,0.02826028707913828
55,4.478,0.029049026800043374
56,4.515,0.0298207364995642
57,4.553,0.03055645110297063
58,4.591,0.03125217799306657
59,4.629,0.03190470060735751
60,4.667,0.03251126558038922
61,4.704,0.03306865859001797
62,4.742,0.0335762428065854
63,4.78,0.034023192353722094
64,4.817,0.03440543713652501
65,4.855,0.0347146278140604
66,4.893,0.03495019361306045
67,4.931,0.03511961360860465
68,4.969,0.035240583362450714
69,5.007,0.03534027108018689
70,5.045,0.03545132857808672
71,5.083,0.03560538302567317
72,5.121,0.03582571060715715
73,5.159,0.036121611902583506
74,5.197,0.036486501295954724
75,5.234,0.03690013316020271
76,5.273,0.037333696925441216
77,5.311,0.03775572281463858
78,5.349,0.038137144570727206
79,5.387,0.038454726978304744
80,5.425,0.03869262111175135
81,5.463,0.03884231583317028
82,5.501,0.038901511746140684
83,5.54,0.038886103356371264
84,5.578,0.038786407489272055
85,5.616,0.03860962720634129
86,5.653,0.03835282819662435
87,5.691,0.038036171449441075
88,5.729,0.03766739825313405
89,5.766,0.03725394265034092
90,5.804,0.036795381020010565
91,5.842,0.03630687306913408
92,5.88,0.035794655692822044
93,5.918,0.03526449307688502
94,5.956,0.03472158714150946
95,5.994,0.03417048985132253
96,6.031,0.033615038746999976
97,6.07,0.03305832031825343
98,6.108,0.03250260810864857
99,6.146,0.03194928770867006
100,6.183,0.03139599172866991
101,6.221,0.03084641638671921
102,6.259,0.03030090449137046
103,6.297,0.029760173160487506
104,6.335,0.02922543142240733
105,6.373,0.028698248995088937
106,6.412,0.028181304231349655
107,6.45,0.027674634093309794
108,6.488,0.027179167036611187
109,6.526,0.026695382543893562
110,6.563,0.026223447426372063
111,6.602,0.02576334751884585
112,6.64,0.025314941974986398
113,6.678,0.024877953432786
114,6.716,0.024451957861986312
115,6.754,0.02403642603204393
116,6.792,0.023630817556370937
117,6.83,0.023234685753109052
118,6.868,0.022847741064654477
119,6.906,0.022469847959474303
120,6.944,0.022100968734558253
121,6.982,0.02174109237078113
122,7.02,0.021390181492377928
123,7.058,0.02104814785642835
124,7.096,0.0207148521607443
125,7.134,0.020390117627568413
126,7.172,0.02007374664207359
127,7.21,0.01976553344630803
128,7.248,0.01946527086623172
129,7.286,0.01917275247567766
130,7.324,0.01888777339810757
131,7.362,0.018610132300340882
132,7.4,0.018339636631320294
133,7.438,0.01807610348879349
134,7.476,0.017819347759732554
135,7.514,0.01756917018124643
136,7.552,0.01732535945127032
137,7.59,0.01708770846946927
138,7.628,0.016856030522442066
139,7.666,0.01663016035457692
140,7.704,0.01640993941569992
141,7.742,0.016195198018495224
142,7.78,0.01598574823756825
143,7.817,0.01578142843963913
144,7.854,0.015582065164276399
145,7.892,0.015387403471848282
146,7.93,0.015197287164307462
147,7.967,0.01501158051933916
148,8.005,0.014830201460026407
149,8.043,0.014652968937324914
150,8.081,0.014479757042261688
151,8.119,0.014310438135256693
152,8.157,0.01414488602473376
153,8.195,0.013982978155164697
154,8.233,0.013824595945256752
155,8.271,0.01366976045811414
156,8.309,0.013518087602865292
157,8.347,0.013369603136980794
158,8.385,0.013224201621924288
159,8.424,0.013081782324690133
160,8.462,0.01294224382782868
161,8.5,0.012805505862434695
162,8.538,0.012671480171866586
163,8.576,0.012540081980031295
164,8.614,0.012411230172497154
165,8.651,0.012284843996595074
166,8.689,0.01216085723461838
167,8.727,0.012039203490287908
168,8.765,0.011919818982278384
169,8.803,0.011802642391037059
170,8.841,0.011687617769756227
171,8.879,0.011574695477690036
172,8.918,0.011463822645245349
173,8.956,0.011354831114495497
174,8.994,0.011247704469588615
175,9.032,0.011142350540072832
176,9.07,0.011038917876007097
177,9.108,0.01093736944250655
178,9.146,0.010838423498537602
179,9.184,0.010742997068120397
180,9.222,0.010652224389160109
181,9.26,0.010567247844960681
182,9.298,0.010489000186835096
183,9.336,0.01041805669912816
184,9.374,0.01035459619347735
