,Time,normal_Eucli_d
0,1.0,0.0029698449226587416
1,2.0,0.0045726386700364096
2,3.0,0.007646532025506813
3,4.0,0.008550784247572218
4,5.0,0.007734545305243109
5,6.0,0.008186297108470108
6,7.0,0.008823205412843895
7,8.0,0.00846213011943866
8,9.0,0.00803671513014116
9,10.0,0.007671436713562368
10,11.0,0.007534877226821353
11,12.0,0.00765782898026477
12,13.0,0.007387944614046815
13,14.0,0.007219731662097475
14,15.0,0.007057760138847628
15,16.0,0.006918898370270533
16,17.0,0.006886019557069095
17,18.0,0.006765306005128544
18,19.0,0.00658767078915078
19,20.0,0.0065154178144409035
20,21.0,0.006462330372536276
21,22.0,0.006581133720006332
22,23.0,0.006438871568846597
23,24.0,0.006307777207622046
24,25.0,0.0062483475000352515
25,26.0,0.006205353811470836
26,27.0,0.0065957182250335
27,28.0,0.006809258011591815
28,29.0,0.006725282451502607
29,30.0,0.006638819852614284
30,31.0,0.00700538829938812
31,32.0,0.00689901292796114
32,33.0,0.00683665948296069
33,34.0,0.007222527904874276
34,35.0,0.007219682292089776
35,36.0,0.0071622188522587225
36,37.0,0.007237729025336578
37,38.0,0.007165394593606029
38,39.0,0.007251588638859204
39,40.0,0.007407556072453559
40,41.0,0.00731968743018675
41,42.0,0.007285834337908368
42,43.0,0.00724923141468386
43,44.0,0.007357633139228242
44,45.0,0.007394254568028988
45,46.0,0.0075829874162408805
46,47.0,0.007515537898150009
47,48.0,0.0074580134564699125
48,49.0,0.00741043548327495
49,50.0,0.007413239398029279
50,51.0,0.007922779165917864
51,52.0,0.007848802280951002
52,53.0,0.00792011184151565
53,54.0,0.007891923230750808
54,55.0,0.00785324749198513
55,56.0,0.007807352708875695
56,57.0,0.007813786561929143
57,58.0,0.007986871944993786
58,59.0,0.008095781260227426
59,60.0,0.008841476389335984
60,61.0,0.0087765792752519
61,62.0,0.008856654584302272
62,63.0,0.009018083338184688
63,64.0,0.009011335789826708
64,65.0,0.009027094266140701
65,66.0,0.009044900108999481
66,67.0,0.009029541313030933
67,68.0,0.00906928294673039
68,69.0,0.009079947294214635
69,70.0,0.009343142782199916
70,71.0,0.009545796814230336
71,72.0,0.00970538026463046
72,73.0,0.009700325180463659
73,74.0,0.009698703119937176
74,75.0,0.009666133294810027
75,76.0,0.00961849864937628
76,77.0,0.00956134254534518
77,78.0,0.00950469209519069
78,79.0,0.009448758747598268
79,80.0,0.009398149910275082
80,81.0,0.00953903384002421
81,82.0,0.009559052648971356
82,83.0,0.009504894950032303
83,84.0,0.009504415624209896
84,85.0,0.009666886679104987
85,86.0,0.009634507055620066
86,87.0,0.009630286495401043
87,88.0,0.009606342620282078
88,89.0,0.009555890793110464
89,90.0,0.009611444721923643
90,91.0,0.009703789809175703
91,92.0,0.00970157062765316
92,93.0,0.009737808461189743
93,94.0,0.009693241240769028
94,95.0,0.009908542898124116
95,96.0,0.010084864355171247
96,97.0,0.010718005257943104
97,98.0,0.010697157450744222
98,99.0,0.011606223591752942
99,100.0,0.0116218303353074
100,101.0,0.012294557374651923
101,102.0,0.012329234226145541
102,103.0,0.012415663689533108
103,104.0,0.012448270424368453
104,105.0,0.01248788194335963
105,106.0,0.012671678884037292
106,107.0,0.012689396151155337
107,108.0,0.01268715797144438
108,109.0,0.0126832009951803
109,110.0,0.012716064315185002
110,111.0,0.01267150401781176
111,112.0,0.01264887584520828
112,113.0,0.012738912987860136
113,114.0,0.013186137247079701
114,115.0,0.013136240336821564
115,116.0,0.013139681896788621
116,117.0,0.013092390967114143
117,118.0,0.013158974742515317
118,119.0,0.013304919412852454
119,120.0,0.013257519564244348
120,121.0,0.01320845242683094
121,122.0,0.013162427776145876
122,123.0,0.01322671359652817
123,124.0,0.013209665209301594
124,125.0,0.013226161345772538
125,126.0,0.013322113369709423
126,127.0,0.013321409544485008
127,128.0,0.013549127996429584
128,129.0,0.013587917847969885
129,130.0,0.013650216470960723
130,131.0,0.013843671789207288
131,132.0,0.0138074915326553
132,133.0,0.01380807145261514
133,134.0,0.013779455746052167
134,135.0,0.013825286862601337
135,136.0,0.01396346180232874
136,137.0,0.014206065754041453
137,138.0,0.014249935613021219
138,139.0,0.01423510682479416
139,140.0,0.01424216678476281
140,141.0,0.01424328872212013
141,142.0,0.014321726981758185
142,143.0,0.014278674068600759
143,144.0,0.014254426338779935
144,145.0,0.014220243846025207
145,146.0,0.014300643023224752
146,147.0,0.014268913105955724
147,148.0,0.014230068700351086
148,149.0,0.014222168554412239
149,150.0,0.014181871478061214
150,151.0,0.014160871864806602
151,152.0,0.014136222239402432
152,153.0,0.014476070891247021
153,154.0,0.01484101436727144
154,155.0,0.015110422457351695
155,156.0,0.015297241875775457
156,157.0,0.015440210178302894
157,158.0,0.015432558645878546
158,159.0,0.015429853197993688
159,160.0,0.01574161118127642
160,161.0,0.01668513252549603
161,162.0,0.01669182951991819
162,163.0,0.01665874599482993
163,164.0,0.01699706805041076
164,165.0,0.01701239511414759
165,166.0,0.017068688357196004
166,167.0,0.017078142681841383
167,168.0,0.017290834412013966
168,169.0,0.017368505211302943
169,170.0,0.01732697079641279
