,Time,normal_Eucli_d
0,1.0,0.01238183271734573
1,2.0,0.02085469027097401
2,3.0,0.03423253609249387
3,4.0,0.04223792040575889
4,5.0,0.06430294408544053
5,6.0,0.09935342627571088
6,7.0,0.14000288845114442
7,8.0,0.17828651843168633
8,9.0,0.21710543126626752
9,10.0,0.2493879651660193
10,11.0,0.275014773060442
11,12.0,0.2946911357553052
12,13.0,0.31038906366166186
13,14.0,0.3227246017600129
14,15.0,0.331724614240818
15,16.0,0.33809360165391633
16,17.0,0.3424488822438444
17,18.0,0.34451830691070556
18,19.0,0.3454095641424329
19,20.0,0.3449811023978126
20,21.0,0.3436237034885191
21,22.0,0.341405651670067
22,23.0,0.33881384457650654
23,24.0,0.3356973047606659
24,25.0,0.3320287948260929
25,26.0,0.32801374301500735
26,27.0,0.3236156097782559
27,28.0,0.3190578574710388
28,29.0,0.314442231951281
29,30.0,0.3097297005845121
30,31.0,0.3048920156742972
31,32.0,0.3001129287142715
32,33.0,0.2953332326674717
33,34.0,0.2906633910895043
34,35.0,0.28600145901159857
35,36.0,0.28143155389244795
36,37.0,0.27696198236595104
37,38.0,0.2726097464725816
38,39.0,0.26842156667913913
39,40.0,0.26430693492989427
40,41.0,0.2603655325247469
41,42.0,0.25654115287393975
42,43.0,0.252857157659072
43,44.0,0.24929066950898202
44,45.0,0.24594687565707798
45,46.0,0.24275836440797358
46,47.0,0.23960702107079346
47,48.0,0.23660473861282516
48,49.0,0.23371787146356068
49,50.0,0.23095179753725628
50,51.0,0.2283620329771096
51,52.0,0.22575691906075265
52,53.0,0.22320453839130483
53,54.0,0.22075513984322356
54,55.0,0.21839131553055643
55,56.0,0.21613831739528577
56,57.0,0.21397140317357363
57,58.0,0.21180610522020862
58,59.0,0.2097127775402345
59,60.0,0.20766678342016825
60,61.0,0.20572357500759705
61,62.0,0.20381522298950816
62,63.0,0.20195776648477815
63,64.0,0.20016547137564494
64,65.0,0.1984206698973872
65,66.0,0.19672353916513763
66,67.0,0.19507582511742383
67,68.0,0.19346639493120474
68,69.0,0.19190133020426817
69,70.0,0.19036649323164948
70,71.0,0.18887193558867574
71,72.0,0.18741583941853035
