sampling interval,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t
0.01,0.015157617357687175,0.0021753602938586383,0.028139874421515713,0.43864934695113794,0.4314635411501588,0.4458351527521171,0.1000451259838208,0.06852198617638004,0.13156826579126157
0.02,0.05208638670910692,0.027290970817928795,0.07688180260028504,0.7148530294454787,0.6733621954070197,0.7563438634839377,0.15567166093279755,0.13009250259622493,0.18125081926937017
0.03,0.07265897401592467,0.043125035222111224,0.1021929128097381,0.8032234600279522,0.7712058929016138,0.8352410271542906,0.27969005187197693,0.23646921417724973,0.3229108895667041
0.04,0.11197325072937674,0.07254213812520502,0.15140436333354845,0.8105282857101327,0.7797334854493645,0.8413230859709009,0.30165269888432494,0.2613835739553256,0.3419218238133243
0.05,0.10026394804076139,0.06260831248801135,0.13791958359351142,0.8126864272163856,0.7819649267917566,0.8434079276410147,0.32221551261908077,0.2805553949457242,0.36387563029243736
