network_size,mean_smape,lower_smape,upper_smape,mean_smape_p,lower_smape_p,upper_smape_p,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
4,0.019414230280311466,0.019414230280311466,0.019414230280311466,0.7502641294790208,0.7502641294790208,0.7502641294790208,0.500316882357873,0.500316882357873,0.500316882357873,0.014611046045369752,0.014611046045369752,0.014611046045369752
9,0.028189298293576037,0.0,0.2599876826159833,0.5837503553222388,0.35195197099983155,0.8155487396446461,0.5002409134408312,0.2684425291184239,0.7320392977632385,0.023912145442526813,-0.20788623887988048,0.2557105297649341
10,0.017078572500869936,0.0,0.06007315091703923,0.5838068550302589,0.5408122766140896,0.6268014334464281,0.5003312995264025,0.45733672111023327,0.5433258779425718,0.0172876844004539,-0.025706894015715392,0.06028226281662319
11,0.009739633367115707,0.0,0.06801334604135217,0.5837845445197052,0.5255108318454688,0.6420582571939416,0.5002897603310927,0.44201604765685626,0.5585634730053292,0.252909097642918,0.19463538496868155,0.3111828103171545
13,0.021567812563554063,0.0,0.04625224520545525,0.542169935799072,0.5174855031571708,0.5668543684409733,0.500301005076653,0.4756165724347518,0.5249854377185542,0.1394543387286394,0.11476990608673822,0.1641387713705406
14,0.023182830350303902,0.015459433724424813,0.03090622697618299,0.5005495522230179,0.4928261555971388,0.508272948848897,0.5002994273266763,0.49257603070079725,0.5080228239525554,0.42043436591019684,0.4127109692843178,0.4281577625360759
15,0.03642243509962923,0.021412853096756314,0.05143201710250215,0.5005656911975385,0.4855561091946656,0.5155752732004114,0.5003155663155882,0.48530598431271527,0.5153251483184611,0.41065412790417205,0.39564454590129916,0.42566370990704494
16,0.0234017504877592,0.0,0.1756662889450764,0.5005294778290825,0.3482649393717653,0.6527940162863998,0.500279352914601,0.34801481445728377,0.6525438913719183,0.25594515402804235,0.10368061557072514,0.40820969248535954
18,0.010986478939002885,0.010986478939002885,0.010986478939002885,0.5005123813114721,0.5005123813114721,0.5005123813114721,0.5002622563833834,0.5002622563833834,0.5002622563833834,0.011218978883096122,0.011218978883096122,0.011218978883096122
19,0.015908309683045414,0.00016567072724906623,0.03165094863884176,0.5671390875890973,0.551396448633301,0.5828817265448936,0.500290492202905,0.48454785324710864,0.5160331311587013,0.23523449264283677,0.21949185368704044,0.2509771315986331
20,0.02990959338059334,0.0,0.2671373688396606,0.5005261580395154,0.26329838258044813,0.7377539334985826,0.5002760331233832,0.26304825766431594,0.7375038085824505,0.02836888961081109,-0.20885888584825618,0.26559666506987833
21,0.016237937646642445,0.0,0.04091808861593378,0.5005366420355989,0.47585649106630756,0.5252167930048902,0.5002865171274039,0.4756063661581126,0.5249666680966952,0.34313712905706506,0.31845697808777373,0.3678172800263564
22,0.02081073997661776,0.0,0.21020265368479063,0.5005338179065539,0.31114190419838106,0.6899257316147268,0.500283692995555,0.3108917792873821,0.6896756067037279,0.02042156852714827,-0.1689703451810246,0.20981348223532115
23,0.020224913580633337,0.0,0.21977517031730776,0.5005298502888076,0.30097959355213316,0.7000801070254821,0.5002797253748481,0.3007294686381737,0.6998299821115226,0.020041650108564818,-0.1795086066281096,0.21959190684523924
